Data,IE00BYTRRH56
04/2016,10000
05/2016,10296.091549295774
06/2016,10789.171824186364
07/2016,10854.047632425636
08/2016,10305.253923243003
09/2016,10370.216139024298
10/2016,10502.667094124965
11/2016,10241.271911374064
12/2016,10711.126113196013
01/2017,10444.184327825082
02/2017,11071.147363937102
03/2017,11220.116114571396
04/2017,11059.993483535744
05/2017,11354.932728246316
06/2017,10936.532658817852
07/2017,10804.671086663
08/2017,11076.997910188207
09/2017,10849.770749663283
10/2017,11307.07961073615
11/2017,11236.948795531463
12/2017,10656.591790897583
01/2018,10094.47058838301
02/2018,9899.158947062597
03/2018,10230.615486986759
04/2018,10680.660620756562
05/2018,10812.394741936398
06/2018,11009.008779131678
07/2018,11146.192066635029
08/2018,11192.091064847773
09/2018,11109.289591830464
10/2018,11373.869052480282
11/2018,11670.190774158995
12/2018,11345.818869811976
01/2019,11845.999015233967
02/2019,12284.46861085916
03/2019,12705.963030052646
04/2019,12672.068826475228
05/2019,12627.023516385347
06/2019,12877.858612847333
07/2019,13145.31136605895
08/2019,13686.02667581962
09/2019,14332.461336965205
10/2019,13963.59564670053
11/2019,13901.56302118061
12/2019,14171.213768371521
01/2020,15142.882293857865
02/2020,14049.901029336936
03/2020,12628.866329315973
04/2020,12879.065998969922
05/2020,13176.459832619032
06/2020,12956.108934779295
07/2020,13069.716928215716
08/2020,12804.99953276696
09/2020,12982.542033074835
10/2020,13349.034746688396
11/2020,13668.097660938607
12/2020,13439.611331677668
01/2021,13555.702294339197
02/2021,12949.652561990033
03/2021,14193.069094032535
04/2021,14239.48664793888
05/2021,13986.159908548478
06/2021,13999.310255984808
07/2021,14511.735078235188
08/2021,14998.949320817172
09/2021,14202.279157284805
10/2021,14955.407395055738
11/2021,15104.076808303893
12/2021,16053.309303785702
01/2022,15647.686271654902
02/2022,15629.929290565085
03/2022,16716.7395093552
04/2022,17127.71114010754
05/2022,17140.031194041523
06/2022,16308.620729977936
07/2022,17618.193709904735
08/2022,17705.0321609165
09/2022,16136.03943869536
10/2022,16234.25469398926
11/2022,16592.12386430361
12/2022,16361.481051104654
01/2023,15904.515931072907
02/2023,15784.589503686204
03/2023,16029.04570905233
04/2023,16356.160066679338
05/2023,15844.47557173452
06/2023,15818.450779286517
07/2023,16018.534053582664
08/2023,15496.29083771278
09/2023,14946.75331384434
10/2023,14967.813082626404
11/2023,15495.68465989437
12/2023,15791.9759471759
01/2024,15636.60558967888
02/2024,15409.74888454726
03/2024,16286.453526443109
04/2024,16640.023629013795
