Data,IE00BYVJRP78
05/2013,10000
06/2013,9465.558796636084
07/2013,9359.09239572832
08/2013,9065.973260110099
09/2013,9565.868031983917
10/2013,10003.557338510413
11/2013,9583.87311878262
12/2013,9420.016417162917
01/2014,8921.409846426091
02/2014,9144.69570893774
03/2014,9641.606844511361
04/2014,9779.752381072392
05/2014,10064.428163722621
06/2014,10446.50825175152
07/2014,10819.315239991336
08/2014,11376.945606244615
09/2014,11173.215969660492
10/2014,11579.58260133094
11/2014,11581.958408511353
12/2014,11289.792798333641
01/2015,12391.72805301153
02/2015,12825.342456515456
03/2015,13102.833741421258
04/2015,13002.435959625245
05/2015,12716.478282021168
06/2015,12411.737742247507
07/2015,12052.476454214997
08/2015,10753.475494333383
09/2015,10508.003619108149
10/2015,11221.036089187268
11/2015,11301.040319579846
12/2015,10739.985761051421
01/2016,10323.253247343002
02/2016,10301.700905818747
03/2016,11254.332175644666
04/2016,11323.591498044038
05/2016,10995.501029033938
06/2016,11661.580385423054
07/2016,12258.518943903173
08/2016,12132.061536513685
09/2016,12226.722183222488
10/2016,12516.46214900378
11/2016,11958.985033429133
12/2016,12358.55047221107
01/2017,12591.577159578399
02/2017,13270.85063401231
03/2017,13515.122271111728
04/2017,13332.05140187992
05/2017,13454.69346023224
06/2017,13233.50655660924
07/2017,13518.056030495169
08/2017,13686.02098434667
09/2017,13529.43354808769
10/2017,13865.686427242408
11/2017,13873.90322768329
12/2017,14605.780242962543
01/2018,15005.757668433713
02/2018,14764.6563809605
03/2018,14403.956608676348
04/2018,14399.27606300397
05/2018,13943.408417483959
06/2018,13379.100981697942
07/2018,13951.09416892799
08/2018,13642.665029551892
09/2018,13681.348597994334
10/2018,13201.411784202117
11/2018,13796.911536159287
12/2018,13595.712536348461
01/2019,14527.341398916757
02/2019,14452.437305215986
03/2019,14588.466265897618
04/2019,14963.994097780136
05/2019,14596.54351346707
06/2019,14888.949440854723
07/2019,14978.904612467015
08/2019,14405.183348338083
09/2019,14686.400840683142
10/2019,14877.649781751124
11/2019,14951.929265402865
12/2019,15498.96224576255
01/2020,15088.513176646273
02/2020,14129.558012162794
03/2020,11399.895510952747
04/2020,12554.629172973282
05/2020,12356.248539629498
06/2020,13261.621495632151
07/2020,13680.970595145585
08/2020,14039.6600002995
09/2020,13874.34970173216
10/2020,14429.221603015454
11/2020,15944.196982205829
12/2020,16842.971762422367
01/2021,17392.515477380883
02/2021,16995.18106973677
03/2021,17584.916024598493
04/2021,17602.912552670008
05/2021,18017.360831234688
06/2021,19155.154072536967
07/2021,17852.164529460995
08/2021,18526.11148850495
09/2021,18149.896838968616
10/2021,18314.966184890192
11/2021,18096.16773289359
12/2021,18123.058479240615
01/2022,17830.624734324996
02/2022,17581.482028118462
03/2022,17843.229524982737
04/2022,17644.275120176113
05/2022,17544.488080598425
06/2022,16745.021471169628
07/2022,17234.665931320138
08/2022,17402.507780161155
09/2022,15779.399563578208
10/2022,15031.986909864976
11/2022,16488.943542211116
12/2022,15676.842434357774
01/2023,16508.302164143202
02/2023,15666.955900935203
03/2023,15543.94184713542
04/2023,15317.430338104728
05/2023,15278.413332258324
06/2023,15596.983256783124
07/2023,16526.64585573309
08/2023,15472.932728433923
09/2023,15279.18244264662
10/2023,14741.771531412158
11/2023,15220.023812771882
12/2023,15475.71670666884
01/2024,14747.143321033662
02/2024,15405.720700135578
03/2024,15627.126459097919
04/2024,15682.26854527359
