Data,IE00BYWQWR46
12/2021,10000
01/2022,8975.708258635115
02/2022,8829.882566202428
03/2022,8759.864710751996
04/2022,7868.045689625971
05/2022,8034.304236315551
06/2022,7549.828142543837
07/2022,8277.203486619905
08/2022,7924.6805532286035
09/2022,7010.20424021869
10/2022,6766.41855524645
11/2022,7267.354623020277
12/2022,6743.603305521255
01/2023,7535.056462649876
02/2023,7334.260696620985
03/2023,8119.12442681565
04/2023,7715.3170049898345
05/2023,8214.590814964877
06/2023,8524.187523108694
07/2023,8844.152566798472
08/2023,8300.242388552126
09/2023,8024.5039861145515
10/2023,7723.4056014971575
11/2023,8341.023818863234
12/2023,8592.277188494896
01/2024,8871.534802927172
02/2024,9548.599812455039
03/2024,9677.966699179315
04/2024,9417.681256050862
