Data,IE00BYWZ0440
11/2012,10000
12/2012,10052.836326810379
01/2013,9928.226008677457
02/2013,10159.306988436767
03/2013,10455.855319061891
04/2013,10527.018239119514
05/2013,10458.582145117083
06/2013,10129.65589895878
07/2013,10238.627730604032
08/2013,10184.273853624001
09/2013,10153.210875386112
10/2013,10302.032089837621
11/2013,10364.546976128086
12/2013,10309.456042357424
01/2014,10505.306235923086
02/2014,10544.610496085179
03/2014,10572.116563944379
04/2014,10603.692414231324
05/2014,10822.34954656637
06/2014,10873.663117817328
07/2014,10883.099494581227
08/2014,11126.768117802658
09/2014,11294.940211226793
10/2014,11454.192663055946
11/2014,11407.342900647733
12/2014,11526.975513063298
01/2015,12239.40304731062
02/2015,12551.611177659634
03/2015,12867.333697091233
04/2015,12581.695861595335
05/2015,12792.536582294439
06/2015,12367.873150969877
07/2015,12575.58588877068
08/2015,12154.564272544214
09/2015,11799.269542911356
10/2015,12366.016168885695
11/2015,12504.930126546367
12/2015,11935.241555122157
01/2016,11718.312774971777
02/2016,11836.230128897883
03/2016,11903.723258904402
04/2016,12243.067613054562
05/2016,12455.433886576844
06/2016,12563.350716755911
07/2016,12850.756081079368
08/2016,13062.047619555779
09/2016,13088.377291395384
10/2016,13271.403817581227
11/2016,13459.749427812469
12/2016,13801.979269713804
01/2017,13749.630080432336
02/2017,14061.200193978488
03/2017,13934.75602388694
04/2017,13835.723638171776
05/2017,13721.699899354042
06/2017,13564.544475774048
07/2017,13460.860848286891
08/2017,13369.091175397403
09/2017,13461.10615159509
10/2017,13656.377924629398
11/2017,13454.898163967435
12/2017,13323.076244545486
01/2018,13044.952487345938
02/2018,13095.283604849785
03/2018,12964.46050130447
04/2018,13232.610450827966
05/2018,13456.071320321842
06/2018,13508.171279943947
07/2018,13589.992317718845
08/2018,13725.216425273658
09/2018,13853.581468156977
10/2018,13841.064595597922
11/2018,13649.101836302245
12/2018,13370.49399303886
01/2019,13854.739307372442
02/2019,14128.239295112968
03/2019,14418.872473654834
04/2019,14594.325800914989
05/2019,14437.742021195714
06/2019,14582.19994705077
07/2019,14848.08298910286
08/2019,15013.806689374484
09/2019,15162.458113566645
10/2019,14965.297195828833
11/2019,15229.583125137702
12/2019,15202.54007188506
01/2020,15352.488785856815
02/2020,15123.342014335476
03/2020,13391.613403278625
04/2020,14115.559730481087
05/2020,14379.86035065118
06/2020,14459.309269762083
07/2020,14427.347281809227
08/2020,14530.418087207865
09/2020,14503.782749282085
10/2020,14523.808050242855
11/2020,14908.422642870013
12/2020,14885.330749542007
01/2021,15064.673365883868
02/2021,15136.613003212806
03/2021,15484.990710276486
04/2021,15308.856504928453
05/2021,15303.510902272224
06/2021,15625.985184052266
07/2021,15659.146850443321
08/2021,15768.504562545972
09/2021,15947.39409824611
10/2021,15789.033411077666
11/2021,15826.419491542922
12/2021,16174.35402050312
01/2022,15962.235585012702
02/2022,15647.324582164694
03/2022,15631.805819084364
04/2022,15521.994184726756
05/2022,15417.513406487815
06/2022,14698.361476548853
07/2022,15615.726961377108
08/2022,15439.5734715429
09/2022,15040.638553357008
10/2022,15223.485015475722
11/2022,15259.41560273541
12/2022,15006.492112417594
01/2023,15385.974147025887
02/2023,15372.000388632336
03/2023,15260.223708085143
04/2023,15320.141524564993
05/2023,15441.881953048334
06/2023,15497.34045567827
07/2023,15543.825833581786
08/2023,15666.329129929505
09/2023,15761.382040249164
10/2023,15621.419728483286
11/2023,15998.908782677565
12/2023,16418.939707053694
01/2024,16600.61770930164
02/2024,16601.13935517092
03/2024,16702.382812920914
04/2024,16690.261061646437
