Data,IE00BYX8XD24
12/1998,10000
01/1999,9620.186666666666
02/1999,9449.54898012724
03/1999,9576.66098723367
04/1999,10382.654297173784
05/1999,10645.645057817575
06/1999,10949.767686490082
07/1999,10619.046369063406
08/1999,10426.024328825592
09/1999,9906.100880039683
10/1999,9876.900125593897
11/1999,9733.501742142136
12/1999,9862.585222387988
01/2000,9337.964710228684
02/2000,8775.51126611414
03/2000,9655.384916023608
04/2000,9683.282462429612
05/2000,10119.433945828696
06/2000,9807.49613755066
07/2000,9758.285454447352
08/2000,10430.858378830051
09/2000,10245.781989049876
10/2000,10415.944278371167
11/2000,10236.81930165079
12/2000,10626.931168789019
01/2001,10667.56384583521
02/2001,10403.84833412814
03/2001,9943.598744468838
04/2001,10521.62699375815
05/2001,10839.710341037027
06/2001,10672.272950827555
07/2001,10697.799839669016
08/2001,10564.083761185138
09/2001,9854.823217629608
10/2001,9983.774356134707
11/2001,10427.209230519518
12/2001,10803.73891754423
01/2002,10953.703941192389
02/2002,11070.652982621194
03/2002,11448.894209859249
04/2002,11296.994287234418
05/2002,11262.353269483858
06/2002,10552.74491484899
07/2002,9705.875794410531
08/2002,9926.213044431563
09/2002,9019.197623996723
10/2002,9256.186798071123
11/2002,9661.017018925852
12/2002,9406.66002046813
01/2003,9255.136485357874
02/2003,9130.990271201483
03/2003,9172.915887756126
04/2003,9666.987234281123
05/2003,10366.02978738996
06/2003,10475.383015273355
07/2003,10599.480176345203
08/2003,10779.085428964134
09/2003,10735.35726796018
10/2003,11269.057174983871
11/2003,11508.304523387505
12/2003,12045.347837763511
01/2004,12377.934654190012
02/2004,12553.047791161123
03/2004,12611.731072487644
04/2004,12561.428567395178
05/2004,12789.795314376619
06/2004,13032.271193341736
07/2004,12614.97442487711
08/2004,12745.301810397657
09/2004,12986.385349422326
10/2004,13249.958809234697
11/2004,13961.011511558863
12/2004,14499.6710170451
01/2005,14294.897366068617
02/2005,14626.205648514302
03/2005,14450.055548946102
04/2005,14224.240490388582
05/2005,14532.577292367952
06/2005,14697.190456899969
07/2005,15109.560636534052
08/2005,14969.51783104954
09/2005,15031.700673855736
10/2005,14668.279785085771
11/2005,15086.078754708187
