Data,IE00BYXVGX24
01/2014,10000
02/2014,10199.771511652023
03/2014,10386.565083065647
04/2014,10471.649750328468
05/2014,10875.571003343917
06/2014,11007.281829429874
07/2014,10973.993217175419
08/2014,11546.192624903377
09/2014,11898.072639737007
10/2014,12394.81751497653
11/2014,12761.832235860358
12/2014,13105.287056141484
01/2015,13698.305512153602
02/2015,14492.706771336121
03/2015,14895.43306243825
04/2015,14392.77843897039
05/2015,14877.169813780727
06/2015,14227.755462549994
07/2015,14755.110015747328
08/2015,13522.294718856872
09/2015,13351.510327371558
10/2015,14628.263982455459
11/2015,15262.347513781498
12/2015,14473.608697525879
01/2016,13972.882855498732
02/2016,14079.608644706828
03/2016,14445.495684996615
04/2016,14541.903059656355
05/2016,15083.528527443437
06/2016,15346.948798049947
07/2016,15879.213388016808
08/2016,15835.082836264713
09/2016,15776.95766168608
10/2016,15797.232383446266
11/2016,16857.842939468133
12/2016,17372.553316378173
01/2017,17332.85459043269
02/2017,18291.325778747563
03/2017,18134.24193774594
04/2017,17863.591001758923
05/2017,17600.39198324299
06/2017,17438.85086130794
07/2017,17197.629357749465
08/2017,17069.709587389963
09/2017,17509.518333880675
10/2017,18191.98631675506
11/2017,18546.039788592083
12/2017,18491.22146559402
01/2018,18676.115680217685
02/2018,18283.11384195216
03/2018,17814.751258032982
04/2018,18062.77449466439
05/2018,19152.64884545507
06/2018,19122.42515240091
07/2018,19840.090160582822
08/2018,20578.419269464288
09/2018,20879.637723095544
10/2018,20090.34794329166
11/2018,20541.40476156971
12/2018,18578.04698229438
01/2019,19848.997233996597
02/2019,20806.90093254121
03/2019,21435.728240208515
04/2019,22257.74588816739
05/2019,21078.499389743756
06/2019,22064.947642074978
07/2019,22913.420078445866
08/2019,22876.718376525998
09/2019,23775.22326248078
10/2019,23579.42406254381
11/2019,24765.069245058494
12/2019,24821.458634410214
01/2020,25005.79161288091
02/2020,22982.301158579943
03/2020,19792.462320917308
04/2020,22329.79797573168
05/2020,22754.144488919766
06/2020,23055.73549045206
07/2020,22823.110295967763
08/2020,23952.953952653676
09/2020,23839.22196314842
10/2020,23208.547670710792
11/2020,25063.1303757683
12/2020,25442.09864506826
01/2021,25352.239440661466
02/2021,26170.676276037662
03/2021,28375.628216112586
04/2021,28587.53808826469
05/2021,28703.739036076113
06/2021,29741.296851946474
07/2021,30225.889342594866
08/2021,30975.54810319968
09/2021,30187.056111831695
10/2021,31910.858197643392
11/2021,32508.068123828813
12/2021,34527.77575391547
01/2022,33745.171569087324
02/2022,32801.36109397167
03/2022,34172.0441193878
04/2022,33631.15633752183
05/2022,33643.2554697077
06/2022,31955.50500761197
07/2022,35148.12898330283
08/2022,34309.82167331196
09/2022,32123.793258447913
10/2022,34420.80983783129
11/2022,35152.23255235936
12/2022,32597.0718455362
01/2023,33588.83443607056
02/2023,33377.93034628293
03/2023,33343.550963076326
04/2023,33523.333278989936
05/2023,33798.132617269286
06/2023,35324.903484104354
07/2023,35935.26701850621
08/2023,35596.16386636882
09/2023,34756.17608094074
10/2023,33882.51313114473
11/2023,35627.96511054579
12/2023,36987.73361969415
01/2024,38021.191586207045
02/2024,39641.15682571024
03/2024,40938.13997753154
04/2024,39544.50108624267
