Data,IE00BYXYYM63
09/2011,10000
10/2011,9568.235741462706
11/2011,10061.240779729156
12/2011,10546.289306194845
01/2012,10445.287037888136
02/2012,10233.315209989481
03/2012,10241.405527483392
04/2012,10372.648734801996
05/2012,11247.009805680349
06/2012,11081.96077415437
07/2012,11512.382471950506
08/2012,11218.811422900755
09/2012,10954.705746111926
10/2012,10920.74960769907
11/2012,10941.60637213731
12/2012,10751.500915511311
01/2013,10393.565757337456
02/2013,10778.477132450318
03/2013,11057.771950525954
04/2013,10939.24148586138
05/2013,10796.263285797642
06/2013,10566.90625744582
07/2013,10423.712854112411
08/2013,10399.572312406592
09/2013,10285.978968908252
10/2013,10263.609921588488
11/2013,10244.843083280997
12/2013,10052.612889294853
01/2014,10406.606488283665
02/2014,10234.798452062676
03/2014,10183.25738724252
04/2014,10271.814753154502
05/2014,10572.149899395386
06/2014,10535.880495265334
07/2014,10726.414733570497
08/2014,10999.65748136603
09/2014,11448.006913650632
10/2014,11612.58879078929
11/2014,11730.960695198679
12/2014,12070.246996826865
01/2015,13232.1424272394
02/2015,13180.772942597974
03/2015,13831.238329080354
04/2015,13218.370758743655
05/2015,13478.286425686727
06/2015,13067.585267781544
07/2015,13422.057301824
08/2015,13103.607515224581
09/2015,13203.64472535317
10/2015,13426.04059708997
11/2015,13942.182044276722
12/2015,13501.063118049067
01/2016,13642.679334879998
02/2016,13709.013359193088
03/2016,13293.593191105407
04/2016,13320.785090153422
05/2016,13618.873859516163
06/2016,13925.673229259637
07/2016,13996.941628798737
08/2016,13954.157201267557
09/2016,13906.838600246196
10/2016,13999.213659884683
11/2016,14064.860294082036
12/2016,14277.822943415345
01/2017,14018.20996681154
02/2017,14319.920761264215
03/2017,14183.586906383494
04/2017,13977.549429560684
05/2017,13716.947547971053
06/2017,13470.93786893866
07/2017,13097.745378533376
08/2017,13167.957054423228
09/2017,13123.58736187491
10/2017,13318.010828210301
11/2017,13061.286314411971
12/2017,12960.963928347623
01/2018,12331.782491653663
02/2018,12455.332420226456
03/2018,12423.753154158536
04/2018,12513.763142948519
05/2018,13074.346218214876
06/2018,13101.466303559386
07/2018,13014.756747866419
08/2018,13191.349457265664
09/2018,13188.570443826544
10/2018,13379.866216187489
11/2018,13408.36822257865
12/2018,13476.551301205469
01/2019,13639.109332303571
02/2019,13714.33558385185
03/2019,14200.00566310669
04/2019,14222.206941757933
05/2019,14558.680441267368
06/2019,14441.834023068892
07/2019,14767.825331121516
08/2019,15229.758074834239
09/2019,15349.977226970952
10/2019,15027.22710895891
11/2019,15251.68180956947
12/2019,14895.98823811383
01/2020,15429.573438638516
02/2020,15811.388458574158
03/2020,15745.175700099435
04/2020,16139.658935702962
05/2020,15832.862717114689
06/2020,15841.084389558762
07/2020,15192.35441731561
08/2020,14950.443764516793
09/2020,15235.221675235685
10/2020,15176.984686557525
11/2020,14961.983000520884
12/2020,14624.179001671679
01/2021,14677.79057016713
02/2021,14480.679854708384
03/2021,14779.811389199269
04/2021,14453.326000519055
05/2021,14356.107845809933
06/2021,14839.615351908744
07/2021,14993.613421816695
08/2021,15034.023484750698
09/2021,15228.95082508536
10/2021,15135.28961506426
11/2021,15553.64491032153
12/2021,15561.28724639648
01/2022,15454.811935746475
02/2022,15220.495572535898
03/2022,14925.105506336467
04/2022,15119.87246775055
05/2022,14968.471230423285
06/2022,15192.947486698984
07/2022,15849.468200552044
08/2022,15703.266249257282
09/2022,15409.925318497684
10/2022,14952.438414513996
11/2022,14808.955693439135
12/2022,14338.242705177967
01/2023,14548.521841187132
02/2023,14454.94243018872
03/2023,14470.206161443917
04/2023,14414.363157497162
05/2023,14652.114281144384
06/2023,14350.919246109415
07/2023,14133.669187511781
08/2023,14240.73591077706
09/2023,14234.845769431176
10/2023,13974.253869342432
11/2023,14187.258959854613
12/2023,14568.742982152597
01/2024,14811.260491885754
02/2024,14613.754565760542
03/2024,14766.115567360155
04/2024,14514.958663798132
