Data,IE00BYYW2V44
03/2006,10000
04/2006,10109.937579214522
05/2006,9801.623255815219
06/2006,9794.570474273343
07/2006,9832.34463170429
08/2006,10042.835201968755
09/2006,10284.868688139042
10/2006,10598.632353034223
11/2006,10773.399470326513
12/2006,10908.170063979427
01/2007,11057.799803239444
02/2007,10829.420216214252
03/2007,10934.311764791324
04/2007,11392.505706798347
05/2007,11779.878286739755
06/2007,11570.592095272312
07/2007,11203.332901485524
08/2007,11358.251773061429
09/2007,11749.165356555848
10/2007,11922.45830490285
11/2007,11423.981778579338
12/2007,11335.413531201393
01/2008,10656.451280719306
02/2008,10325.964877199749
03/2008,10291.542143368193
04/2008,10811.17718689653
05/2008,10963.804233204075
06/2008,10069.732618419697
07/2008,9996.022123369108
08/2008,10164.489127568153
09/2008,9230.057564656998
10/2008,7481.193538085372
11/2008,6954.0389023340595
12/2008,7023.134584047059
01/2009,6390.150937445438
02/2009,5705.861764169367
03/2009,6184.608859763743
04/2009,6777.44971075994
05/2009,7132.476145452423
06/2009,7147.753277489397
07/2009,7681.764888096025
08/2009,7954.56398991455
09/2009,8244.905109610858
10/2009,8092.5111098537445
11/2009,8569.348201160445
12/2009,8742.43820988593
01/2010,8417.233895802196
02/2010,8682.502707618209
03/2010,9210.516924879646
04/2010,9357.369783967533
05/2010,8549.924637496213
06/2010,8095.986114782028
07/2010,8627.233023348197
08/2010,8227.273245360419
09/2010,8910.324191037269
10/2010,9244.46285266687
11/2010,9248.19747900282
12/2010,9848.071941498922
01/2011,10075.928455639894
02/2011,10421.386707852005
03/2011,10428.681976826334
04/2011,10728.795036776446
05/2011,10611.438450792688
06/2011,10443.040337249478
07/2011,10236.897188334793
08/2011,9687.710567952643
09/2011,8959.614734734145
10/2011,9902.800498853996
11/2011,9882.118096474705
12/2011,9982.65011947145
01/2012,10423.30418677643
02/2012,10862.77512821215
03/2012,11219.48701473523
04/2012,11145.991922143796
05/2012,10426.459064821373
06/2012,10842.624210680835
07/2012,10994.070385785726
08/2012,11230.885714318689
09/2012,11510.826981427434
10/2012,11295.172651427167
11/2012,11356.276195909784
12/2012,11453.41143286677
01/2013,12025.32383333866
02/2013,12191.665015258968
03/2013,12653.2477087036
04/2013,12886.865058671743
05/2013,13189.692237969442
06/2013,13009.741539959105
07/2013,13654.870079262646
08/2013,13253.824058259064
09/2013,13656.063609960413
10/2013,14278.625170117642
11/2013,14710.723487204974
12/2013,15077.454324966893
01/2014,14543.511604504232
02/2014,15191.52323750512
03/2014,15318.298014036929
04/2014,15430.32172496717
05/2014,15798.055530523778
06/2014,16122.88579382889
07/2014,15891.74604344118
08/2014,16534.402349976113
09/2014,16288.212920231048
10/2014,16684.360393617473
11/2014,17130.467398405446
12/2014,17081.547940510616
01/2015,16524.34133443439
02/2015,17474.17210200476
03/2015,17174.828694544354
04/2015,17336.35862853154
05/2015,17553.966803332598
06/2015,17211.78611006875
07/2015,17566.90751475596
08/2015,16511.1732273966
09/2015,16091.516604392235
10/2015,17456.446914642216
11/2015,17504.12708099724
12/2015,17218.18371031015
01/2016,16344.389052231094
02/2016,16308.915194782025
03/2016,17356.631604372174
04/2016,17406.37133183738
05/2016,17714.33239256117
06/2016,17738.154293535612
07/2016,18364.975503445647
08/2016,18368.337093836253
09/2016,18345.558244379514
10/2016,17977.622237323903
11/2016,18643.96138013986
12/2016,18978.18369452602
01/2017,19295.853174234722
02/2017,20056.69320748996
03/2017,20048.109273570048
04/2017,20223.34857108323
05/2017,20465.1141287267
06/2017,20553.43195504793
07/2017,20925.702746421724
08/2017,20950.085247217336
09/2017,21349.344890583863
10/2017,21819.979734224587
11/2017,22434.065284337892
12/2017,22627.4843985048
01/2018,23830.529795620696
02/2018,22891.384005732576
03/2018,22257.075521759987
04/2018,22298.316057288906
05/2018,22792.56818609703
06/2018,22874.93537284685
07/2018,23670.892598723673
08/2018,24388.624344585627
09/2018,24470.909552041183
10/2018,22691.19923874636
11/2018,23098.074485510453
12/2018,20956.700826209122
01/2019,22571.747670861638
02/2019,23249.46719447872
03/2019,23643.932219424943
04/2019,24541.73701192474
05/2019,22905.97765768166
06/2019,24428.154069386495
07/2019,24727.004763609704
08/2019,24262.541331956294
09/2019,24659.99699348042
10/2019,25118.379550277023
11/2019,25989.880263761723
12/2019,26693.33309303657
01/2020,26630.206888387987
02/2020,24364.671018739555
03/2020,21302.483236854947
04/2020,24008.45600603012
05/2020,25117.926894693617
06/2020,25592.370748748748
07/2020,26925.11578002559
08/2020,28815.51871406235
09/2020,27678.28325304906
10/2020,26918.44369566026
11/2020,29776.332968516068
12/2020,30860.956453189912
01/2021,30521.18657680737
02/2021,31341.126466768925
03/2021,32717.441778142456
04/2021,34394.17180353768
05/2021,34612.21352713899
06/2021,35418.104952632624
07/2021,36233.24220606587
08/2021,37313.21893199381
09/2021,35517.594942143565
10/2021,37984.324232286475
11/2021,37680.76136278215
12/2021,39301.23068940171
01/2022,37210.49943833859
02/2022,36072.826485178375
03/2022,37373.39358748537
04/2022,33859.06595149052
05/2022,33889.85699771571
06/2022,30957.85066062953
07/2022,33808.38152720825
08/2022,32344.633043307356
09/2022,29216.941102040102
10/2022,31499.04468807693
11/2022,33135.426437768256
12/2022,31170.8541198749
01/2023,33025.26453655517
02/2023,32148.364453503313
03/2023,33237.668871588015
04/2023,33684.493785612685
05/2023,33782.80102552833
06/2023,35907.38897541449
07/2023,36982.90274653848
08/2023,36321.27900425577
09/2023,34481.9212630516
10/2023,33708.29009609466
11/2023,36642.422851954456
12/2023,38230.92620762988
01/2024,38825.692740772465
02/2024,40849.666951257284
03/2024,42111.508605331794
04/2024,40319.00710495943
