Data,IE00BYZK4883
06/2011,10000
07/2011,9748.334533237341
08/2011,9085.843266097574
09/2011,8838.397237435202
10/2011,9568.164496486785
11/2011,9514.934713303042
12/2011,9586.415186374043
01/2012,10046.024724892015
02/2012,10654.924365661034
03/2012,10990.765554564403
04/2012,11052.661623690326
05/2012,10649.626546885498
06/2012,10875.045363697021
07/2012,11049.162161899916
08/2012,11216.8543360558
09/2012,11373.923993632898
10/2012,10979.466569307278
11/2012,11132.592158571
12/2012,11256.120191768185
01/2013,11576.99236028326
02/2013,12122.297406682628
03/2013,12640.449674281603
04/2013,12587.713306796948
05/2013,12953.082784559268
06/2013,12806.055015637396
07/2013,13607.950293116715
08/2013,13751.267827104397
09/2013,14375.020866384708
10/2013,14546.815279864202
11/2013,14859.069870461715
12/2013,15206.487065244042
01/2014,15106.938487354582
02/2014,15541.741939613192
03/2014,15043.196849744918
04/2014,14450.033097553282
05/2014,14957.983719503858
06/2014,15378.869407466287
07/2014,15499.433200780068
08/2014,16126.39734549303
09/2014,16251.180502003348
10/2014,16548.545152795577
11/2014,17092.594521978866
12/2014,17267.974448630703
01/2015,18491.28341190006
02/2015,19738.409861590044
03/2015,20317.405961380642
04/2015,19814.535645052943
05/2015,20422.995408095514
06/2015,19890.172685310194
07/2015,20095.67196527424
08/2015,18639.318525364495
09/2015,18296.859474332396
10/2015,19654.44942028426
11/2015,20540.95173032932
12/2015,19680.012296091532
01/2016,18198.028959451818
02/2016,17802.36003194147
03/2016,18577.91065512298
04/2016,18804.49652849259
05/2016,19690.70739744085
06/2016,19254.568447830916
07/2016,20442.420244774956
08/2016,20798.572808658413
09/2016,21196.62251662011
10/2016,21077.767187571713
11/2016,21071.023230678074
12/2016,20953.13009370977
01/2017,21293.013278877323
02/2017,22140.452985586424
03/2017,22657.02613448415
04/2017,22615.881137169483
05/2017,22578.32557953938
06/2017,22150.32762161236
07/2017,22132.914025977767
08/2017,22015.522623287023
09/2017,22491.74528325186
10/2017,23428.767047580866
11/2017,23180.26922227226
12/2017,23449.085364905273
01/2018,24296.91689754522
02/2018,24729.877769386654
03/2018,24468.734502254632
04/2018,25206.77914153997
05/2018,26559.58481291682
06/2018,26916.121236621
07/2018,26963.358864901733
08/2018,28328.529679542855
09/2018,27786.188406511083
10/2018,25602.122284726476
11/2018,25831.27088500977
12/2018,23521.190758618366
01/2019,25697.96810050468
02/2019,27218.58728949253
03/2019,28178.364160919766
04/2019,29471.3401734293
05/2019,28418.09204513308
06/2019,29006.157576560425
07/2019,30054.55721035109
08/2019,28728.352299543418
09/2019,28862.45883647207
10/2019,28943.608646565997
11/2019,30061.668820679137
12/2019,30000.861047139028
01/2020,30627.948623958855
02/2020,28192.69654648957
03/2020,23803.644758256818
04/2020,27944.443717565122
05/2020,31217.710761710983
06/2020,32331.10204518472
07/2020,33558.06796527307
08/2020,35555.971137919645
09/2020,35046.81859596504
10/2020,34042.16703607726
11/2020,37599.379760702155
12/2020,39054.80943159072
01/2021,39010.72726296307
02/2021,40301.97219675735
03/2021,41160.80567301818
04/2021,42026.82662298513
05/2021,41052.20450082352
06/2021,44635.25291968495
07/2021,44109.191196223
08/2021,45435.10780096766
09/2021,43426.92622321279
10/2021,44553.06522576415
11/2021,42882.86187479382
12/2021,42216.10703046032
01/2022,38004.97421503121
02/2022,36332.80775735792
03/2022,36508.32369565938
04/2022,34046.407182047486
05/2022,32053.505397960278
06/2022,29800.907546392667
07/2022,33662.031948245094
08/2022,33054.344283588885
09/2022,29999.098419508427
10/2022,31153.375191618656
11/2022,31665.797222222624
12/2022,28754.832757127966
01/2023,32132.5549699248
02/2023,31284.735573409078
03/2023,31352.848177242482
04/2023,30709.423716415735
05/2023,31945.287647094687
06/2023,33136.21080513007
07/2023,34965.20159077252
08/2023,33956.595524394506
09/2023,32623.782000266307
10/2023,30905.380181488967
11/2023,34586.152948449875
12/2023,36241.203300380526
01/2024,37081.92372300611
02/2024,38319.125792543346
03/2024,39241.763594532735
04/2024,38004.29428125338
