Data,IE00BZ0G8977
12/2006,10000
01/2007,10177.102469730076
02/2007,10186.841750846366
03/2007,10125.085784528887
04/2007,9980.964996390758
05/2007,9967.243968628454
06/2007,9911.108198638392
07/2007,9986.612393096224
08/2007,10078.144013118901
09/2007,9862.692875116436
10/2007,9790.314533376142
11/2007,9964.754612143832
12/2007,9983.311942626256
01/2008,10247.828697755
02/2008,10181.092078582022
03/2008,9765.403585814078
04/2008,9724.280987611903
05/2008,9760.347486145723
06/2008,9760.14134326936
07/2008,9787.95253966365
08/2008,10472.536204169486
09/2008,10362.130197898297
10/2008,10654.761548960356
11/2008,10810.765019110588
12/2008,10362.10268853241
01/2009,11343.722820138833
02/2009,11274.22369424209
03/2009,11340.431897157023
04/2009,11147.360590879516
05/2009,10712.86796625687
06/2009,10737.838398837343
07/2009,10747.060578686218
08/2009,10731.034920697432
09/2009,10679.319624450201
10/2009,10693.079635923003
11/2009,10827.002013443162
12/2009,11041.066977879562
01/2010,11568.707105146243
02/2010,11763.208898391307
03/2010,11857.853087717707
04/2010,12295.22966395593
05/2010,13294.581757485577
06/2010,13523.861956985125
07/2010,12753.790111821323
08/2010,13335.016127999814
09/2010,12459.640991256718
10/2010,12600.359357221698
11/2010,13198.75798144509
12/2010,12636.462852303423
01/2011,12347.968624980067
02/2011,12326.595892029769
03/2011,12124.003367924843
04/2011,11887.461233337199
05/2011,12312.379880476403
06/2011,12354.747225267414
07/2011,13026.754915011808
08/2011,12968.829083650378
09/2011,13853.631132936905
10/2011,13608.676184154278
11/2011,14312.27564336169
12/2011,14849.243490921885
01/2012,14922.457859856722
02/2012,14569.014547700192
03/2012,14495.43896939216
04/2012,14959.350814009575
05/2012,16229.6273996353
06/2012,15892.40446386738
07/2012,16615.21754962369
08/2012,16123.706778127944
09/2012,15805.513612467143
10/2012,15876.804954262223
11/2012,15960.623707751392
12/2012,15593.562072143637
01/2013,15066.287992467742
02/2013,15550.163473928736
03/2013,15982.005364400118
04/2013,15802.95549261089
05/2013,15138.526891077443
06/2013,14483.55911290504
07/2013,14365.771426487994
08/2013,14192.597365823427
09/2013,14111.45168131911
10/2013,14049.755043059491
11/2013,13906.374915167922
12/2013,13513.893916733628
01/2014,14086.490220848866
02/2014,13848.281661285931
03/2014,13809.614210315807
04/2014,13946.700614194562
05/2014,14513.104642106207
06/2014,14500.404901310325
07/2014,14816.301088668111
08/2014,15111.457645579078
09/2014,15410.006170882945
10/2014,15631.333962966044
11/2014,15727.915082107416
12/2014,16003.959233871092
01/2015,17753.60072283998
02/2015,17621.297313010873
03/2015,18317.092514946304
04/2015,17691.776089863404
05/2015,17918.303751674634
06/2015,17373.19788711672
07/2015,17776.96574503754
08/2015,17234.09428161396
09/2015,17132.498107075586
10/2015,17473.624548373984
11/2015,18178.825418666944
12/2015,17511.475508364405
01/2016,17724.55927110894
02/2016,17983.690951864195
03/2016,17519.471554598138
04/2016,17556.851833388286
05/2016,17810.85618519509
06/2016,18282.52796468382
07/2016,18444.26737773133
08/2016,18330.37482496991
09/2016,18371.979773155508
10/2016,18640.536571764656
11/2016,18795.26246515851
12/2016,18930.938993763295
01/2017,18713.020885187503
02/2017,19091.514757979694
03/2017,18912.20157839327
04/2017,18608.164248248297
05/2017,18116.20655371662
06/2017,17636.476333348943
07/2017,17232.893953158116
08/2017,17284.082826494297
09/2017,17194.337034557404
10/2017,17477.68813455917
11/2017,17195.34059683437
12/2017,17158.23085534374
01/2018,16370.813243968529
02/2018,16513.75421089861
03/2018,16546.2282140557
04/2018,16871.108404607116
05/2018,17488.399517218655
06/2018,17624.77592220166
07/2018,17414.384412208416
08/2018,17667.65341700444
09/2018,17578.128406648775
10/2018,17695.74049553499
11/2018,17722.90813638707
12/2018,17676.365770494933
01/2019,17862.553151682216
02/2019,17966.7950688486
03/2019,18607.740822854896
04/2019,18692.228387594492
05/2019,19140.822815983123
06/2019,18904.629585001567
07/2019,19366.315107159404
08/2019,20071.62310152337
09/2019,20040.330237937615
10/2019,19609.4850163849
11/2019,19949.153764865387
12/2019,19559.949192760334
01/2020,20327.39055821989
02/2020,20769.2885288733
03/2020,20434.11921989725
04/2020,21182.265449958024
05/2020,20736.21283340122
06/2020,20854.95200049584
07/2020,20206.935377357015
08/2020,20251.620482190305
09/2020,20572.458034188883
10/2020,20445.513127418442
11/2020,20198.45534657658
12/2020,19940.31299822208
01/2021,20216.25877017272
02/2021,19866.17291759178
03/2021,20479.585225948937
04/2021,20167.582868640537
05/2021,20212.78864854786
06/2021,20895.130412995608
07/2021,21466.911055651843
08/2021,21522.355531670706
09/2021,21821.300691217122
10/2021,21951.39594099869
11/2021,22718.66329362911
12/2021,22861.401002003724
01/2022,22691.36025277643
02/2022,22787.31282423221
03/2022,22541.919979334627
04/2022,23220.292230689305
05/2022,22563.44265086685
06/2022,22499.780797386684
07/2022,23952.641855160597
08/2022,23766.67781624668
09/2022,22703.506231480722
10/2022,22601.830012194157
11/2022,22006.358852346468
12/2022,21180.41222125992
01/2023,21249.750844751587
02/2023,21375.883293767118
03/2023,21479.999025118334
04/2023,21284.503674984793
05/2023,21613.906704896937
06/2023,21185.720739498174
07/2023,20892.597240805997
08/2023,20989.00298125644
09/2023,21112.570383348975
10/2023,20887.595311690882
11/2023,20856.09142026106
12/2023,21193.42585251272
01/2024,21640.239848381654
02/2024,21428.030501516932
03/2024,21630.03161611737
04/2024,21433.751370718488
