Data,IE00BZ0G8C04
09/2010,10000
10/2010,9836.195233333332
11/2010,10462.564658240359
12/2010,10906.733513528061
01/2011,11029.66746248465
02/2011,11534.189004319247
03/2011,10629.793866659322
04/2011,10452.89707790722
05/2011,10298.262693055944
06/2011,10393.467265134714
07/2011,10295.101041362897
08/2011,9372.246214128596
09/2011,9290.178670549147
10/2011,9382.886550703275
11/2011,8917.913213371643
12/2011,8917.786066081124
01/2012,9238.72219822961
02/2012,10224.079372357433
03/2012,10530.377493418742
04/2012,9866.412118905879
05/2012,8722.267716912786
06/2012,9312.408657606764
07/2012,8895.651163391323
08/2012,8850.30010632993
09/2012,8995.84890166422
10/2012,9067.828175376482
11/2012,9554.1933593686
12/2012,10482.60755734926
01/2013,11388.570537421492
02/2013,11833.012305706054
03/2013,12644.499714904481
04/2013,14152.047585801332
05/2013,13841.855851853723
06/2013,13851.333797918376
07/2013,13789.710940175624
08/2013,13454.597463415044
09/2013,14554.633294629997
10/2013,14553.205773824524
11/2013,15386.296042984683
12/2013,15905.777420400478
01/2014,14780.438090535621
02/2014,14720.441982104818
03/2014,14662.281995443316
04/2014,14168.562468410144
05/2014,14695.65152599822
06/2014,15399.59943654051
07/2014,15726.179967936165
08/2014,15539.755111980794
09/2014,16281.781058931927
10/2014,16420.747959947323
11/2014,17332.487169105378
12/2014,17268.308783652228
01/2015,15059.374435210726
02/2015,18672.644895497702
03/2015,19034.401343253634
04/2015,19655.45898113473
05/2015,20632.133264514796
06/2015,19994.871213381815
07/2015,20335.312396815476
08/2015,18719.30498235695
09/2015,17214.386873112155
10/2015,19097.521427873442
11/2015,19320.186238816892
12/2015,18916.42055112168
01/2016,17471.153381886284
02/2016,15771.551308183127
03/2016,16437.734810990198
04/2016,16369.764184733247
05/2016,16783.487038874315
06/2016,15015.908967406054
07/2016,15963.234896336999
08/2016,16167.190812610983
09/2016,16082.795976530573
10/2016,16897.560843726573
11/2016,17827.17992036088
12/2016,18413.768620129038
01/2017,18435.64871832999
02/2017,18514.949695833362
03/2017,18367.59285442415
04/2017,18562.420785847637
05/2017,18948.479683058726
06/2017,19434.335481723567
07/2017,19492.04780099027
08/2017,19396.849935544265
09/2017,20205.970788082996
10/2017,21338.14005873911
11/2017,21629.654344537157
12/2017,21908.46650243657
01/2018,22188.200328631778
02/2018,21311.994593769705
03/2018,20790.373672821177
04/2018,21516.54515153833
05/2018,21130.934683407966
06/2018,20990.62230541185
07/2018,21283.637028594036
08/2018,21119.08912895508
09/2018,22263.033535923638
10/2018,20184.380949267743
11/2018,20378.96854663671
12/2018,18325.43374828308
01/2019,19283.479118119467
02/2019,19703.337915562868
03/2019,19694.655751497532
04/2019,20091.001112905185
05/2019,18765.47662929634
06/2019,19312.019254488616
07/2019,19485.765959835608
08/2019,18822.929033325385
09/2019,19924.966406164338
10/2019,20874.125309415856
11/2019,21256.184274067593
12/2019,21536.215787718185
01/2020,21173.07353230438
02/2020,19110.735085921733
03/2020,17752.02378458856
04/2020,18539.146210582174
05/2020,19740.084002143805
06/2020,19758.837339978105
07/2020,19065.248070752456
08/2020,20552.03986609324
09/2020,20656.66853060446
10/2020,20110.836929676007
11/2020,22509.25096991358
12/2020,23190.88395480391
01/2021,23269.50850821937
02/2021,24018.026093806293
03/2021,25159.58776698913
04/2021,24508.405460173224
05/2021,24894.6242966149
06/2021,25171.24814852554
07/2021,24554.091912725926
08/2021,25321.97211379413
09/2021,26415.865506638154
10/2021,26085.438729853675
11/2021,25295.617847804693
12/2021,26106.98935826128
01/2022,24767.27160364479
02/2022,24467.686857843026
03/2022,25587.87607270208
04/2022,24910.62105401521
05/2022,25128.207070324064
06/2022,24450.482646976536
07/2022,25434.08428174665
08/2022,25703.604862780372
09/2022,24091.760518231564
10/2022,25451.247872460863
11/2022,26258.960781709917
12/2022,24906.113248872767
01/2023,26117.390026764002
02/2023,26355.16243618283
03/2023,26834.72073794869
04/2023,27600.311667125698
05/2023,28936.01436533447
06/2023,31152.604072849954
07/2023,31650.832859904443
08/2023,31746.340197810296
09/2023,31959.018051968233
10/2023,31119.310621648372
11/2023,33068.06072638326
12/2023,33025.04847435434
01/2024,35885.372624835945
02/2024,37927.28050181885
03/2024,39636.85844394978
04/2024,39355.89548281539
