Data,IE00BZ163H91
04/2009,10000
05/2009,9878.618811789673
06/2009,10000.5644991397
07/2009,10175.026025567884
08/2009,10224.460463514653
09/2009,10285.707641004516
10/2009,10295.762041187205
11/2009,10363.07828176121
12/2009,10271.867786223063
01/2010,10324.141443647874
02/2010,10449.591132584408
03/2010,10511.135831070575
04/2010,10440.694799980922
05/2010,10597.945542085148
06/2010,10520.157746376055
07/2010,10613.802170740135
08/2010,10891.982735634863
09/2010,10763.444961755784
10/2010,10707.428992571075
11/2010,10434.478870181007
12/2010,10381.403486905703
01/2011,10333.390528755654
02/2011,10326.88433771571
03/2011,10262.310367270944
04/2011,10326.30937928483
05/2011,10421.707522373667
06/2011,10384.445247903843
07/2011,10394.131651894559
08/2011,10700.220243839529
09/2011,10781.849214767311
10/2011,10571.437208126337
11/2011,10314.867785357366
12/2011,10722.49373638496
01/2012,10924.317700929618
02/2012,11118.249707246363
03/2012,11122.290423851699
04/2012,11099.274249764838
05/2012,11234.840830364812
06/2012,11145.260483201328
07/2012,11326.379102686717
08/2012,11404.063186201027
09/2012,11552.101284502762
10/2012,11635.288113555676
11/2012,11803.985786286783
12/2012,11893.931861801939
01/2013,11833.113820428396
02/2013,11855.864086885045
03/2013,11933.630789320347
04/2013,12236.335688642908
05/2013,12082.042513958275
06/2013,11899.343482567247
07/2013,11986.47805531778
08/2013,11921.56981416453
09/2013,12011.113627781095
10/2013,12180.27258254258
11/2013,12221.0703502498
12/2013,12151.54911388261
01/2014,12415.600056179926
02/2014,12498.56068694437
03/2014,12612.601993451897
04/2014,12731.523842678122
05/2014,12857.947894452756
06/2014,12994.796261721645
07/2014,13112.167118438272
08/2014,13359.596799574043
09/2014,13371.037394541057
10/2014,13403.01781194368
11/2014,13588.131340102142
12/2014,13737.161399630004
01/2015,14054.149963197393
02/2015,14151.567582838496
03/2015,14325.151599770763
04/2015,14121.318913254629
05/2015,13906.761295505501
06/2015,13548.12278645389
07/2015,13860.03984110024
08/2015,13710.20050638499
09/2015,13891.716515997528
10/2015,14036.000734087034
11/2015,14096.72051119021
12/2015,13953.701100825756
01/2016,14225.975462194872
02/2016,14360.424363480059
03/2016,14427.33131543445
04/2016,14263.484020804128
05/2016,14411.757682266996
06/2016,14740.51751430475
07/2016,14860.250924087723
08/2016,14812.48222326918
09/2016,14841.145034747085
10/2016,14525.915142530039
11/2016,14299.725123044325
12/2016,14393.967447437493
01/2017,14096.561218141527
02/2017,14260.574966281243
03/2017,14175.480139370091
04/2017,14247.749999064019
05/2017,14327.001872735587
06/2017,14248.14069892908
07/2017,14279.860845687537
08/2017,14399.421056880516
09/2017,14330.483976282867
10/2017,14487.23069255735
11/2017,14530.495185274896
12/2017,14408.283583999895
01/2018,14356.025189863458
02/2018,14382.068869645727
03/2018,14611.811378720076
04/2018,14555.949968407178
05/2018,14376.766655038666
06/2018,14484.679302493458
07/2018,14433.96808215415
08/2018,14350.194531567457
09/2018,14330.394854191149
10/2018,14323.768098936604
11/2018,14406.020620568157
12/2018,14539.013820227641
01/2019,14694.614159765455
02/2019,14638.871979664955
03/2019,14904.52637592466
04/2019,14898.273148716464
05/2019,15060.076721612852
06/2019,15405.052823191278
07/2019,15665.108020712236
08/2019,16050.436753704238
09/2019,15987.112522086425
10/2019,15806.379163005486
11/2019,15663.372459187969
12/2019,15512.411248722135
01/2020,15893.795341117622
02/2020,15969.179893503879
03/2020,15554.742393641352
04/2020,15630.9370555065
05/2020,15663.408625040078
06/2020,15820.456680906555
07/2020,15984.962370789484
08/2020,15859.122383695447
09/2020,16078.693712893833
10/2020,16236.405664316108
11/2020,16251.330985673463
12/2020,16275.124453242417
01/2021,16175.01121021557
02/2021,15868.266739758592
03/2021,15889.94250747726
04/2021,15719.35914229825
05/2021,15710.743931381247
06/2021,15783.999829866929
07/2021,16073.77053767017
08/2021,15979.268406709025
09/2021,15787.105286581422
10/2021,15685.996698453775
11/2021,15958.640872869335
12/2021,15701.536533914114
01/2022,15531.378396577076
02/2022,15228.108643098598
03/2022,14867.692329132366
04/2022,14300.75767085022
05/2022,14037.474057263466
06/2022,13771.901284645062
07/2022,14340.563062630394
08/2022,13595.22832694091
09/2022,13073.843861483401
10/2022,13096.9278047099
11/2022,13409.047114181672
12/2022,12793.70364450386
01/2023,13103.407296845637
02/2023,12796.874577235436
03/2023,13106.8409449181
04/2023,13093.410378692452
05/2023,13147.756714747986
06/2023,13111.545828587994
07/2023,13089.727658631045
08/2023,13129.994232854237
09/2023,12779.46620910638
10/2023,12829.62743589767
11/2023,13215.346604546101
12/2023,13696.523270308553
01/2024,13628.388638184233
02/2024,13466.24491064215
03/2024,13605.414418599848
04/2024,13412.731557771522
