Data,IE00BZCQB185
12/1992,10000
01/1993,9981.901998351874
02/1993,10477.309500757267
03/1993,8896.37093614763
04/1993,8032.111883699167
05/1993,8462.909053917438
06/1993,8810.07316283996
07/1993,9738.364904360575
08/1993,11135.03487723448
09/1993,11157.787144917555
10/1993,11095.253281092477
11/1993,13837.338495064767
12/1993,14665.128924358893
01/1994,17322.89992990337
02/1994,18446.481901574985
03/1994,16042.84985409665
04/1994,15709.699628207803
05/1994,15552.543903676047
06/1994,16064.419463129578
07/1994,16022.37363868912
08/1994,17322.323970516296
09/1994,16171.466219568341
10/1994,15707.60793269709
11/1994,15398.751177660512
12/1994,14908.442682263789
01/1995,13691.268177578435
02/1995,12818.397257055027
03/1995,11848.674369857732
04/1995,11028.054666043427
05/1995,11648.341693675093
06/1995,11167.560237062937
07/1995,11492.221777062507
08/1995,11407.609818533543
09/1995,11216.185169856684
10/1995,10746.988466272469
11/1995,9199.756270335964
12/1995,9722.36848278443
01/1996,8889.271798013504
02/1996,10914.141924758787
03/1996,11013.782105151598
04/1996,12478.968059448744
05/1996,12150.352014846892
06/1996,12544.359547370284
07/1996,11327.64995674385
08/1996,10994.230967577238
09/1996,10189.553521876524
10/1996,9993.758842164207
11/1996,8988.91271917854
12/1996,9700.208094208725
01/1997,10858.298785441568
02/1997,12107.728714535535
03/1997,11252.26183559158
04/1997,12742.215252175241
05/1997,12537.507153610586
06/1997,14624.431957493907
07/1997,15274.711062235941
08/1997,13999.80386140978
09/1997,13863.23125565763
10/1997,13140.914100393868
11/1997,11475.586152914842
12/1997,11984.068466088285
01/1998,10981.448704731369
02/1998,12105.69538046023
03/1998,13028.791034785838
04/1998,13203.787979805387
05/1998,11513.739840352178
06/1998,10148.278977738917
07/1998,10057.530342712605
08/1998,9174.755288002698
09/1998,9170.869227759413
10/1998,8160.079669134234
11/1998,8240.790670364064
12/1998,8867.665222898222
01/1999,10245.716795887218
02/1999,10226.09740212829
03/1999,12247.042747652287
04/1999,10865.182985179526
05/1999,13073.269899899591
06/1999,13772.587779013851
07/1999,14748.30072751362
08/1999,16294.997007051395
09/1999,16135.27219228733
10/1999,15288.717133605753
11/1999,16807.731703857542
12/1999,19322.851366756036
01/2000,21947.70163874526
02/2000,26161.008208776486
03/2000,23857.03851805259
04/2000,21130.553514245545
05/2000,18175.187577130426
06/2000,19571.5305475682
07/2000,18031.366867144014
08/2000,19534.046875522323
09/2000,17675.543233702436
10/2000,16821.420833932843
11/2000,17478.03034926395
12/2000,16217.863821732917
01/2001,17658.016861389948
02/2001,17088.729547430034
03/2001,14733.960388292251
04/2001,14321.74337786791
05/2001,15586.446833277101
06/2001,14772.554087416045
07/2001,13832.52708964947
08/2001,13032.102295397948
09/2001,11244.82573677462
10/2001,12109.62172473862
11/2001,13558.948563158157
12/2001,13701.586221608115
01/2002,14219.919997019799
02/2002,15083.522055968891
03/2002,14864.026386073088
04/2002,13750.924571103957
05/2002,12359.239376617237
06/2002,11975.006735890347
07/2002,11341.695252776512
08/2002,11981.306960936621
09/2002,11361.867378443942
10/2002,11337.805072734212
11/2002,12431.80216069556
12/2002,12397.148988691222
01/2003,11517.656371495585
02/2003,11712.780450350432
03/2003,10720.907486295906
04/2003,10029.106138506906
05/2003,10207.102174029224
06/2003,12062.273103128577
07/2003,13005.234525149592
08/2003,15202.931379687507
09/2003,15070.291139340075
10/2003,16684.412172527016
11/2003,16553.41771355871
12/2003,18244.581792205627
01/2004,18147.20013238152
02/2004,17862.02720592626
03/2004,18562.14387907969
04/2004,18670.57702654554
05/2004,15396.11841645999
06/2004,15500.835922208891
07/2004,16759.4280922291
08/2004,16645.598799373325
09/2004,17617.3338726681
10/2004,17793.798127557253
11/2004,19122.608527099903
12/2004,20019.56988249445
01/2005,20540.575207114376
02/2005,20742.53416254881
03/2005,20501.479003904842
04/2005,19410.04792966191
05/2005,22188.78718903155
06/2005,24572.647372651027
07/2005,25941.878828210974
08/2005,25795.385233915804
09/2005,28672.813425170945
10/2005,25774.862765560214
11/2005,28914.916621191147
12/2005,31600.45222582277
01/2006,33075.15486042525
02/2006,34579.31571690863
03/2006,37285.997880005954
04/2006,37242.31667663781
05/2006,31122.87741996722
06/2006,32134.537754887442
07/2006,32011.75870230635
08/2006,34781.39878968245
09/2006,38064.31612789428
10/2006,40456.6690732243
11/2006,41115.05321945939
12/2006,42472.46427392555
01/2007,44259.07916665786
02/2007,39627.353641019276
03/2007,40523.841273177175
04/2007,44452.86894691775
05/2007,48053.52264208851
06/2007,48218.288922341315
07/2007,50442.164039808675
08/2007,48838.1631223225
09/2007,55118.46091408721
10/2007,63262.43575452355
11/2007,60645.7759970662
12/2007,65365.8648555982
01/2008,55395.62614338018
02/2008,52981.24127504576
03/2008,44348.72724437705
04/2008,50099.76828503541
05/2008,45091.61045838906
06/2008,35655.84606319584
07/2008,38404.447242386785
08/2008,40191.34713619493
09/2008,33767.64603141994
10/2008,27060.918051035922
11/2008,24216.01259996744
12/2008,24280.11263934419
01/2009,25822.423084512404
02/2009,23446.468417244912
03/2009,24971.056245783817
04/2009,29912.813859178725
05/2009,38480.91707721246
06/2009,37527.62210435834
07/2009,40843.50729780776
08/2009,39998.64357395419
09/2009,43255.16398679689
10/2009,41054.65741588255
11/2009,43825.117796110615
12/2009,47278.06247615496
01/2010,46159.3645009184
02/2010,48122.93632414829
03/2010,52899.19601525197
04/2010,54527.37517982249
05/2010,54251.68798718923
06/2010,56715.5781370184
07/2010,53777.31101880994
08/2010,54429.18319590778
09/2010,58772.29285517449
10/2010,58794.20733719976
11/2010,58554.34777568922
12/2010,61259.31803270286
01/2011,51942.13159579147
02/2011,50473.72386817146
03/2011,54579.51424816058
04/2011,51606.90188586431
05/2011,51030.179736324106
06/2011,51660.34633814108
07/2011,51132.216329888324
08/2011,44199.450586065956
09/2011,44192.94039621886
10/2011,46246.71263552561
11/2011,40526.65255602582
12/2011,39482.62740915104
01/2012,46884.26831332885
02/2012,48142.05275778514
03/2012,45848.015212243205
04/2012,44122.85928098528
05/2012,41532.934880829656
06/2012,43927.37169613518
07/2012,44807.26830834938
08/2012,44112.91110564716
09/2012,49294.34700334151
10/2012,47167.32966474331
11/2012,49275.18622769955
12/2012,48462.86639533154
01/2013,49527.68017440855
02/2013,47341.39123998887
03/2013,48581.602701504504
04/2013,49553.111655957764
05/2013,48310.54924214782
06/2013,44820.227414967594
07/2013,42910.97787962612
08/2013,38391.83675246642
09/2013,41061.43048171084
10/2013,44922.23613712687
11/2013,43469.427682553345
12/2013,44296.86961754728
01/2014,43458.106451984604
02/2014,43957.60001887881
03/2014,47847.22719283063
04/2014,47080.268395607825
05/2014,52484.153340072815
06/2014,54336.21841391837
07/2014,56112.352012902316
08/2014,58355.95001091196
09/2014,60263.36028945995
10/2014,62907.7990678348
11/2014,64090.56218464259
12/2014,61934.27247439729
01/2015,71763.66886220247
02/2015,73481.14565345208
03/2015,73547.74021664196
04/2015,65903.23966974641
05/2015,69245.78319818078
06/2015,68052.5287892408
07/2015,70626.01655024609
08/2015,62960.39629377703
09/2015,63280.842210790914
10/2015,65325.429805106476
11/2015,64745.85318061267
12/2015,64418.87318125021
01/2016,59769.52394052174
02/2016,55476.167896284234
03/2016,59963.42171120572
04/2016,60121.111853650356
05/2016,62585.91427319471
06/2016,63679.63929858955
07/2016,67192.70674585186
08/2016,67818.90278210057
09/2016,66986.59248957832
10/2016,67928.60818096677
11/2016,64664.80211104299
12/2016,65155.36189896049
01/2017,66602.3485394821
02/2017,71550.81602510782
03/2017,75123.0636095734
04/2017,74857.56880023058
05/2017,74156.4038925598
06/2017,72304.30284150569
07/2017,75743.88525334669
08/2017,74511.56441011847
09/2017,71837.93732291476
10/2017,78208.29037261366
11/2017,76231.99312971442
12/2017,78954.0391260492
01/2018,78587.28947996769
02/2018,74734.52921634054
03/2018,71388.44245313306
04/2018,75776.86641440667
05/2018,75385.20310361122
06/2018,74873.24562970958
07/2018,79179.70253415481
08/2018,80483.49068676967
09/2018,73586.74912249725
10/2018,69972.98125258225
11/2018,76912.31355037444
12/2018,76158.62000769797
01/2019,74403.03161245139
02/2019,74855.59901342422
03/2019,83040.73270848632
04/2019,83587.75508753942
05/2019,84226.76724985697
06/2019,82259.84688045026
07/2019,79527.36735950787
08/2019,77963.47312978859
09/2019,81404.7172832017
10/2019,82863.78209550184
11/2019,83644.13249443242
12/2019,82965.61464343911
01/2020,83620.85316149457
02/2020,78024.16227991672
03/2020,58483.543767036914
04/2020,68393.56591366687
05/2020,64921.642514656654
06/2020,68925.61212717666
07/2020,71942.08349506443
08/2020,73865.9623925534
09/2020,75766.87012365846
10/2020,76696.15012932158
11/2020,81331.9444347666
12/2020,87456.73609869482
01/2021,86329.23998764338
02/2021,90942.63727900223
03/2021,96116.93129294891
04/2021,92373.36025621292
05/2021,99394.19755524516
06/2021,101314.80629887892
07/2021,102151.1335560678
08/2021,113833.42527312247
09/2021,117013.09741835833
10/2021,115393.74051010676
11/2021,114626.51391831844
12/2021,119256.37145717554
01/2022,119361.66678992346
02/2022,114116.13486531003
03/2022,119280.28260827597
04/2022,123478.89698129024
05/2022,114424.26244871602
06/2022,110059.35341105702
07/2022,122554.46899621545
08/2022,130113.41755249994
09/2022,124996.6976914859
10/2022,126035.65624453634
11/2022,126650.46672947945
12/2022,116392.52956219896
01/2023,111138.27665064015
02/2023,108174.5596169276
03/2023,106801.26377555396
04/2023,110136.30581294074
05/2023,116499.81319367538
06/2023,119916.9126127584
07/2023,121715.7026868038
08/2023,121100.81410603573
