Data,LU0489337690
10/2012,10000
11/2012,10117.475773397951
12/2012,10255.07458959147
01/2013,9930.616422320369
02/2013,10071.489514974292
03/2013,10160.906653909595
04/2013,10836.838261210652
05/2013,10985.420314063216
06/2013,10263.80266806172
07/2013,10778.013297554588
08/2013,10304.209021141558
09/2013,10900.605732676193
10/2013,11417.258078260074
11/2013,11398.757683516302
12/2013,11414.334340114143
01/2014,11576.924719304916
02/2014,12253.618815300431
03/2014,11979.0900224508
04/2014,12334.715898918877
05/2014,12856.772032908932
06/2014,12966.172888047267
07/2014,12967.9324782238
08/2014,13316.078757397727
09/2014,13036.097302100781
10/2014,13374.302863645928
11/2014,13868.294467564676
12/2014,14108.19865379293
01/2015,15991.696078326051
02/2015,16866.58118381207
03/2015,16828.77462371544
04/2015,16490.058404291976
05/2015,16353.255523302023
06/2015,15622.65895946525
07/2015,16691.272551551894
08/2015,16125.987239903727
09/2015,16154.684457209954
10/2015,17421.28879372756
11/2015,17192.935533690943
12/2015,16591.617383047807
01/2016,15722.637089051745
02/2016,15224.207289667504
03/2016,16123.63505346491
04/2016,16122.593455403125
05/2016,16637.14819226809
06/2016,15620.721496026521
07/2016,16559.736748952404
08/2016,16577.69888894951
09/2016,16174.96912761692
10/2016,15054.201380367673
11/2016,14907.871541207134
12/2016,15664.08939465355
01/2017,15142.490323407552
02/2017,15820.423468613631
03/2017,15842.82090959326
04/2017,16414.232380254874
05/2017,16741.444137027644
06/2017,16415.999136448037
07/2017,16347.709286949255
08/2017,16404.8482137448
09/2017,16579.25749826067
10/2017,16745.626252361457
11/2017,16856.897777293125
12/2017,17553.90778628282
01/2018,17365.40296012805
02/2018,16392.605424282203
03/2018,16968.721444028088
04/2018,17693.910527018383
05/2018,17768.90600036281
06/2018,17809.204364588335
07/2018,18023.883591027996
08/2018,18100.704323746082
09/2018,17554.685853929408
10/2018,17007.261077122883
11/2018,16845.434021024514
12/2018,16009.804676785465
01/2019,17661.614269305348
02/2019,17444.81586080579
03/2019,18155.12806321745
04/2019,17973.960486720618
05/2019,17900.180130965142
06/2019,17373.127390760998
07/2019,17458.506920671876
08/2019,18030.204538761518
09/2019,18843.496088399603
10/2019,19422.185562564486
11/2019,19908.880608576837
12/2019,20507.58036675325
01/2020,20843.57907902979
02/2020,19279.157381905454
03/2020,15153.91924212669
04/2020,15694.6366987734
05/2020,15924.833937934485
06/2020,16074.035539783863
07/2020,16238.637534011967
08/2020,16579.079853867035
09/2020,16297.737046281858
10/2020,15600.935219362542
11/2020,17584.119901444465
12/2020,18244.237016182087
01/2021,17740.774340633383
02/2021,17526.828626502134
03/2021,18137.86638037423
04/2021,19021.951937346803
05/2021,19773.235628331044
06/2021,19857.129687672244
07/2021,21150.84369892705
08/2021,21700.496429294184
09/2021,19849.166412861006
10/2021,20939.64238025771
11/2021,20996.52195369685
12/2021,21376.824665785836
01/2022,20771.764811737627
02/2022,20109.753782198728
03/2022,20262.551931803275
04/2022,19107.385117868853
05/2022,18296.197868347208
06/2022,15381.795516852262
07/2022,17289.845891424844
08/2022,15412.794885404399
09/2022,12839.825223624832
10/2022,13306.460312533345
11/2022,13628.168071109769
12/2022,13412.094720690535
01/2023,14599.851263579558
02/2023,14435.961875235806
03/2023,12773.789299956841
04/2023,13492.575599790696
05/2023,12477.862689723885
06/2023,12302.946717558716
07/2023,13420.091539970317
08/2023,13291.736435993518
09/2023,12813.119059841249
10/2023,12360.796660818894
11/2023,14074.411937324076
12/2023,15553.345800765634
01/2024,15099.040453209891
02/2024,13925.086181205534
03/2024,15101.242398371001
04/2024,14805.000628446911
