Data,NL0009690239
03/2007,10000
04/2007,9770.131935753025
05/2007,9961.421976240348
06/2007,9108.638115619357
07/2007,8491.368020902464
08/2007,8814.7231572308
09/2007,8957.91305062861
10/2007,9032.919999879414
11/2007,8229.347745873354
12/2007,7806.576562624381
01/2008,7522.641799331215
02/2008,7118.310079876751
03/2008,6878.343108914187
04/2008,7509.817553837184
05/2008,7292.331712715922
06/2008,6333.101219326171
07/2008,6467.762919054147
08/2008,6700.903835774557
09/2008,6393.986005308983
10/2008,5205.742610266242
11/2008,4390.734957245855
12/2008,4409.135217770264
01/2009,4117.305917967318
02/2009,3408.3288252644325
03/2009,3466.1468732324715
04/2009,4199.988931429556
05/2009,4359.694423407829
06/2009,4419.769604135082
07/2009,4749.8338173087495
08/2009,5193.596911259953
09/2009,5357.321902860678
10/2009,5208.842134546656
11/2009,5255.00269274864
12/2009,5675.924083652425
01/2010,5588.987546091492
02/2010,5815.20972791788
03/2010,6233.895873410187
04/2010,6585.963029937893
05/2010,6495.180312625592
06/2010,6334.287692892845
07/2010,6536.53912186226
08/2010,6754.840799223633
09/2010,6750.331574890206
10/2010,6911.434386807347
11/2010,7049.525481496874
12/2010,7319.621664206754
01/2011,7284.6228634647905
02/2011,7542.163627178536
03/2011,7150.2240317912765
04/2011,7237.322344649508
05/2011,7513.291711685898
06/2011,7286.9407431362915
07/2011,7423.484464442337
08/2011,7018.35982873295
09/2011,6653.633653199936
10/2011,7178.153059326904
11/2011,7051.701826734266
12/2011,7333.488241976917
01/2012,7812.409029229715
02/2012,7870.748499157752
03/2012,8098.419871335777
04/2012,8342.064458554454
05/2012,8352.68331183702
06/2012,8733.923768011591
07/2012,9353.397321095892
08/2012,9110.018913676146
09/2012,8990.209926286441
10/2012,9032.775735258509
11/2012,9017.318209058778
12/2012,9241.242725381228
01/2013,9178.868808951916
02/2013,9650.577294769571
03/2013,10120.243963972867
04/2013,10710.54311160258
05/2013,9931.738821729776
06/2013,9712.771082769152
07/2013,9566.590007075447
08/2013,9194.424382231025
09/2013,9491.169102547017
10/2013,9690.515873765138
11/2013,9309.321650843978
12/2013,9221.84008485194
01/2014,9390.351861462499
02/2014,9577.248340088521
03/2014,9594.934042442716
04/2014,9821.678718959787
05/2014,10309.609873087311
06/2014,10410.724093303039
07/2014,10683.863875160838
08/2014,11015.873618412019
09/2014,10734.08148886255
10/2014,11579.983826767222
11/2014,11745.201405151622
12/2014,12101.274121299497
01/2015,13680.462467167603
02/2015,13737.75166664329
03/2015,14331.249539470942
04/2015,13433.289198352742
05/2015,13534.13494790289
06/2015,12748.931600962995
07/2015,13518.06500883066
08/2015,12531.548421603202
09/2015,12790.586070008207
10/2015,13728.928175743378
11/2015,13959.436485762308
12/2015,13797.306796421402
01/2016,13293.60267215058
02/2016,13170.243784182469
03/2016,13794.800163635127
04/2016,13626.107180873376
05/2016,14034.975786326544
06/2016,14590.466130894356
07/2016,15126.160761486375
08/2016,14677.92459725546
09/2016,14437.702046160892
10/2016,13915.242477737815
11/2016,13974.664203585511
12/2016,14498.925749060107
01/2017,14158.777632642734
02/2017,14890.999884443445
03/2017,14550.298259572859
04/2017,14414.209142133763
05/2017,14096.93846638001
06/2017,13990.284840619292
07/2017,13747.65176655406
08/2017,13620.380053202693
09/2017,13649.247553158588
10/2017,13784.780057214895
11/2017,13834.931301030281
12/2017,13966.71186523184
01/2018,13408.813277742855
02/2018,12818.261209770122
03/2018,13072.564906405561
04/2018,13532.544013546034
05/2018,14105.551768304571
06/2018,14382.557619988018
07/2018,14525.589421546989
08/2018,14731.827130147749
09/2018,14413.710255567943
10/2018,14337.130832401566
11/2018,14949.990664369587
12/2018,14018.731842271614
01/2019,15403.160737609875
02/2019,15416.35618488371
03/2019,16244.737163075095
04/2019,16011.176553584788
05/2019,16217.931038851988
06/2019,16082.81765843391
07/2019,16509.183838806868
08/2019,17127.736391793118
09/2019,17674.44465007032
10/2019,17639.220462920155
11/2019,17530.023231025833
12/2019,17194.712222426195
01/2020,17690.02821595757
02/2020,16280.255858335782
03/2020,12586.115350471771
04/2020,13629.054926454744
05/2020,13481.46399011071
06/2020,13677.268367803346
07/2020,13434.073879261574
08/2020,13673.385028341994
09/2020,13505.93535633013
10/2020,13157.653309603389
11/2020,14444.546043934015
12/2020,14626.59919398231
01/2021,14587.272698853734
02/2021,15021.912317523724
03/2021,16067.42755292847
04/2021,16707.647449779342
05/2021,16788.75013688063
06/2021,17557.218468762632
07/2021,18313.294508039056
08/2021,18671.15623836028
09/2021,18021.330975718993
10/2021,19149.228481913855
11/2021,19376.955947731396
12/2021,20431.719682452844
01/2022,19640.305332456235
02/2022,19059.69272592501
03/2022,20157.267528233864
04/2022,20107.25475582754
05/2022,18700.023779621755
06/2022,17513.32959497063
07/2022,19405.47240715391
08/2022,18376.31665347744
09/2022,16525.643440588257
10/2022,16832.846573262854
11/2022,17189.880211431948
12/2022,16092.862531139455
01/2023,17274.15342568704
02/2023,16930.689870748698
03/2023,15962.512652477426
04/2023,16131.75158325183
05/2023,15874.707210536068
06/2023,16063.725967349563
07/2023,16496.028230938347
08/2023,16282.921740756121
09/2023,15697.503158012421
10/2023,14987.424841144455
11/2023,16128.63734648864
12/2023,17576.12824897043
01/2024,17166.1618767437
02/2024,17142.784714207377
03/2024,17913.086210906087
04/2024,17013.87994197003
