Data,XS2115336336
12/1978,10000
01/1979,10483.52121252989
02/1979,11326.158908006728
03/1979,10816.894227014036
04/1979,11173.164181656153
05/1979,12644.749371110094
06/1979,12627.918407316585
07/1979,13005.661146182903
08/1979,13864.45522475855
09/1979,17288.997554367135
10/1979,16694.97697930224
11/1979,18091.067543469562
12/1979,22294.674314043034
01/1980,27507.77666406057
02/1980,27080.16161382465
03/1980,22134.990302533235
04/1980,23462.81196895471
05/1980,23202.979511531277
06/1980,27899.710396071478
07/1980,25896.72481766247
08/1980,27140.02235457098
09/1980,28596.540694226078
10/1980,27654.082135036537
11/1980,28200.354834657643
12/1980,27667.215144502676
01/1981,23840.44204865234
02/1981,24582.16370205513
03/1981,25841.122833691687
04/1981,24924.218195041736
05/1981,26252.43963722811
06/1981,24226.103182438128
07/1981,23789.694277109124
08/1981,25576.31009018762
09/1981,24627.924170026283
10/1981,23798.439353910977
11/1981,22851.3463933459
12/1981,22353.06123176677
01/1982,21954.86242482906
02/1982,21253.884449250658
03/1982,19097.03989301299
04/1982,21889.92946130333
05/1982,19033.374984894595
06/1982,19656.651854212123
07/1982,21682.885721139843
08/1982,26178.286745241745
09/1982,25489.788232332932
10/1982,27494.732686830488
11/1982,28794.637281924173
12/1982,28366.38569150021
01/1983,31401.528053078735
02/1983,26148.57547375937
03/1983,26679.6068705099
04/1983,28007.332750261095
05/1983,28720.546323264985
06/1983,28142.645249690864
07/1983,28932.643461105665
08/1983,29318.93541458219
09/1983,28679.07361750322
10/1983,26601.576300429242
11/1983,28954.10748357415
12/1983,27961.788919847735
01/1984,28005.02509911789
02/1984,28631.70609553717
03/1984,27205.442273964385
04/1984,26778.041942460466
05/1984,28393.058872266174
06/1984,27556.87995523372
07/1984,26240.2341538595
08/1984,26990.06817154128
09/1984,27897.296787045572
10/1984,27554.596889806886
11/1984,26468.912126908897
12/1984,25781.45261900205
01/1985,26266.957597713805
02/1985,25564.597467836615
03/1985,29316.215170946543
04/1985,26631.003850276054
05/1985,26201.280871152296
06/1985,26049.94155961375
07/1985,25537.57972918172
08/1985,25091.940218926924
09/1985,24922.615608316635
10/1985,23342.390368474007
11/1985,22903.197416489034
12/1985,22478.122168001446
01/1986,23594.77332809481
02/1986,21866.009548269612
03/1986,21629.381133215807
04/1986,21852.290555394535
05/1986,21311.970912799898
06/1986,21618.080096846916
07/1986,21634.014580010953
08/1986,22580.612594689956
09/1986,24645.567563223412
10/1986,23092.297206607385
11/1986,22658.91741041434
12/1986,22416.10463249626
01/1987,21587.568735607514
02/1987,21488.874734894347
03/1987,22253.627589553547
04/1987,23645.136848388407
05/1987,23241.739327924945
06/1987,23463.193993110202
07/1987,24610.18987835469
08/1987,24311.8329728943
09/1987,23995.303381199552
10/1987,24302.464004764788
11/1987,23986.964699250835
12/1987,22973.168893624905
01/1988,21852.878899491625
02/1988,20919.06750771276
03/1988,22125.26564930136
04/1988,21608.359535755764
05/1988,22134.908925123567
06/1988,21999.86474201713
07/1988,23119.303020302003
08/1988,23145.244749402595
09/1988,21306.3019981113
10/1988,21599.083018676203
11/1988,21253.86325589438
12/1988,20646.4586666612
01/1989,20616.63446585559
02/1989,20498.528916947453
03/1989,20429.692096340394
04/1989,20237.0035572465
05/1989,20222.5131643498
06/1989,21221.24117356896
07/1989,20036.750799562124
08/1989,19873.943834646234
09/1989,20551.24179946022
10/1989,20249.128643881253
11/1989,21702.947561896955
12/1989,20441.7465131401
01/1990,20534.726533977042
02/1990,19900.75471895806
03/1990,18299.15386046469
04/1990,18025.161673806833
05/1990,17501.378943303436
06/1990,17090.204038352214
07/1990,17517.306728878277
08/1990,17438.505070241048
09/1990,18394.656924907576
10/1990,16588.79569267291
11/1990,16486.99780444186
12/1990,16945.570598802442
01/1991,15898.462804594956
02/1991,15490.239741794812
03/1991,16529.816414790213
04/1991,17510.782478799134
05/1991,17873.31434259546
06/1991,18945.6914120616
07/1991,18683.646673018742
08/1991,17491.116920621418
09/1991,17372.53339590526
10/1991,17471.077202946894
11/1991,17230.80838950028
12/1991,16092.943675151393
01/1992,16235.486151900017
02/1992,16544.12311906903
03/1992,16434.946288074083
04/1992,16028.71418668347
05/1992,15773.161326001202
06/1992,15586.729033905756
07/1992,15467.082499274651
08/1992,14322.174084275883
09/1992,15038.287890527046
10/1992,15223.479787111855
11/1992,15976.561881984428
12/1992,15901.195235247656
01/1993,16089.523411665248
02/1993,16345.229666007765
03/1993,16934.119428421633
04/1993,17153.846769901105
05/1993,18316.595708398512
06/1993,18897.71204353267
07/1993,20908.566105531703
08/1993,19480.766178368456
09/1993,17894.62233531608
10/1993,18819.488749317014
11/1993,19389.444254670125
12/1993,20409.30856117906
01/1994,20007.159954201772
02/1994,20119.033123862515
03/1994,20094.435432403705
04/1994,19488.819181095874
05/1994,19631.21343943919
06/1994,19341.226305734574
07/1994,18536.395497082314
08/1994,18638.865680626677
09/1994,18870.70063034586
10/1994,17990.931186106598
11/1994,18219.481009891308
12/1994,18559.64575752239
