Data,DE0006289382
08/2001,10000
09/2001,9412.412127093921
10/2001,9941.012394162999
11/2001,10455.107957445356
12/2001,10805.659271407954
01/2002,10405.328120193855
02/2002,10306.612004345461
03/2002,10568.430222892453
04/2002,9303.815364157846
05/2002,9098.455098461221
06/2002,8040.691664117005
07/2002,7428.732329995086
08/2002,7452.771028606225
09/2002,6550.552455576623
10/2002,7368.546614394377
11/2002,7743.86413358157
12/2002,6868.37461572275
01/2003,6363.278962107588
02/2003,6286.112382570996
03/2003,6303.628621992012
04/2003,6688.998949086941
05/2003,6550.180513567528
06/2003,6945.937277125955
07/2003,7052.1159751185405
08/2003,7224.7767788767815
09/2003,6875.2851763448025
10/2003,7132.776436276751
11/2003,7019.460574801908
12/2003,7148.324734864723
01/2004,7333.99847368187
02/2004,7413.125221174672
03/2004,7340.828182447786
04/2004,7483.88781050828
05/2004,7365.787667518285
06/2004,7476.003592396433
07/2004,7350.9399021567915
08/2004,7370.205662485682
09/2004,7223.969746533993
10/2004,7119.778153278393
11/2004,7050.39492976127
12/2004,7112.7184811015595
01/2005,7259.741864790882
02/2005,7413.357015620494
03/2005,7368.670153727127
04/2005,7296.4093377463705
05/2005,7801.819036016371
06/2005,7969.625677665579
07/2005,8103.321676180638
08/2005,7917.970204058555
09/2005,8241.552064089785
10/2005,8107.055894381365
11/2005,8436.175916297852
12/2005,8422.56509635998
01/2006,8416.61269517108
02/2006,8539.183444582342
03/2006,8571.501895563562
04/2006,8429.416382924226
05/2006,8037.289534069245
06/2006,8157.167168757325
07/2006,8386.124212453478
08/2006,8627.886761896338
09/2006,8799.167944621406
10/2006,8966.725262791908
11/2006,8788.584667825347
12/2006,9051.110831527729
01/2007,9154.042211527329
02/2007,8797.321641951026
03/2007,8788.259683473605
04/2007,9038.303422658326
05/2007,9342.422508672125
06/2007,9329.840599661067
07/2007,9057.73952051004
08/2007,9110.923944562574
09/2007,9097.044123426696
10/2007,9090.07169999716
11/2007,8676.599720383683
12/2007,8657.21915213445
01/2008,7863.470848143303
02/2008,7578.766097670506
03/2008,7230.824939464246
04/2008,7666.9511583264375
05/2008,7548.385185922285
06/2008,6888.601740352773
07/2008,6901.050655703569
08/2008,7208.126280294631
09/2008,6804.209207747369
10/2008,6437.859287369362
11/2008,6034.797774442659
12/2008,5432.228356437101
01/2009,5449.634772156604
02/2009,5004.518246314238
03/2009,5123.487412274139
04/2009,5504.530526045193
05/2009,5486.0765133255745
06/2009,5564.34223065366
07/2009,5962.96335230093
08/2009,6082.394659532764
09/2009,6158.509104751376
10/2009,6154.5575912614695
11/2009,6311.262976551176
12/2009,6694.301907997945
01/2010,6560.017799326045
02/2010,6710.794388870172
03/2010,7085.439204791741
04/2010,7181.760930622439
05/2010,6955.321691742838
06/2010,6755.941273034034
07/2010,6774.527472996274
08/2010,6701.799631669181
09/2010,6735.704074144711
10/2010,6859.592123129174
11/2010,7100.258549756914
12/2010,7451.937841075701
01/2011,7460.41904614144
02/2011,7618.713987248649
03/2011,7327.649405565016
04/2011,7290.036924033084
05/2011,7373.985804806699
06/2011,7167.8337047114455
07/2011,7215.314246059211
08/2011,6734.44888780574
09/2011,6784.5563082490935
10/2011,7146.532737627419
11/2011,7254.9644887552995
12/2011,7668.981113659139
01/2012,7832.708661356652
02/2012,8068.531543451027
03/2012,8293.397171809029
04/2012,8224.587563185192
05/2012,8153.083219660957
06/2012,8402.346272449984
07/2012,8856.63293729535
08/2012,8841.25066191499
09/2012,8927.993797850144
10/2012,8664.470673354857
11/2012,8657.602986955162
12/2012,8604.743453775129
01/2013,8686.30073116172
02/2013,9049.564172028238
03/2013,9378.430242198243
04/2013,9427.207973696131
05/2013,9616.8936113283
06/2013,9334.85097535503
07/2013,9538.859730375872
08/2013,9380.740468179978
09/2013,9391.79243987789
10/2013,9799.012553250312
11/2013,10034.8656092662
12/2013,9991.271216150464
01/2014,9826.223884080444
02/2014,9979.979974246662
03/2014,10151.559739313821
04/2014,10303.811593323813
05/2014,10644.089770000188
06/2014,10741.57777380922
07/2014,10855.156789673169
08/2014,11295.35602311854
09/2014,11593.048310777775
10/2014,11699.848677414151
11/2014,11929.178226371761
12/2014,11992.919062939367
01/2015,12470.948458453933
02/2015,13287.630362140702
03/2015,13505.48327952723
04/2015,13445.580621367442
05/2015,13721.315939606879
06/2015,13090.021608635037
07/2015,13484.474599582058
08/2015,12384.918143858926
09/2015,12121.313007621551
10/2015,13422.725826871925
11/2015,14014.709104106889
12/2015,13413.561316008507
01/2016,12884.561759417995
02/2016,12612.305836895168
03/2016,12826.870215143876
04/2016,12788.885346329644
05/2016,13400.62826716711
06/2016,13513.136422573432
07/2016,13913.440754356883
08/2016,14039.304868803825
09/2016,13983.788791580388
10/2016,14047.895110416006
11/2016,14725.616684562798
12/2016,15294.236318686599
01/2017,15145.51358683574
02/2017,15985.465167058488
03/2017,16049.831936942299
04/2017,15918.459548243498
05/2017,15761.016185260116
06/2017,15471.16142886121
07/2017,15337.154208485761
08/2017,15307.450843241913
09/2017,15614.992277993231
10/2017,16300.408458611928
11/2017,16227.430606986776
12/2017,16326.904766375852
01/2018,16605.95837700039
02/2018,16321.856944831696
03/2018,15700.542101002164
04/2018,16162.858918822478
05/2018,16999.92268651471
06/2018,17074.474546549074
07/2018,17785.4292953486
08/2018,18427.110087198394
09/2018,18671.033580136605
10/2018,17912.00636711778
11/2018,17972.89188045771
12/2018,16431.484249737452
01/2019,17490.469673722277
02/2019,18197.764217746753
03/2019,19044.62779707728
04/2019,19853.485302816905
05/2019,18730.276557138084
06/2019,19592.72474879797
07/2019,20295.930286057133
08/2019,20010.209984226163
09/2019,20696.95729002055
10/2019,20749.855910067177
11/2019,21714.998946612555
12/2019,22110.324265887633
01/2020,22617.851479512523
02/2020,20859.006583289283
03/2020,19107.082944776364
04/2020,21472.456141107905
05/2020,21866.099590541948
06/2020,22427.885665696493
07/2020,22543.333593824827
08/2020,24196.111936561938
09/2020,23345.584072113277
10/2020,22469.765975581926
11/2020,24121.704353819678
12/2020,24862.23747270928
01/2021,24911.98250891529
02/2021,25173.45145403911
03/2021,26675.257274774587
04/2021,27580.59798190571
05/2021,27043.092106613585
06/2021,29021.886930238772
07/2021,29688.045303162562
08/2021,30869.04141050985
09/2021,29834.463700028053
10/2021,31963.778045104802
11/2021,32796.11003136175
12/2021,33437.88451671897
01/2022,32181.32301711472
02/2022,30790.085404923106
03/2022,32373.639543034045
04/2022,30555.482353448962
05/2022,29843.302315462992
06/2022,28002.817044583408
07/2022,31370.868499191576
08/2022,30145.983578539985
09/2022,27951.38608418682
10/2022,29004.84465181492
11/2022,29477.4022583727
12/2022,26699.58372608001
01/2023,28289.119889803045
02/2023,28362.296825206115
03/2023,29795.961023940738
04/2023,29969.330250042203
05/2023,32164.44583499149
06/2023,33266.77241908142
07/2023,34061.31123710628
08/2023,34159.68197489043
09/2023,33325.76218283101
10/2023,32708.825031446304
11/2023,34573.23460476081
12/2023,35394.47765060579
01/2024,37120.05504645144
02/2024,39715.979525856856
03/2024,41038.8933660649
04/2024,40065.439358225136
