Data,DE000A0F5UH1
12/1998,10000
01/1999,10469.066666666668
02/1999,10914.58892342658
03/1999,11842.920551051984
04/1999,13267.02707905949
05/1999,12929.317065006042
06/1999,13699.047806095952
07/1999,13523.568697916446
08/1999,13943.689248804109
09/1999,13519.578830952563
10/1999,13453.400349055104
11/1999,14055.178510445068
12/1999,14552.529631990603
01/2000,14126.531034261616
02/2000,13360.717537594239
03/2000,14413.415560323248
04/2000,15318.163250603353
05/2000,15425.910110836669
06/2000,15547.086240833822
07/2000,16065.97800663931
08/2000,17232.850444679032
09/2000,17365.500878391198
10/2000,18316.59925511512
11/2000,18232.711572552536
12/2000,18022.278534459263
01/2001,18293.460682605033
02/2001,18555.319610602422
03/2001,18450.661307323033
04/2001,19221.57243234286
05/2001,20895.076211508225
06/2001,21183.43505748107
07/2001,20620.08081447374
08/2001,19918.580231978496
09/2001,18633.779556802816
10/2001,19251.130494755584
11/2001,19940.973744899078
12/2001,20395.505679699552
01/2002,21294.033742906875
02/2002,21630.93926788408
03/2002,22537.191702079253
04/2002,22534.465183902896
05/2002,22477.164080455783
06/2002,20978.893144001628
07/2002,20034.29350532016
08/2002,20395.379841968963
09/2002,19085.46518720009
10/2002,19359.02878128512
11/2002,19552.483283247046
12/2002,18768.806713419224
01/2003,18271.49996364816
02/2003,17997.20480833495
03/2003,17847.341648756134
04/2003,18757.68751085992
05/2003,19138.965821066256
06/2003,19952.282259513617
07/2003,20621.156799533383
08/2003,21525.754126304528
09/2003,20955.144744974998
10/2003,22709.268906643905
11/2003,22442.976289237326
12/2003,22769.99683947864
01/2004,23586.715918107042
02/2004,24311.93756976533
03/2004,24695.206074556776
04/2004,24304.04067794217
05/2004,24233.1333819041
06/2004,24667.985592649075
07/2004,24907.533620665035
08/2004,25397.949847572472
09/2004,25622.2160603824
10/2004,26002.37946136773
11/2004,26280.481029796792
12/2004,26968.110977645898
01/2005,27799.434937530044
02/2005,28197.05010031713
03/2005,28315.959738813835
04/2005,28366.73208842786
05/2005,29713.94701569895
06/2005,31048.78443507619
07/2005,31720.138585238128
08/2005,31365.94542317536
09/2005,32732.87817607981
10/2005,32020.873625880904
11/2005,33252.14026655757
12/2005,34161.69934029676
01/2006,34755.430564791706
02/2006,36221.803885545756
03/2006,35979.17300957767
04/2006,36126.979895206394
05/2006,34553.1845419981
06/2006,35032.865432839455
07/2006,35880.03969648019
08/2006,36674.297195585255
09/2006,37769.86015282383
10/2006,39265.73586612654
11/2006,38726.53992221468
12/2006,40772.43709844077
01/2007,41819.44776845095
02/2007,41226.84233495624
03/2007,41879.89827797566
04/2007,42067.76905057233
05/2007,43522.4801189921
06/2007,42489.15316372361
07/2007,40836.98365832693
08/2007,40845.566506851465
09/2007,40807.50799414683
10/2007,41489.20264618158
11/2007,38960.14046164213
12/2007,38184.171718902864
01/2008,35438.08252235747
02/2008,34102.08259542666
03/2008,32233.45507206797
04/2008,33625.57563766119
05/2008,32464.61793429196
06/2008,26698.400387000907
07/2008,26270.75961208011
08/2008,27415.838156578884
09/2008,26077.98828237888
10/2008,22191.252233457657
11/2008,20369.915367436515
12/2008,18583.86286660169
01/2009,17837.48439696984
02/2009,16125.950406220954
03/2009,16801.530101065666
04/2009,19223.45392393483
05/2009,20248.165164452916
06/2009,20461.599890300786
07/2009,22613.884095063586
08/2009,23365.880811128045
09/2009,24567.308535312186
10/2009,23891.178773508535
11/2009,24271.251046684534
12/2009,26021.57162416059
01/2010,25769.196306584032
02/2010,26555.441172259663
03/2010,28273.654393776105
04/2010,28712.974350649853
05/2010,28498.101300668073
06/2010,28903.67467042158
07/2010,29428.106451792497
08/2010,29656.121757485154
09/2010,29538.566617387893
10/2010,30034.94412958607
11/2010,30822.35287759845
12/2010,31723.84585624831
01/2011,31344.47190052056
02/2011,31982.282437310823
03/2011,31229.62976313834
04/2011,31459.442162353735
05/2011,32220.75861471423
06/2011,31544.54687985755
07/2011,31522.53762960999
08/2011,30256.554157434966
09/2011,30318.75734927346
10/2011,31021.18821511741
11/2011,31384.061589217672
12/2011,32519.558183374782
01/2012,32679.068248386156
02/2012,33054.25791350674
03/2012,33307.123247059244
04/2012,33483.54865870134
05/2012,33221.092359684466
06/2012,34523.79300298984
07/2012,36467.56528581699
08/2012,36159.60116987806
09/2012,36329.22163751013
10/2012,36157.61587035305
11/2012,35817.25253917428
12/2012,35931.05157898932
01/2013,36237.15124996995
02/2013,37651.5471352783
03/2013,38818.259284369386
04/2013,39345.80482512986
05/2013,38314.56169360063
06/2013,37120.26625195814
07/2013,37686.763375318165
08/2013,37230.55113739988
09/2013,38577.5345154553
10/2013,39869.65141379112
11/2013,39515.61454889835
12/2013,39414.526833808915
01/2014,39259.81897990963
02/2014,40272.08376951214
03/2014,41235.710561137355
04/2014,42257.735703616745
05/2014,43723.90624849203
06/2014,44367.85424933784
07/2014,44661.372831846
08/2014,46127.184708028035
09/2014,45628.84334481608
10/2014,46721.84721313344
11/2014,46986.55018294824
12/2014,47859.481247399235
01/2015,50935.81225035622
02/2015,52374.419680028615
03/2015,53128.746680405784
04/2015,52687.94502382393
05/2015,52683.80523549972
06/2015,50547.740276455275
07/2015,51114.13407080261
08/2015,46714.23737336039
09/2015,46144.75912853387
10/2015,49668.18759269281
11/2015,51126.50371405745
12/2015,49367.58104994519
01/2016,47723.46433181373
02/2016,48331.348420922695
03/2016,49270.40967118191
04/2016,49901.0728481608
05/2016,50557.02671449849
06/2016,50808.79612988604
07/2016,52436.276037133866
08/2016,52449.305391294576
09/2016,52428.277338577354
10/2016,52519.29674125806
11/2016,54467.43965889604
12/2016,55823.46632895783
01/2017,55876.583853886485
02/2017,58175.89364743863
03/2017,57894.22340650654
04/2017,57029.35838116026
05/2017,56597.039298280215
06/2017,55605.26115414329
07/2017,54972.73437024186
08/2017,54177.907394080874
09/2017,55663.733942408675
10/2017,57064.07208944742
11/2017,56646.44622011335
12/2017,57163.78406636809
01/2018,57068.61294401961
02/2018,55847.28246229012
03/2018,54287.359245094995
04/2018,56798.653863733896
05/2018,57060.76766371971
06/2018,56363.71972969694
07/2018,57830.61727491657
08/2018,56957.030405894606
09/2018,57167.18692626328
10/2018,55589.21208024879
11/2018,56794.54181140812
12/2018,53538.78086609078
01/2019,57412.14316339318
02/2019,58730.51211361463
03/2019,60029.36049117826
04/2019,61332.13842329028
05/2019,58741.0625718455
06/2019,60589.7722383852
07/2019,61085.85506322861
08/2019,59721.742047208325
09/2019,63124.661042511594
10/2019,63519.04105530722
11/2019,64318.34534917621
12/2019,65366.24256530869
01/2020,65061.360372574454
02/2020,59211.48684718537
03/2020,47382.05899362097
04/2020,50188.496256054255
05/2020,49752.931425451694
06/2020,51122.25475089465
07/2020,49587.167786920065
08/2020,51568.113201082604
09/2020,50307.24606237543
10/2020,50218.616266615354
11/2020,58101.52029708503
12/2020,59595.070464949786
01/2021,59452.85631344172
02/2021,63391.487558462424
03/2021,67718.63881924399
04/2021,67946.96183798529
05/2021,69089.4428434789
06/2021,68971.0713347242
07/2021,69075.91394677847
08/2021,70037.3223794296
09/2021,68489.12768256279
10/2021,69827.7100702034
11/2021,69488.78078761694
12/2021,72851.5567005469
01/2022,74447.0948844932
02/2022,73490.2336104125
03/2022,75338.85736464545
04/2022,75283.90063307427
05/2022,75340.8825942099
06/2022,68788.62315754764
07/2022,72798.02465502264
08/2022,71433.99792899116
09/2022,66514.20479051518
10/2022,68596.51050095257
11/2022,73628.28192003259
12/2022,71137.27748612496
01/2023,74748.90381225126
02/2023,74224.27091660906
03/2023,70263.8999394539
04/2023,69762.76997719081
05/2023,67106.59154833974
06/2023,67859.4835443138
