Data,DE000A0H0728
03/2005,10000
04/2005,9417.823793622369
05/2005,9815.727222386618
06/2005,10174.204554172919
07/2005,10625.667741239165
08/2005,11325.247892239107
09/2005,12001.473688967393
10/2005,11260.48940519585
11/2005,11528.597134616391
12/2005,11863.678567627681
01/2006,11758.474612387678
02/2006,11243.251423204438
03/2006,11271.83339167291
04/2006,11615.767581284414
05/2006,11420.891387574295
06/2006,11376.114678769774
07/2006,11687.312982832884
08/2006,11188.081796465314
09/2006,10668.73074992016
10/2006,11138.92632470528
11/2006,11295.379197534425
12/2006,10796.711136597178
01/2007,10995.671587978233
02/2007,11140.7364205668
03/2007,11154.657662946382
04/2007,11041.403459296842
05/2007,11176.374576165123
06/2007,10973.441389148022
07/2007,11031.973976677571
08/2007,10628.660969268514
09/2007,11091.637979809722
10/2007,11244.274123072719
11/2007,10655.755944571756
12/2007,11175.60810407233
01/2008,11526.755712455946
02/2008,12684.852902543671
03/2008,11390.872641778677
04/2008,11998.734096308799
05/2008,12347.703845204058
06/2008,13247.77676056452
07/2008,11786.617199977947
08/2008,11573.365624422458
09/2008,10543.971463767346
10/2008,9301.62529836979
11/2008,8671.22796638037
12/2008,7570.758678548428
01/2009,7776.50953474584
02/2009,7529.975567279956
03/2009,7409.057391493665
04/2009,7478.978513194543
05/2009,7955.47092425813
06/2009,7781.050750803225
07/2009,8027.226086097177
08/2009,7902.385481640999
09/2009,7820.391823203829
10/2009,7988.170267170079
11/2009,8143.477963432045
12/2009,8657.20780012854
01/2010,8276.585268268907
02/2010,8831.388182059925
03/2010,8777.0549467184
04/2010,9054.65598232894
05/2010,9114.574403187198
06/2010,9166.878428814754
07/2010,9215.520877207422
08/2010,9223.954116880095
09/2010,9188.598142035438
10/2010,9497.398369183586
11/2010,10085.475908081018
12/2010,10855.56841944318
01/2011,10695.939675643644
02/2011,10721.460189824049
03/2011,10651.60262897437
04/2011,10532.05000460339
05/2011,10325.31541379465
06/2011,9754.5817214357
07/2011,10175.53136360368
08/2011,10138.163207381327
09/2011,9246.600703059381
10/2011,9504.565639859344
11/2011,9693.76148229639
12/2011,9672.241787885185
01/2012,9729.30186460432
02/2012,9789.636977349137
03/2012,9442.12931128344
04/2012,9499.505069645253
05/2012,9193.001521944869
06/2012,9550.34045325366
07/2012,10417.461969448206
08/2012,10275.275554205804
09/2012,10188.762543525121
10/2012,9742.77647967202
11/2012,9749.385109795432
12/2012,9341.81485468454
01/2013,9310.583489315617
02/2013,9212.875758174645
03/2013,9506.38274628149
04/2013,9048.408556199964
05/2013,8886.964918303887
06/2013,8416.87080520625
07/2013,8402.882576133186
08/2013,8711.808059369238
09/2013,8316.13342996877
10/2013,8108.408516591728
11/2013,8058.38098504291
12/2013,8048.698255302429
01/2014,8233.70076378607
02/2014,8555.740500232707
03/2014,8603.241237378012
04/2014,8770.110512725378
05/2014,8666.646924286706
06/2014,8682.544240633457
07/2014,8418.585281749234
08/2014,8448.098697685467
09/2014,8299.807257362048
10/2014,8268.746507895556
11/2014,7955.119344113861
12/2014,7552.298581667954
01/2015,7837.301640021625
02/2015,8082.594184095398
03/2015,8007.175511466486
04/2015,8118.894862192317
05/2015,8073.088136002698
06/2015,8048.615159750288
07/2015,7336.643208025835
08/2015,7105.624099783715
09/2015,6867.423447055521
10/2015,6949.5508476406
11/2015,6709.480125380123
12/2015,6315.935092415256
01/2016,6188.624720570363
02/2016,6103.552748476243
03/2016,6057.777643533652
04/2016,6560.659107864386
05/2016,6692.16103707253
06/2016,6998.581148295719
07/2016,6631.764470252864
08/2016,6501.161139811595
09/2016,6684.6891070949105
10/2016,6780.208630758444
11/2016,7069.054841816287
12/2016,7257.819710375725
01/2017,7120.272033776531
02/2017,7238.795758205699
03/2017,6981.629593715974
04/2017,6723.162097159388
05/2017,6459.281555314838
06/2017,6336.597643088503
07/2017,6303.370246287252
08/2017,6273.875199059885
09/2017,6272.074677069378
10/2017,6496.8222104952065
11/2017,6349.197201935645
12/2017,6457.92042309027
01/2018,6338.238082611865
02/2018,6350.254436685072
03/2018,6253.580907566277
04/2018,6541.247188652289
05/2018,6846.709051871771
06/2018,6627.923731846527
07/2018,6440.837423749317
08/2018,6370.786398636959
09/2018,6532.301744414716
10/2018,6534.705343153257
11/2018,6471.624974507944
12/2018,5975.674182493044
01/2019,6278.037400436476
02/2019,6378.9950122844275
03/2019,6467.887360010394
04/2019,6447.745582308632
05/2019,6266.136341094647
06/2019,6302.206787566683
07/2019,6386.286148787641
08/2019,6300.563176665762
09/2019,6458.117379428249
10/2019,6429.664189117968
11/2019,6360.804306115196
12/2019,6528.960347637504
01/2020,6145.884225856604
02/2020,5873.699072399821
03/2020,5129.002028477757
04/2020,5085.268866187391
05/2020,5179.828552285278
06/2020,5266.978173997339
07/2020,5260.021770620849
08/2020,5570.428309547879
09/2020,5488.417947707538
10/2020,5568.378670246193
11/2020,5626.281025998712
12/2020,5763.71664174915
01/2021,5978.811512335963
02/2021,6371.074190688258
03/2021,6442.367097382271
04/2021,6767.848121368681
05/2021,6882.309739682867
06/2021,7194.090481224809
07/2021,7319.234069626349
08/2021,7329.860060679848
09/2021,7861.264610820332
10/2021,8015.6801208534835
11/2021,7610.875259925223
12/2021,7901.913814720407
01/2022,8723.807831831962
02/2022,9228.226083801024
03/2022,10111.030487221478
04/2022,11086.252254853887
05/2022,11069.584731083705
06/2022,10182.334769601772
07/2022,10809.51783858203
08/2022,11029.096451910913
09/2022,10392.419504906931
10/2022,10417.901199213076
11/2022,10222.688592162449
12/2022,9697.392813832805
01/2023,9497.197587001145
02/2023,9229.98044498064
03/2023,8990.61460732707
04/2023,8833.423887597268
05/2023,8564.58332128945
06/2023,8757.056913969816
07/2023,9169.208252734325
08/2023,9225.054500791515
09/2023,9394.403453203015
10/2023,9393.554897142409
11/2023,8916.365940208843
12/2023,8579.634134408467
01/2024,8779.749073475912
02/2024,8656.178610205217
03/2024,8951.630230682846
04/2024,9268.968627576274
