Data,DE000A0H08H3
12/1986,10000
01/1987,10150.756038647343
02/1987,10793.963540227425
03/1987,11123.878750886917
04/1987,11501.798875116152
05/1987,11993.273480951626
06/1987,12391.795094111076
07/1987,12926.908392276262
08/1987,12696.450127952226
09/1987,13055.715033124416
10/1987,10221.554805607067
11/1987,9413.001908516566
12/1987,9873.116702310552
01/1988,9990.50994489116
02/1988,10355.844589177315
03/1988,10424.91161459941
04/1988,11264.361067262114
05/1988,11646.085103877665
06/1988,12042.878896330416
07/1988,12443.210259758915
08/1988,11954.985384777712
09/1988,12458.594993117797
10/1988,12873.642602508426
11/1988,12389.634968662265
12/1988,12656.890581619704
01/1989,14222.182537092638
02/1989,13709.479237152003
03/1989,13960.618942748222
04/1989,14326.326431599065
05/1989,14385.84135919719
06/1989,14575.272424863771
07/1989,15968.17775446888
08/1989,16512.09072961241
09/1989,16070.478786317102
10/1989,15087.227219087497
11/1989,15596.496424438941
12/1989,16240.769055009396
01/1990,15716.05878098402
02/1990,15163.173371544292
03/1990,15256.404285552933
04/1990,14995.425812011463
05/1990,16521.765111924266
06/1990,17067.171966979815
07/1990,17277.440070809047
08/1990,15508.472537850275
09/1990,14198.91138015169
10/1990,15185.017860836902
11/1990,15120.332919106007
12/1990,15315.73630057881
01/1991,15336.428735650385
02/1991,16817.534699418204
03/1991,17688.936745069856
04/1991,17843.25741353497
05/1991,18296.803095080882
06/1991,17748.138799373533
07/1991,18447.474628531512
08/1991,18807.535849764055
09/1991,19010.3078352244
10/1991,18832.829791062515
11/1991,18319.01630256495
12/1991,18888.30138505886
01/1992,20072.912686925134
02/1992,20401.30860357854
03/1992,19772.52126592373
04/1992,20947.897031664997
05/1992,21154.8719798553
06/1992,20311.577843786425
07/1992,19227.719095709894
08/1992,18382.067388681906
09/1992,18971.939118638566
10/1992,18964.666541976425
11/1992,19395.810018764907
12/1992,19963.929444850233
01/1993,18982.334671491484
02/1993,19864.03279299766
03/1993,20699.97738111958
04/1993,19985.891827705145
05/1993,19591.503750036565
06/1993,20589.84099256645
07/1993,20868.96039874488
08/1993,21894.188879285386
09/1993,20598.01290824561
10/1993,21534.481463022348
11/1993,21595.529510890137
12/1993,23568.18327092077
01/1994,25131.35924758348
02/1994,23845.699129939512
03/1994,22175.77546861529
04/1994,23040.322060691666
05/1994,22076.537826519405
06/1994,21262.9484145397
07/1994,22324.76068443689
08/1994,23510.838882755314
09/1994,22275.904081344685
10/1994,22575.120504617887
11/1994,22585.111505669756
12/1994,22675.233456238933
01/1995,21930.634848838876
02/1995,22060.039499740855
03/1995,22803.672261636868
04/1995,22986.605265797887
05/1995,23312.63139242169
06/1995,23428.281810680837
07/1995,23809.648413008028
08/1995,24055.080600141042
09/1995,24426.624795387394
10/1995,24630.78070339462
11/1995,24732.698021162403
12/1995,25895.75223342969
01/1996,26623.955542652027
02/1996,26352.348834346612
03/1996,26768.480590915085
04/1996,27425.11574228691
05/1996,27397.936606932275
06/1996,27663.24600662648
07/1996,26620.127295989652
08/1996,27185.163296645293
09/1996,27551.928831189343
10/1996,27498.8574065141
11/1996,28986.675043515
12/1996,29788.187697500573
01/1997,30321.393334160293
02/1997,32262.29807906336
03/1997,33203.705344836075
04/1997,34022.68351218995
05/1997,34699.091181904245
06/1997,36751.51908374076
07/1997,38288.470000398294
08/1997,35452.75028539715
09/1997,37719.72481205874
10/1997,35754.879813444255
11/1997,38266.45412514637
12/1997,40301.806763440574
01/1998,42116.921379268824
02/1998,45538.25518009303
03/1998,50619.17337525395
04/1998,50720.942527803156
05/1998,52982.72146900807
06/1998,53395.37272310121
07/1998,51383.30624241589
08/1998,45952.138740121845
09/1998,42398.052433386474
10/1998,46457.126728609495
11/1998,48784.786942749044
12/1998,50482.90647814145
01/1999,47075.09634716833
02/1999,47481.34857626256
03/1999,47289.4708134508
04/1999,48912.41227098401
05/1999,48963.080689092356
06/1999,48493.266085038216
07/1999,48224.59879998981
08/1999,48547.32879124761
09/1999,47403.316898010795
10/1999,47669.576467569015
11/1999,45238.20738367722
12/1999,45184.42919163641
01/2000,41617.696841911515
02/2000,42339.00029028206
03/2000,45290.70387150056
04/2000,46539.401150357655
05/2000,47839.88041182557
06/2000,48743.11249538932
07/2000,49954.52529191246
08/2000,51433.84889111011
09/2000,51622.951032282064
10/2000,54467.17154173582
11/2000,57967.85336542751
12/2000,57138.55849389777
01/2001,52410.25255434412
02/2001,54258.52648101036
03/2001,53821.078704959466
04/2001,54617.125391716196
05/2001,57597.38837291666
06/2001,60110.383393406904
07/2001,57323.47896418762
08/2001,55195.08769816988
09/2001,53142.45250034716
10/2001,51618.95287467762
11/2001,53670.569553965375
12/2001,55888.52615002979
01/2002,57265.668820309875
02/2002,58555.17205170474
03/2002,59654.34813129729
04/2002,62443.49438245918
05/2002,60677.10780288209
06/2002,56930.76272737511
07/2002,52622.02762842196
08/2002,53429.72728004617
09/2002,52623.06484073616
10/2002,52568.724180063655
11/2002,49318.193006379915
12/2002,48828.477389740634
01/2003,44822.165214466506
02/2003,42917.94221957401
03/2003,43558.37014987623
04/2003,45556.420073894704
05/2003,43246.96776865054
06/2003,43167.645448641044
07/2003,43826.684315337036
08/2003,46690.343024429356
09/2003,46185.37850661395
10/2003,46432.59295575582
11/2003,47228.92981804643
12/2003,47876.19793395021
01/2004,50005.16715847368
02/2004,52565.0957321767
03/2004,51276.42268408971
04/2004,52455.13945798167
05/2004,52922.41348938866
06/2004,54315.53244800109
07/2004,51734.76177593098
08/2004,49437.75891954361
09/2004,48055.19192957268
10/2004,48995.3800888736
11/2004,50834.319241668876
12/2004,51320.48742898203
01/2005,52450.56435452506
02/2005,54261.18422055767
03/2005,55259.44862168279
04/2005,54900.48327543681
05/2005,57873.86288914145
06/2005,58222.9781660707
07/2005,60288.993829463674
08/2005,60833.92703829132
09/2005,64322.27033650116
10/2005,63980.09963932796
11/2005,64432.54776710151
12/2005,65207.21137460189
01/2006,65127.30746967582
02/2006,66935.44227460463
03/2006,67008.92894635099
04/2006,66940.76762947756
05/2006,64155.31954709135
06/2006,65869.05130082257
07/2006,69327.99182882925
08/2006,71333.5622664755
09/2006,72901.299989842
10/2006,72996.95791638512
11/2006,74456.94449672985
12/2006,76305.75021047203
01/2007,77713.96786560879
02/2007,76573.42385285175
03/2007,80437.24630294807
04/2007,82568.1068630924
05/2007,83772.75835374436
06/2007,83284.68899656834
07/2007,81575.70129758926
08/2007,84890.20591437361
09/2007,83646.10298439571
10/2007,86683.07211647055
11/2007,86683.22852775986
12/2007,85856.09455695092
01/2008,77367.49897660848
02/2008,77644.96674884709
