Data,DE000A0H08N1
12/1991,10000
01/1992,10457.259377548247
02/1992,10730.309067957072
03/1992,10755.077835912203
04/1992,11648.630258196992
05/1992,11956.181689683703
06/1992,11098.713182588792
07/1992,10391.9960821069
08/1992,9909.935628234523
09/1992,10391.073871519646
10/1992,10223.58546002921
11/1992,10575.168499160784
12/1992,11316.21416952058
01/1993,10990.729049364858
02/1993,11404.706686302914
03/1993,12202.24592303485
04/1993,11501.147789444021
05/1993,11532.66023355513
06/1993,12026.784792905553
07/1993,12788.650246203044
08/1993,13176.681667465618
09/1993,12743.566346759653
10/1993,13033.348724628131
11/1993,13152.217123204138
12/1993,14188.754480996173
01/1994,14985.724518964304
02/1994,14043.022990565709
03/1994,12804.183728122907
04/1994,13628.513336270122
05/1994,12594.270246715143
06/1994,11882.488776637592
07/1994,12746.477059259047
08/1994,13083.44369158028
09/1994,12269.38472155844
10/1994,12442.577868195345
11/1994,12689.84644520495
12/1994,12407.805372264169
01/1995,12041.110886413371
02/1995,11855.103862010505
03/1995,12468.211507012285
04/1995,12972.872124351257
05/1995,13470.899098868655
06/1995,13055.441386509143
07/1995,13884.621248815
08/1995,13890.766245852852
09/1995,14116.007181869409
10/1995,13780.17007656685
11/1995,14000.823166165188
12/1995,14605.618115838077
01/1996,15483.846949291277
02/1996,15488.44992238297
03/1996,15304.661869601316
04/1996,16064.344765501364
05/1996,16199.233021925655
06/1996,16405.907659636352
07/1996,15726.068789081852
08/1996,15312.833753771054
09/1996,16123.319749895849
10/1996,16034.589220899692
11/1996,17147.124883590357
12/1996,17408.72016574358
01/1997,18195.90297008764
02/1997,18966.552875868394
03/1997,19032.538658469453
04/1997,19583.876611712705
05/1997,19821.910642116516
06/1997,21112.872708688294
07/1997,21861.47340363856
08/1997,20632.84249409729
09/1997,21568.11310559671
10/1997,20160.605169866492
11/1997,20887.21663519025
12/1997,21359.41446699352
01/1998,22270.026886619922
02/1998,24026.34831470391
03/1998,25839.450399631885
04/1998,25480.80232949672
05/1998,25969.652404891513
06/1998,26492.417271867027
07/1998,26701.814910978468
08/1998,23316.063108580765
09/1998,21287.581611603786
10/1998,23800.81183773959
11/1998,25112.391903984408
12/1998,26057.113125639265
01/1999,26997.596077981154
02/1999,26521.500879156574
03/1999,27266.516865123802
04/1999,28604.008444314222
05/1999,28531.50777644433
06/1999,30368.162753848363
07/1999,29132.126918648584
08/1999,29243.16850548298
09/1999,28500.788723402577
10/1999,27784.33823548846
11/1999,28929.243971371732
12/1999,32063.478502652582
01/2000,28963.20968413127
02/2000,28565.305688933455
03/2000,30070.087603463067
04/2000,31876.27438982725
05/2000,31489.00011430149
06/2000,33505.82638433008
07/2000,34259.12803617697
08/2000,34733.247975845086
09/2000,33736.241794896036
10/2000,33402.89906655486
11/2000,31113.274735348517
12/2000,30372.692998644885
01/2001,30645.78267540406
02/2001,29522.940689248237
03/2001,26948.543892984348
04/2001,29467.61503516395
05/2001,29430.04898753286
06/2001,28868.752011265853
07/2001,29055.07533286388
08/2001,27726.67295777869
09/2001,23147.96674503057
10/2001,24577.694755906545
11/2001,26205.369942011846
12/2001,27927.828450989236
01/2002,28274.030042541166
02/2002,28956.213930412778
03/2002,31662.40707299823
