Data,DE000A0H08Q4
12/1986,10000
01/1987,9559.918401744995
02/1987,9669.236422152695
03/1987,10155.926605803463
04/1987,10673.94216186819
05/1987,10363.94730021298
06/1987,10719.19462657109
07/1987,10813.018443236895
08/1987,10464.755444763565
09/1987,10354.979448461594
10/1987,7652.589345613034
11/1987,6409.282615439897
12/1987,6235.069189797667
01/1988,5827.138102412406
02/1988,6587.324432687678
03/1988,6731.710134413786
04/1988,6931.17951047107
05/1988,7011.282910689223
06/1988,7704.897684865113
07/1988,7758.062102423588
08/1988,7663.562138337895
09/1988,8101.353045163303
10/1988,8375.569881283081
11/1988,8038.122889397106
12/1988,8489.028500753415
01/1989,8831.543643268518
02/1989,8606.24039928391
03/1989,9126.108098312989
04/1989,9313.94306288229
05/1989,9754.687819925013
06/1989,9861.741539677956
07/1989,10351.930370199223
08/1989,10681.073650749036
09/1989,10870.895668932439
10/1989,10062.963601752004
11/1989,10895.810778826448
12/1989,11525.543674693923
01/1990,11325.545307387265
02/1990,11107.126995054148
03/1990,11732.146098159888
04/1990,11505.918930823014
05/1990,11917.455499690652
06/1990,12098.3348522275
07/1990,11945.394988044476
08/1990,10278.915768134586
09/1990,8603.09192999313
10/1990,9553.74435552046
11/1990,9381.566816305876
12/1990,9219.258001952307
01/1991,9477.546208385716
02/1991,10260.060088373011
03/1991,10421.470720190156
04/1991,10283.30631478835
05/1991,10809.030947335514
06/1991,10510.519664418742
07/1991,10645.361953326881
08/1991,10836.404134091636
09/1991,10550.83554687424
10/1991,10406.139119646446
11/1991,9727.28308257325
12/1991,9688.661685008248
01/1992,10205.228830513937
02/1992,10675.88853790188
03/1992,10705.68167656565
04/1992,11302.574787369294
05/1992,11554.613127337097
06/1992,10686.585807187887
07/1992,9866.616064965274
08/1992,9424.145810676828
09/1992,9333.603517343538
10/1992,9133.061208816358
11/1992,9657.488394054151
12/1992,9957.6933342717
01/1993,10031.994684360487
02/1993,10872.66449515269
03/1993,11268.43953756555
04/1993,11209.208363224972
05/1993,11431.214246183834
06/1993,12040.9893071704
07/1993,12978.444123789877
08/1993,13767.066474393792
09/1993,13675.246109270578
10/1993,14465.892297271608
11/1993,13947.242655512617
12/1993,15106.967856399138
01/1994,15462.192481519422
02/1994,14786.332945717426
03/1994,14843.985508988226
04/1994,15715.814809356669
05/1994,14726.173870374681
06/1994,14333.376221476827
07/1994,15390.216468178493
08/1994,15530.826536744025
09/1994,14353.24090032766
10/1994,14835.716483416427
11/1994,14412.054595554278
12/1994,14679.01475369809
01/1995,14576.859346312349
02/1995,14577.00370097529
03/1995,14505.521375279377
04/1995,15320.938114148059
05/1995,16196.818237511128
06/1995,16814.48124747665
07/1995,18057.22587577909
08/1995,18586.97807571154
09/1995,18933.37346456233
10/1995,17611.62880813704
11/1995,18216.147927304075
12/1995,17632.385424642904
01/1996,18809.173932634618
02/1996,18817.180758087932
03/1996,18482.92712852355
04/1996,18716.27496257446
05/1996,19474.774820504204
06/1996,18769.33994202534
07/1996,18062.554499008897
08/1996,19206.60123880601
09/1996,20246.405865605167
10/1996,20184.59870137947
11/1996,21258.314461127557
12/1996,21285.22171526709
01/1997,23796.359780054223
02/1997,24693.30596935712
03/1997,25942.592144855447
04/1997,26381.09169432361
05/1997,26848.571747871618
06/1997,29991.096231253898
07/1997,34774.77286879828
08/1997,31876.220002826773
09/1997,35492.15771749084
10/1997,32299.107562520254
11/1997,31713.94998710155
12/1997,31518.8024816693
01/1998,34117.5723762334
02/1998,37935.02728113933
03/1998,41755.35204248273
04/1998,43783.26799902524
05/1998,46832.188819419585
06/1998,47382.732210559436
07/1998,49244.410353214196
08/1998,40743.97156211306
09/1998,33500.08425628673
10/1998,36372.880354669986
11/1998,41519.50360960719
12/1998,41846.32065868897
01/1999,46329.16734706501
02/1999,44490.143755534984
03/1999,47042.10095879633
04/1999,49923.12095403067
05/1999,48942.35563227614
06/1999,55115.52051195022
07/1999,54300.17794547302
08/1999,54911.304603350145
09/1999,55302.03156349319
10/1999,63086.637261776785
11/1999,77415.67168959591
12/1999,98697.81294196041
01/2000,102777.8784974077
02/2000,122963.51202361823
03/2000,116098.40478413708
04/2000,120550.06802142679
05/2000,109186.39395456934
06/2000,109101.62805730799
07/2000,110646.90808239488
08/2000,120725.67191451299
09/2000,100955.71129651176
10/2000,98906.14946027924
11/2000,82894.69771496838
12/2000,82641.43957199434
01/2001,81666.49872598579
02/2001,58294.33602420723
03/2001,53053.52967496043
04/2001,64495.0364909255
05/2001,60351.553953494906
06/2001,50537.49075412658
07/2001,45863.82531780902
08/2001,36859.72062505746
09/2001,30460.03383043936
10/2001,38229.23190839539
11/2001,45141.767178093956
12/2001,47551.60953752128
01/2002,44997.88445039203
02/2002,42653.42969692128
03/2002,44768.17827486232
04/2002,35513.15375962338
05/2002,31000.662313039807
06/2002,27023.059456459898
07/2002,22556.564317648226
08/2002,22295.033075615785
09/2002,16901.395689456043
10/2002,23526.748224816634
11/2002,26458.45793379921
12/2002,20499.74717263195
01/2003,19853.57455849139
02/2003,18718.98847108159
03/2003,18576.521415884174
04/2003,22414.986972043916
05/2003,22702.53873421826
06/2003,22739.803816760636
07/2003,24579.201403583418
08/2003,26928.941746193777
09/2003,24642.01541158624
10/2003,28224.590103828396
11/2003,28427.586377924035
12/2003,27714.943296559457
01/2004,31515.18124788225
02/2004,33296.05858904081
03/2004,32128.740958896444
04/2004,28100.904789754146
05/2004,28139.572350703133
06/2004,29126.350605937478
07/2004,25635.9694161108
08/2004,24330.361269291006
09/2004,26271.704914783364
10/2004,27308.810673896896
11/2004,28275.712180442526
12/2004,27345.38976654954
01/2005,26607.46158463102
02/2005,27372.777002892602
03/2005,26687.38139681038
04/2005,26195.788292749512
05/2005,29006.270656911773
06/2005,30064.666716870626
07/2005,30701.534812872287
08/2005,29758.496925739586
09/2005,32087.522339342748
10/2005,30673.459038104385
11/2005,32265.67030186629
12/2005,33396.752503119045
01/2006,33999.07723598424
02/2006,34333.00141995326
03/2006,36776.67242979222
04/2006,35881.29959049867
05/2006,33144.92107029737
06/2006,32745.892050752213
07/2006,30867.74009439314
08/2006,32669.09835835301
09/2006,33015.27766474612
10/2006,33624.680273440994
11/2006,33633.5139364834
12/2006,34775.12472875435
01/2007,34664.1138702282
02/2007,33526.12504823543
03/2007,34032.92514211683
04/2007,35808.61330781749
05/2007,37181.10228422377
06/2007,38176.11148852399
07/2007,37272.611461698245
08/2007,38445.41841635578
09/2007,39916.703370869356
10/2007,38182.47067606138
11/2007,35609.8418908569
12/2007,34672.126051596446
01/2008,31244.019580908614
02/2008,30137.741596376167
03/2008,26840.127799855683
04/2008,28724.38344849709
05/2008,29553.79232795899
06/2008,25105.62078285964
07/2008,27105.955440204452
08/2008,28029.26228214701
09/2008,23034.959411524764
10/2008,19578.82419096053
11/2008,18164.496711608914
12/2008,17680.732185467026
01/2009,17613.92877686284
02/2009,15774.855320889601
03/2009,16918.218929268
04/2009,19930.990496987462
05/2009,20152.359869566346
06/2009,19955.9523376654
07/2009,20578.490524493816
08/2009,21524.02152951058
09/2009,22360.760668572635
10/2009,20668.189737618937
11/2009,20548.70136964058
12/2009,21611.44097232769
01/2010,22793.783596280657
02/2010,22621.89573094194
03/2010,25223.51129529176
04/2010,24530.53662220795
05/2010,23297.54516739533
06/2010,22945.898757449824
07/2010,22954.00949094897
08/2010,21564.732164821708
09/2010,23394.27806086696
10/2010,23923.03823675576
