Data,DE000A1EK0G3
01/1968,10000
02/1968,9995.083333333332
03/1968,9990.169084027775
04/1968,11092.122575545602
05/1968,11895.174046830147
06/1968,11591.59179009093
07/1968,11004.895936278575
08/1968,11268.58818520938
09/1968,11206.421724735861
10/1968,11031.117632164596
11/1968,11266.115793875962
12/1968,11840.138411430275
01/1969,12015.168766209701
02/1969,12054.452352017504
03/1969,12104.986714749351
04/1969,12296.5523620231
05/1969,12143.850428023423
06/1969,11607.925226059637
07/1969,11655.749690160497
08/1969,11500.766776092067
09/1969,11444.448061607367
10/1969,11177.185595949179
11/1969,10004.763851441508
12/1969,9887.431765565396
01/1970,9823.582925891396
02/1970,9827.17561801895
03/1970,9900.916429709174
04/1970,10050.3120495658
05/1970,9933.233273203457
06/1970,9939.55759517309
07/1970,9881.458024351718
08/1970,10016.563635502282
09/1970,10179.514193240937
10/1970,10412.217701260439
11/1970,10488.159921517916
12/1970,10438.301442478467
01/1971,10620.265638396068
02/1971,10824.379072936308
03/1971,10841.375393925662
04/1971,11064.695457994305
05/1971,11376.982087398663
06/1971,11165.243283464708
07/1971,11800.154193097276
08/1971,11307.317784630319
09/1971,11844.17581168951
10/1971,11766.06402827601
11/1971,12110.426441118252
12/1971,12112.805010348164
01/1972,13084.091666528462
02/1972,13369.032912477573
03/1972,13412.385653679687
04/1972,13744.01178669628
05/1972,16466.659880745745
06/1972,17898.87716876378
07/1972,18900.60900915948
08/1972,18498.360649071026
09/1972,17748.003562249654
10/1972,17791.80270468556
11/1972,17564.76769241692
12/1972,17915.159952077305
01/1973,18209.998443949637
02/1973,23443.317474033534
03/1973,24810.80985121862
04/1973,24999.85443850166
05/1973,31606.062828113514
06/1973,33931.71301967588
07/1973,31808.923602082014
08/1973,28463.80345698695
09/1973,27487.264675365
10/1973,26924.004810058974
11/1973,27734.97140324005
12/1973,30810.62641147291
01/1974,36353.7423063365
02/1974,44566.9043769234
03/1974,47424.69998303672
04/1974,46373.39078722297
05/1974,42925.67245793257
06/1974,39481.46745861263
07/1974,42678.05048677384
08/1974,42657.067111951175
09/1974,41337.24104894313
10/1974,45621.4560559785
11/1974,50243.12582382664
12/1974,50901.074119714525
01/1975,47955.71803665868
02/1975,49555.21445207178
03/1975,48303.89814040318
04/1975,45486.8344448943
05/1975,45464.470084625566
06/1975,45237.934968290225
07/1975,45338.14152937631
08/1975,43439.22654188845
09/1975,38375.33042184642
10/1975,38804.74074713389
11/1975,37495.791080958275
12/1975,38047.32424440799
01/1976,34746.103394784
02/1976,35854.23510337745
03/1976,35104.887687375885
04/1976,34762.58252789833
05/1976,33960.35471507986
06/1976,33483.63679951784
07/1976,30410.913140386365
08/1976,28098.247670818706
09/1976,31326.538199526305
10/1976,33242.038986003034
11/1976,35142.20717839092
12/1976,36271.60363292485
01/1977,35660.47992352453
02/1977,38459.666545845066
03/1977,40097.68855309948
04/1977,39633.640840024615
05/1977,38456.77123976085
06/1977,38451.3144539362
07/1977,38728.18856628304
08/1977,39219.789526654364
09/1977,41362.96746134418
10/1977,43342.98190293965
11/1977,42932.52408796682
12/1977,44225.813397838116
01/1978,47099.72702501402
02/1978,48818.52257907078
03/1978,48620.40743824638
04/1978,45718.36705238027
05/1978,49254.88377357606
06/1978,48936.44809695016
07/1978,53510.62262483327
08/1978,55742.31453964493
09/1978,57958.4893206041
10/1978,64737.646115751886
11/1978,51576.83000929022
12/1978,60245.39414320264
01/1979,62268.38205259844
02/1979,66927.2127387642
03/1979,63911.47843627006
04/1979,65264.227253840945
05/1979,73027.6622804318
06/1979,73762.98869782437
07/1979,78763.87013225073
08/1979,83680.26744341159
09/1979,105455.48126371038
10/1979,101355.30987880207
11/1979,110233.76527401486
12/1979,138914.86946594538
01/1980,173045.07759616844
02/1980,168719.99519839927
03/1980,130893.55718855928
04/1980,137049.6230175782
05/1980,141612.29511793618
06/1980,172747.61925755453
