Data,DE000A27Z304
08/2011,10000
09/2011,6430.882026216397
10/2011,4235.562137875835
11/2011,4265.214439909789
12/2011,6343.315566338271
01/2012,7197.910091542934
02/2012,6630.3033993493345
03/2012,6542.078605619586
04/2012,6736.424034371958
05/2012,7409.68860134594
06/2012,9320.44896432192
07/2012,13395.716335726489
08/2012,14263.387969470354
09/2012,16708.356297515133
10/2012,14939.48134005852
11/2012,16865.81467839133
12/2012,17653.552912985393
01/2013,26534.17866575642
02/2013,44834.57472526011
03/2013,131745.1385188152
04/2013,187529.78989409623
05/2013,172039.88866312508
06/2013,119450.50708225217
07/2013,128999.50618804678
08/2013,168301.89788599696
09/2013,162401.60348618656
10/2013,258942.50826400614
11/2013,1426955.0175117992
12/2013,918460.907756795
01/2014,1026515.6300009658
02/2014,688628.6306176742
03/2014,567401.926717047
04/2014,556489.5881684348
05/2014,791326.6506181569
06/2014,803767.1849645906
07/2014,743587.888006511
08/2014,619623.958380792
09/2014,529152.8304498821
10/2014,458579.869400309
11/2014,512437.40855743084
12/2014,447744.1104033148
01/2015,324167.66191919125
02/2015,380473.74091476307
03/2015,382375.17650369904
04/2015,354115.1732074188
05/2015,350260.2745668831
06/2015,393211.7608386091
07/2015,433878.19008183567
08/2015,342279.225362708
09/2015,351526.24970026466
10/2015,468835.26503903314
11/2015,592188.1150656509
12/2015,657209.1847399619
01/2016,559240.6185885171
02/2016,661538.1371144223
03/2016,601655.8529878589
04/2016,648538.0761605516
05/2016,785364.2092012324
06/2016,989667.8413185482
07/2016,921733.1162047989
08/2016,840329.7812952847
09/2016,891785.1513224238
10/2016,1040540.9332079554
11/2016,1138455.5136696983
12/2016,1493803.295844788
01/2017,1458090.3670443273
02/2017,1826207.7762300405
03/2017,1623388.824398501
04/2017,2000439.6712313525
05/2017,3313048.7197535024
06/2017,3489492.519311847
07/2017,3927539.4437065017
08/2017,6450429.41767733
09/2017,5893033.057593829
10/2017,8881431.609186426
11/2017,13471899.805847121
12/2017,18549210.34679346
01/2018,13026991.966816412
02/2018,13481636.45278248
03/2018,8954635.31775421
04/2018,12169081.195803031
05/2018,10165164.790257042
06/2018,8677351.7356717
07/2018,10413624.179905627
08/2018,9510809.089932892
09/2018,8984279.325368332
10/2018,8763887.350173801
11/2018,5486713.615705434
12/2018,5053238.980670483
01/2019,4646008.936752008
02/2019,5185698.178436848
03/2019,5684099.485941573
04/2019,7313358.658076659
05/2019,11922583.983933171
06/2019,14687477.588549588
07/2019,14024666.022410635
08/2019,13457268.698809447
09/2019,11774558.071700666
10/2019,12654834.08463117
11/2019,10585277.547720969
12/2019,9806250.053115007
01/2020,12954202.076245464
02/2020,11902363.243124243
03/2020,8959474.04336619
04/2020,12111389.880279738
05/2020,12931155.141517196
06/2020,12411591.974533152
07/2020,14566282.18072592
08/2020,14809373.023079207
09/2020,13941993.489075795
10/2020,17863609.33461868
11/2020,24842163.05268997
12/2020,35651827.58895165
01/2021,41147178.63199525
02/2021,56170526.560781114
03/2021,75354937.4648755
04/2021,71749609.71940416
05/2021,45801453.2082397
06/2021,44045247.9860266
07/2021,52053065.997465745
08/2021,59359721.844874226
09/2021,56294683.278238036
10/2021,78260859.78544918
11/2021,74340591.64292839
12/2021,60374218.26136001
01/2022,50951299.78084358
02/2022,56851130.98850214
03/2022,60364125.43012697
04/2022,52473451.783857174
05/2022,43477779.703413144
06/2022,28057297.263034
07/2022,33403589.31088631
08/2022,29242582.79029738
09/2022,29001651.66502524
10/2022,30042884.148593687
11/2022,23994629.526650295
12/2022,22429458.929923218
01/2023,30863482.060984354
02/2023,31446273.7385843
03/2023,37740840.77234981
04/2023,38309860.501462005
05/2023,36599175.75556404
06/2023,40218204.29017615
07/2023,37967498.54314336
08/2023,34099602.97149994
09/2023,36319549.241113484
10/2023,46513233.31174691
11/2023,49094643.874001026
12/2023,54328397.71429069
01/2024,55698940.29860411
02/2024,80034623.73705478
03/2024,93278817.29793687
04/2024,79871968.16187547
