Data,DE000A2T0VS9
12/1978,10000
01/1979,11298.733283669124
02/1979,13004.938379238638
03/1979,12598.85985964847
04/1979,13074.681217474223
05/1979,15152.84881636165
06/1979,14569.541030813212
07/1979,14944.322226134112
08/1979,17027.623207949517
09/1979,26518.853792133275
10/1979,27200.344957155634
11/1979,31001.78479123208
12/1979,51357.51446834931
01/1980,55704.068280968364
02/1980,56590.86422882686
03/1980,22623.970457092946
04/1980,23466.89837833594
05/1980,22227.867835600766
06/1980,26774.041003101356
07/1980,24905.17709559578
08/1980,25845.252052309752
09/1980,32909.36545317732
10/1980,31054.615815583285
11/1980,31365.147966296892
12/1980,27215.012545723665
01/1981,23151.89631817508
02/1981,23557.562626119492
03/1981,23191.386702968466
04/1981,21359.349435010936
05/1981,21675.835081891597
06/1981,17641.95934166548
07/1981,18635.37112804679
08/1981,20585.200238079102
09/1981,19207.783596840563
10/1981,18988.43973037759
11/1981,17021.03700320089
12/1981,17017.467661264134
01/1982,17540.6206041808
02/1982,17157.859545008516
03/1982,15728.81182599146
04/1982,15967.993863124077
05/1982,13881.133282714025
06/1982,13237.192101623717
07/1982,15653.874627843154
08/1982,18345.5532503668
09/1982,19622.38619426771
10/1982,23914.637987133032
11/1982,23496.527817812905
12/1982,25664.963561043707
01/1983,32394.510825945632
02/1983,27920.680578365427
03/1983,25176.307426931544
04/1983,29077.037603806195
05/1983,33137.29911126399
06/1983,29235.02985027819
07/1983,31022.006855260148
08/1983,31611.50642903164
09/1983,29645.00317335667
10/1983,22663.997612540898
11/1983,26113.136612173283
12/1983,24311.83482436759
01/1984,23511.983589496933
02/1984,26056.33210675485
03/1984,25147.45939317491
04/1984,23760.981325125547
05/1984,25071.2104400268
06/1984,23059.142876571528
07/1984,20267.903564328215
08/1984,21456.89759153022
09/1984,22435.47532671393
10/1984,22100.643746286558
11/1984,21086.55208344447
12/1984,19543.143884244688
01/1985,20149.456021376955
02/1985,18865.469237053017
03/1985,22031.079263779688
04/1985,19461.44728408463
05/1985,18858.35835719795
06/1985,18601.73725347079
07/1985,18342.05160576947
08/1985,17462.444942580405
09/1985,17193.392090229932
10/1985,16375.736227352432
11/1985,16068.626841020028
12/1985,14793.250986346475
01/1986,15241.822577319495
02/1986,13592.859360423836
03/1986,13100.946471422823
04/1986,11971.519542499565
05/1986,11984.086994275192
06/1986,11660.2233332432
07/1986,11316.318456365132
08/1986,11246.69493125355
09/1986,11912.315899416493
10/1986,11963.695051482844
11/1986,11601.320469255475
12/1986,11219.73284551826
01/1987,11079.681253062852
02/1987,10721.303218734674
03/1987,12340.483401738491
04/1987,15693.598931692608
05/1987,14661.044917123583
06/1987,13866.617249211655
07/1987,16385.078767481737
08/1987,14974.856036074201
09/1987,14767.192380359946
10/1987,13193.778678565232
11/1987,13067.920832063943
12/1987,11703.936750216797
01/1988,11556.289045115245
02/1988,11139.896369315471
03/1988,12085.794701205667
04/1988,11496.603308025138
05/1988,11853.253680367987
06/1988,12383.98559766368
07/1988,13298.464651962231
08/1988,12911.462119204358
09/1988,12238.845526455067
10/1988,12201.936497426921
11/1988,11271.403496732191
12/1988,11244.88002723742
01/1989,11297.136314673739
02/1989,11453.678791656781
03/1989,11345.821091332864
04/1989,11154.222543688442
05/1989,10765.637384309055
06/1989,10860.019641688512
07/1989,10327.074653284018
08/1989,10326.89842484514
09/1989,10918.668080300666
10/1989,10410.863480245016
11/1989,10911.725962860399
12/1989,9803.41230460018
01/1990,9491.378073920201
02/1990,9209.992457151147
03/1990,9086.736214346203
04/1990,8913.535008071989
05/1990,9003.429876966968
06/1990,8650.393637232894
07/1990,8412.642380285562
08/1990,7998.505008030236
09/1990,7951.2602594908585
10/1990,6795.054430259055
11/1990,6444.045802544061
12/1990,6687.336082769554
01/1991,6115.082902449335
02/1991,5780.427417812501
03/1991,6558.38347846115
04/1991,7082.410238311273
05/1991,7537.98609822991
06/1991,8424.064381912687
07/1991,7701.360725305068
08/1991,7061.050918263546
09/1991,7439.939354152648
10/1991,7346.9034689186265
11/1991,7026.5619450368595
12/1991,6458.110648546879
01/1992,6958.170828904653
02/1992,7088.943394180366
03/1992,7277.972583040654
04/1992,6968.453670702779
05/1992,6963.5102612504315
06/1992,6708.686737176981
07/1992,6271.571597740881
08/1992,5749.557072946966
09/1992,5954.900671295665
10/1992,6197.427460387336
11/1992,6547.090254168232
12/1992,6430.362953337571
01/1993,6621.795257112361
02/1993,6526.610581042619
03/1993,7150.581632738626
04/1993,7631.261969815255
05/1993,8386.154947898476
06/1993,8373.735658139916
07/1993,10109.501101591082
08/1993,9305.180160592121
09/1993,7432.313989536105
10/1993,8213.190244850037
11/1993,8553.760015905733
12/1993,9787.553381901711
01/1994,9806.621105949536
02/1994,10123.0990939676
03/1994,10840.908813382945
04/1994,10006.323855353576
05/1994,10186.792210939617
06/1994,9573.162354033786
07/1994,9349.299957248179
08/1994,9472.025145595073
09/1994,9825.730925765523
10/1994,9163.228936586682
11/1994,8826.824602592189
12/1994,8605.214319258064
01/1995,8162.4400291834945
02/1995,7713.079825331168
03/1995,8517.154489191556
04/1995,9434.636905098814
05/1995,8699.749443519013
06/1995,8678.175652878324
07/1995,8204.31880179935
08/1995,8823.185821731671
09/1995,9277.748260092389
10/1995,8852.910470606384
11/1995,8571.296441777931
12/1995,8640.451156870999
01/1996,9385.508814030389
02/1996,9441.597962763324
03/1996,9424.04174177564
04/1996,9088.026125477729
05/1996,9294.728466949247
06/1996,8685.533680737766
07/1996,8698.869355331139
08/1996,8755.496082872323
09/1996,8294.817139672306
10/1996,8222.530929550641
11/1996,7976.446953891126
12/1996,8245.004503379236
01/1997,8749.076450892482
02/1997,9670.736724722703
03/1997,9550.857866101931
04/1997,8725.620138089782
05/1997,9058.050698467297
06/1997,8889.151326352106
07/1997,8490.329475528937
08/1997,9411.19955701486
09/1997,10020.611070622526
10/1997,9163.52063200656
11/1997,9872.325730224477
12/1997,11469.399809828245
01/1998,11833.307541016608
02/1998,12432.114575118017
03/1998,12425.0262643515
04/1998,12084.099659899903
05/1998,9487.492568047235
06/1998,10326.458996950892
07/1998,10670.23925498917
08/1998,9200.03962121447
09/1998,9867.715024910553
10/1998,8917.693972787858
11/1998,8936.937938244839
12/1998,9021.335137602086
01/1999,9746.970464564054
02/1999,10725.20270309123
03/1999,9903.212087860029
04/1999,10864.651216492053
05/1999,9985.545562163883
06/1999,10685.862119727266
07/1999,10771.64990959022
08/1999,10151.585408678919
09/1999,11045.796700154013
10/1999,10690.196233105895
11/1999,10833.596950363355
12/1999,11200.4714771324
01/2000,11337.704200363069
02/2000,11065.514997085376
03/2000,10895.151323839971
04/2000,11459.912769422086
05/2000,11101.61788811216
06/2000,11064.44833530745
07/2000,11280.611041827653
08/2000,11609.287537673186
09/2000,11739.512528370964
10/2000,11851.016152902499
11/2000,11216.321967784172
12/2000,10339.864645890637
01/2001,10836.486764503707
02/2001,10067.388447253481
03/2001,10300.430177680018
04/2001,10328.954300328336
05/2001,10956.635035194557
06/2001,10730.318619824935
07/2001,10102.17164946194
08/2001,9620.05536150653
09/2001,10529.901096557
10/2001,9911.258995230357
11/2001,9750.466091887676
12/2001,10745.02232309934
01/2002,10366.289401824055
02/2002,10733.581087539405
03/2002,11216.353814452032
04/2002,10684.909631897812
05/2002,11242.03830041738
06/2002,10208.815277913685
07/2002,9957.084008536734
08/2002,9701.34438694903
09/2002,9603.887924955285
10/2002,9474.119696302787
11/2002,9316.327825763567
12/2002,9283.70752766829
01/2003,9399.721684629603
02/2003,8888.450074321478
03/2003,8535.014736621837
04/2003,8622.952627910443
05/2003,8036.869297706787
06/2003,8211.85005127513
07/2003,9346.5568467808
08/2003,9725.686964145072
09/2003,9135.33034126914
10/2003,9191.830588724339
11/2003,9276.751557965652
12/2003,9819.364425494732
01/2004,10447.814624251365
02/2004,11010.088258033597
03/2004,13297.61373681733
04/2004,10341.511240382984
05/2004,10491.433157498726
06/2004,10089.73838237595
07/2004,11062.838946900916
08/2004,11541.707615493271
09/2004,11135.533413769555
10/2004,11650.970622123596
11/2004,12085.848233601993
12/2004,10362.873109739336
01/2005,10674.51273482445
02/2005,11476.355849794729
03/2005,11473.434204799158
04/2005,11143.811976756853
05/2005,11957.6516253714
06/2005,12138.902485130635
07/2005,12210.985047359634
08/2005,11415.809305146042
09/2005,12915.471055244694
10/2005,13335.500979083314
11/2005,14399.817031366973
12/2005,15445.938825822424
01/2006,16871.045677021313
02/2006,16837.42641423906
03/2006,20023.4821757011
04/2006,20641.23070992123
05/2006,21024.76614370385
06/2006,17335.903156427783
07/2006,18450.949125156578
08/2006,20183.173878637484
09/2006,18773.97755745866
10/2006,19573.84521498789
11/2006,21313.855370077945
12/2006,20137.62496815265
01/2007,21197.09008371658
02/2007,22255.976681352317
03/2007,20589.051315010696
04/2007,20374.65913452914
05/2007,20216.84062468732
06/2007,19053.44891704587
07/2007,19350.463386170217
08/2007,17880.32111789756
09/2007,19735.53558897919
10/2007,20313.914624118293
11/2007,19750.4033832315
12/2007,20535.4226587255
01/2008,23050.299974422473
02/2008,26479.617869225603
03/2008,23280.93192575585
04/2008,21679.583187442502
05/2008,22218.681697179676
06/2008,22888.586695546634
07/2008,22883.0473903693
08/2008,19076.843400294863
09/2008,18504.370937702526
10/2008,14849.93479310153
11/2008,16227.580094407955
12/2008,15817.361487021279
01/2009,19909.19892096049
02/2009,21302.903260847535
03/2009,20080.035988003045
04/2009,19386.570352492676
05/2009,22425.7771988119
06/2009,20084.334545674534
07/2009,19625.779785906703
08/2009,20733.30095237391
09/2009,22855.987288779594
10/2009,22771.252685459258
11/2009,24551.566634058083
12/2009,23972.19131514453
01/2010,23701.05813885936
02/2010,24130.638942997168
03/2010,26365.630218567203
04/2010,28390.208812257973
05/2010,30558.043741096153
06/2010,30985.346070478685
07/2010,27493.16271594113
08/2010,30174.432549560268
09/2010,32778.81152662724
10/2010,35038.769275492385
11/2010,42285.41182507137
12/2010,46426.676111068366
01/2011,41032.935059390984
02/2011,48999.1684370164
03/2011,53937.317124281035
04/2011,66297.12488041168
05/2011,54332.087893513206
06/2011,48980.40540822903
07/2011,56162.81414390299
08/2011,57812.05378576209
09/2011,45540.0191257691
10/2011,49372.378157503386
11/2011,47153.629860158464
12/2011,43939.801227908785
01/2012,51434.67884381432
02/2012,55843.22969221703
03/2012,48942.63414675207
04/2012,47576.845288584496
05/2012,45636.420780979905
06/2012,43312.180374556854
07/2012,46213.35981764767
08/2012,48703.791578671364
09/2012,53914.83324378718
10/2012,49966.53933578348
11/2012,53075.139722209824
12/2012,45623.23939111945
01/2013,47495.37589477357
02/2013,44289.74195006351
03/2013,44910.10343475835
04/2013,37496.398673352785
05/2013,34819.75202281252
06/2013,28920.530898988425
07/2013,30118.33113466749
08/2013,35805.36774663127
09/2013,32168.903310365517
10/2013,32601.880604823287
11/2013,29322.45112812991
12/2013,28306.059672293395
01/2014,28591.604247595722
02/2014,30807.488519936625
03/2014,28967.256743968625
04/2014,27832.01963222716
05/2014,27908.82520215685
06/2014,30532.332890173453
07/2014,30890.545277718164
08/2014,29480.284408409407
09/2014,27143.204999264195
10/2014,25812.06050994498
11/2014,25520.99437229504
12/2014,26231.813974000946
01/2015,29839.172499840166
02/2015,29310.521186903512
03/2015,30741.288954949705
04/2015,29339.49160848788
05/2015,30257.807747868697
06/2015,27929.804854522274
07/2015,26417.254354358796
08/2015,25611.807746557326
09/2015,26004.00107236331
10/2015,28203.677051766892
11/2015,26449.74690885533
12/2015,25218.490412674022
01/2016,25607.304455824527
02/2016,26896.566418079838
03/2016,26812.56108130357
04/2016,31069.700150955665
05/2016,28560.226530943655
06/2016,32794.30616601325
07/2016,35749.27636938186
08/2016,33361.83253890904
09/2016,34347.711922127004
10/2016,32133.68194702684
11/2016,31033.352845695947
12/2016,30492.628489697112
01/2017,31808.516317280482
02/2017,34121.169200093085
03/2017,33403.31771363716
04/2017,31486.393753584976
05/2017,30483.707908157125
06/2017,28509.335602602372
07/2017,28223.017807954613
08/2017,28948.77870309328
09/2017,28183.560411398932
10/2017,28513.64841997942
11/2017,27580.60604092479
12/2017,27725.84066771666
01/2018,27262.029316264474
02/2018,26520.940333348477
03/2018,26026.354831610453
04/2018,26702.615158007313
05/2018,27847.632936059705
06/2018,27058.70368297189
07/2018,25864.226003853022
08/2018,24736.172870622016
09/2018,24294.011000394898
10/2018,24900.908216495085
11/2018,24621.47306641582
12/2018,26528.54780111512
01/2019,27475.324266947002
02/2019,27192.71522140575
03/2019,26372.993691337866
04/2019,26203.4501449372
05/2019,25464.222248022197
06/2019,26218.90276304351
07/2019,28955.37663881903
08/2019,32639.80594935879
09/2019,31036.87494372747
10/2019,31694.450068550374
11/2019,30237.415180558135
12/2019,31431.305712654557
01/2020,31655.668823222353
02/2020,30614.496224403774
03/2020,24853.695160348834
