Data,DE000A2T0VU5
12/1978,10000
01/1979,10483.854545863223
02/1979,11326.868495609584
03/1979,10817.949471299326
04/1979,11174.614780244017
05/1979,12646.763511008392
06/1979,12630.351425050567
07/1979,13008.587955225674
08/1979,13868.008917413614
09/1979,17293.891281682456
10/1979,16700.27902950612
11/1979,18097.369645050934
12/1979,22303.04400586878
01/1980,27518.846852696526
02/1980,27091.977008592305
03/1980,22145.55112647545
04/1980,23474.744494852894
05/1980,23215.56238543675
06/1980,27915.614138591936
07/1980,25912.417313716174
08/1980,27157.33199204588
09/1980,28615.68452907303
10/1980,27673.548901084472
11/1980,28221.12859458113
12/1980,27688.536871954762
01/1981,23859.73762629298
02/1981,24602.854926530767
03/1981,25863.693840603744
04/1981,24946.850451951424
05/1981,26277.109537738623
06/1981,24249.744800953486
07/1981,23813.71834044981
08/1981,25602.932161165685
09/1981,24654.41250867431
10/1981,23824.857361499973
11/1981,22877.50722041866
12/1981,22379.414192352502
01/1982,21981.491912627946
02/1982,21280.39642336608
03/1982,19121.57077809066
04/1982,21918.685306557305
05/1982,19059.108922010768
06/1982,19683.863791946485
07/1982,21713.558830470647
08/1982,26216.042937650014
09/1982,25527.425291174073
10/1982,27536.18106939395
11/1982,28838.96314682017
12/1982,28411.01361358911
01/1983,31451.87810079459
02/1983,26191.551193123767
03/1983,26724.32840255784
04/1983,28055.170685850553
05/1983,28770.537635931203
06/1983,28192.58967903483
07/1983,28984.929644192656
08/1983,29372.885856923862
09/1983,28732.82573174072
10/1983,26652.392400062785
11/1983,29010.305957759887
12/1983,28017.028363540972
01/1984,28061.28385826626
02/1984,28690.159158278617
03/1984,27261.939886281987
04/1984,26834.560702734012
05/1984,28453.880834444517
06/1984,27616.85916618011
07/1984,26298.268167795566
08/1984,27050.637159108323
09/1984,27960.803393601294
10/1984,27618.255386353274
11/1984,26530.983009474265
12/1984,25842.795741782877
01/1985,26330.317333732837
02/1985,25627.140685940514
03/1985,29388.790876194704
04/1985,26697.911628503698
05/1985,26267.998943042323
06/1985,26117.149866069172
07/1985,25604.336724452245
08/1985,25158.385759663423
09/1985,24989.451376286208
10/1985,23405.821378059754
11/1985,22966.215149704552
12/1985,22540.735854868268
01/1986,23661.248848225052
02/1986,21928.403186507378
03/1986,21691.83051008237
04/1986,21916.106587952723
