Data,DE000ETF9603
12/1986,10000
01/1987,10052.794045676997
02/1987,10358.386162686515
03/1987,10682.908860926333
04/1987,10962.489612797763
05/1987,11122.426492032822
06/1987,11499.65383776137
07/1987,12079.131257248382
08/1987,11843.648118099292
09/1987,12118.75375379699
10/1987,9236.136456041762
11/1987,8382.31643450075
12/1987,8619.824865363837
01/1988,8735.14586779121
02/1988,9155.665329024006
03/1988,9249.163322462717
04/1988,9562.3331664437
05/1988,9647.601507365876
06/1988,10060.937104419785
07/1988,10330.455335441842
08/1988,9931.702989737627
09/1988,10453.208291633773
10/1988,10774.02417548734
11/1988,10582.658614672477
12/1988,10789.57504378184
01/1989,11772.430652832116
02/1989,11391.42238020638
03/1989,11860.763852224432
04/1989,12141.800717066171
05/1989,12296.878475204561
06/1989,12500.62372522139
07/1989,13359.170132407908
08/1989,13853.542569821539
09/1989,13645.750725658168
10/1989,12613.058725967221
11/1989,13095.139169473716
12/1989,13779.864316532361
01/1990,13527.606489520533
02/1990,13217.312527413927
03/1990,13467.917612930396
04/1990,13050.99278622418
05/1990,14083.711647043352
06/1990,14304.346636530525
07/1990,14330.44198551415
08/1990,12722.699002750705
09/1990,11270.750499755562
10/1990,11754.890536704319
11/1990,11754.378931298164
12/1990,11649.965554192608
01/1991,11789.782398801934
02/1991,13149.001546000438
03/1991,13703.954971919691
04/1991,13812.366197322845
05/1991,14174.230281246832
06/1991,13708.229587492287
07/1991,14149.521018917234
08/1991,14395.257806147223
09/1991,14250.144397352946
10/1991,13990.558297516936
11/1991,13396.984075852937
12/1991,13466.245228722291
01/1992,14150.891579892581
02/1992,14411.203244521428
03/1992,14010.442614029977
04/1992,14903.309733312468
05/1992,15225.286113196018
06/1992,14337.480987527286
07/1992,13479.563151730094
08/1992,12889.606405047083
09/1992,13184.79040624171
10/1992,13217.66503274073
11/1992,13750.678601663778
12/1992,14213.623592542788
01/1993,14214.06125790282
02/1993,14848.802759870092
03/1993,15319.420532251344
04/1993,15264.600201501255
05/1993,15559.039751781898
06/1993,16236.15104202304
07/1993,17279.64447010011
08/1993,18065.03217083281
09/1993,17617.82873306435
10/1993,18584.113778428287
11/1993,18420.130446446634
12/1993,19960.275552643838
01/1994,20898.916052005847
02/1994,19841.271497472837
03/1994,19001.239776633924
04/1994,19629.8179749345
05/1994,18716.345436781303
06/1994,18059.208073782513
07/1994,19028.0665152234
08/1994,19538.3116769878
09/1994,18417.747809325872
10/1994,18721.615507087678
11/1994,18741.422050728153
12/1994,18643.368124274206
01/1995,18186.48378662609
02/1995,18201.008874957795
03/1995,18170.016348664813
04/1995,18822.951746060007
05/1995,19578.724014684107
06/1995,19484.641118797263
07/1995,20306.961033132848
08/1995,20557.883730070964
09/1995,20752.557875194558
10/1995,20657.00874854462
11/1995,21188.512730233422
12/1995,21806.737493737604
01/1996,22653.31448854437
02/1996,22732.579619029355
03/1996,23042.966200263196
04/1996,23847.53818114292
05/1996,23954.625190261868
06/1996,24069.69069215891
07/1996,23156.556493405653
08/1996,23881.830934874262
09/1996,24889.86719841846
10/1996,25154.190730194772
11/1996,26587.39967650793
12/1996,27159.581667473474
01/1997,28938.883772271212
02/1997,30050.721662382595
03/1997,30648.76513109311
04/1997,31462.635133048996
05/1997,32562.892098468477
06/1997,34549.260819873554
07/1997,37811.85577486645
08/1997,35316.528424471304
09/1997,37937.092134829334
10/1997,35134.79521573598
11/1997,36354.64776485566
12/1997,38271.96697944256
01/1998,40452.34416526986
02/1998,43185.89854108658
03/1998,46895.69441929915
04/1998,47049.31765914373
05/1998,48178.3444186351
06/1998,49002.304555985
07/1998,49424.26401739361
08/1998,42849.503841058846
09/1998,38989.98772152463
10/1998,41617.89559713184
11/1998,44901.75752821533
12/1998,46251.843217419075
01/1999,47747.704913475776
02/1999,48045.78545272515
03/1999,49365.51261522188
04/1999,51992.02933467635
05/1999,50302.221780195614
06/1999,51818.84871840058
07/1999,50456.25007138249
08/1999,51793.14161038657
09/1999,51016.36680767214
10/1999,53269.84360217818
11/1999,57470.65973729314
12/1999,63779.816747831246
01/2000,60668.0852390853
02/2000,64928.15230670259
03/2000,66381.99800445372
04/2000,66253.47390187668
05/2000,64343.1332872212
06/2000,63841.15941823814
07/2000,64890.012109399875
08/2000,67079.48912569044
09/2000,64128.80763989823
10/2000,65957.37780642543
11/2000,61774.68040127071
12/2000,61217.962994023386
01/2001,61663.75700522602
02/2001,57078.65877927362
03/2001,54931.9182052478
04/2001,58532.23457558601
