Data,DE000ETFL300
12/1978,10000
01/1979,10100.547968513152
02/1979,9754.396743145118
03/1979,9400.649843206611
04/1979,9206.900378742517
05/1979,9446.144982328142
06/1979,9393.953775679853
07/1979,9027.492569591925
08/1979,9085.28348847155
09/1979,9154.126158877156
10/1979,8477.003610081003
11/1979,8101.116185920566
12/1979,8416.2948001489
01/1980,8495.566232549272
02/1980,8236.31635308142
03/1980,8426.010706388624
04/1980,9218.053463018463
05/1980,9339.333647269816
06/1980,9556.966444617914
07/1980,8965.297556446802
08/1980,9746.755739194177
09/1980,10358.852575770125
10/1980,10872.568058073963
11/1980,10887.175585741355
12/1980,12013.071641918143
01/1981,12280.923960469754
02/1981,12923.746210882251
03/1981,13699.961348984554
04/1981,15080.5387447123
05/1981,15583.038046491198
06/1981,16742.490843227908
07/1981,16609.394857641317
08/1981,17713.158903353808
09/1981,15302.781239844942
10/1981,14827.650411075427
11/1981,15997.00647225423
12/1981,16471.780644602386
01/1982,16435.385851982584
02/1982,15622.97800172592
03/1982,14372.390091388861
04/1982,15886.069932389892
05/1982,14748.143974667042
06/1982,14656.224157750705
07/1982,14406.498197184996
08/1982,14569.794451405312
09/1982,14136.72885108988
10/1982,14351.082373030666
11/1982,17287.45355246586
12/1982,18450.386616173193
01/1983,17553.117537554437
02/1983,18161.311069321313
03/1983,18975.684292645015
04/1983,19647.351349086686
05/1983,19805.139552483408
06/1983,21050.670622542653
07/1983,21501.190374368725
08/1983,21913.216395237105
09/1983,23646.2659852697
10/1983,23131.32964077917
11/1983,24030.882988226273
12/1983,26526.432619460404
01/1984,28377.85775991501
02/1984,27411.39531900291
03/1984,31191.570810002726
04/1984,31035.66593030206
05/1984,28215.70914162646
06/1984,28328.65601270649
07/1984,27308.117759021923
08/1984,29970.09565163425
09/1984,31237.647607269457
10/1984,33359.475503865804
11/1984,32691.742991554846
12/1984,35270.23853253405
01/1985,35933.07850897748
02/1985,38478.23173786022
03/1985,40748.57087899751
04/1985,36616.81756586387
05/1985,38143.454165257775
06/1985,39154.43374267575
07/1985,37416.501613587585
08/1985,36985.65449785422
09/1985,41558.848588932844
10/1985,40219.42530298322
11/1985,40014.51169297243
12/1985,41366.437673147826
01/1986,41618.53138990738
02/1986,44783.1554615595
03/1986,52877.12709315973
04/1986,55159.87803045734
05/1986,53823.17023082068
06/1986,59512.07804683301
07/1986,65387.603023575895
08/1986,69172.51946741377
09/1986,70322.9130900191
10/1986,60242.93169657573
11/1986,64877.64564925719
12/1986,68634.26709402169
01/1987,74873.64735718524
02/1987,74848.62023063403
03/1987,82890.9470700291
04/1987,94658.13359065929
05/1987,93313.20625419283
06/1987,87922.1900501973
07/1987,86043.58504465225
08/1987,97493.18770865041
09/1987,91564.58167492246
10/1987,84052.00784431018
11/1987,82102.3942146142
12/1987,80613.79915087108
01/1988,85823.11321978811
02/1988,94945.7231926278
03/1988,100686.15074607241
04/1988,101092.58084877986
05/1988,97441.88357086436
06/1988,97219.02519312034
07/1988,106766.3710022165
08/1988,100876.04891622752
09/1988,104419.63513454504
10/1988,110297.77668963262
11/1988,115302.62709734614
12/1988,116043.0693452369
01/1989,120955.49447400434
02/1989,124777.46648138444
03/1989,121175.37821843741
04/1989,121602.73928522611
05/1989,119594.59079346653
06/1989,116249.57291650878
07/1989,125883.03983229547
08/1989,118960.15533695069
09/1989,128434.89078297395
10/1989,120309.20491372359
11/1989,124588.38959845342
12/1989,119193.57071806664
01/1990,108694.1252853883
02/1990,96123.25406117742
03/1990,78803.34565258006
04/1990,78745.30724728997
05/1990,88515.66948306415
06/1990,84919.06018156982
07/1990,81210.44496508635
08/1990,70050.21142996107
09/1990,58655.25483810369
10/1990,70716.47497517288
11/1990,60959.751045535435
12/1990,64554.86525584818
01/1991,66528.83011959576
02/1991,73645.62053726612
03/1991,75145.12809179307
04/1991,81090.9906274521
05/1991,81764.79633315452
06/1991,78676.86323669944
07/1991,81182.12423066507
08/1991,74976.78836404537
09/1991,79244.36784098
10/1991,82525.93200668287
11/1991,73794.55360331597
12/1991,73680.15546467186
01/1992,70730.69158529743
02/1992,66226.57688025724
03/1992,60598.015231959835
04/1992,56329.31574283154
05/1992,59649.130656410336
06/1992,52619.46892958173
07/1992,49520.80018287344
08/1992,56803.39059781933
09/1992,56698.76289730039
10/1992,56291.07393037104
11/1992,61504.95276571635
12/1992,60530.97170683355
01/1993,61486.67457905519
02/1993,65721.30626953319
03/1993,75308.43897799244
04/1993,85644.66221293139
05/1993,88184.85474531187
06/1993,89462.79248940297
07/1993,99126.10741257091
08/1993,102020.70431076054
09/1993,93265.22811255003
10/1993,93891.59931025533
11/1993,80372.53774751043
12/1993,82851.08681208691
01/1994,97497.73195773266
02/1994,101522.59133231499
03/1994,95128.0291289798
04/1994,99430.67926464435
05/1994,99382.14743565184
06/1994,102548.75994536557
07/1994,95776.06696252343
08/1994,96499.10367531623
09/1994,93068.18630839948
10/1994,93753.89143192949
11/1994,90320.92289141411
12/1994,93188.34757540186
01/1995,85921.15664189572
02/1995,80840.66112314658
03/1995,84815.37983843211
04/1995,87217.16919692734
05/1995,83035.50370121963
06/1995,78373.30994392159
07/1995,83595.21378913484
08/1995,82629.06904438476
09/1995,84364.63544415894
10/1995,78371.9054365242
11/1995,83157.3949061398
12/1995,88758.45146727793
01/1996,88618.5199288614
02/1996,87503.98880866394
03/1996,90497.85682897536
04/1996,96420.9361318381
05/1996,92527.99244475053
06/1996,92257.58752024896
07/1996,86748.76738672667
08/1996,82084.16475899536
09/1996,85630.04010652998
10/1996,80097.69384220132
11/1996,80544.49646835591
12/1996,76602.83201091779
01/1997,70089.94585862497
02/1997,74822.99693998623
03/1997,73166.69910527095
04/1997,76202.38603219425
05/1997,84327.53615025629
06/1997,91612.84975681204
07/1997,91254.94193296279
08/1997,85679.69926766853
09/1997,82135.52230178064
10/1997,73098.35887008697
11/1997,67169.35583361457
12/1997,65006.46303141723
01/1998,72407.98259779763
02/1998,72594.68556199374
03/1998,67875.04707022262
04/1998,67114.03314947597
05/1998,62431.50179460376
06/1998,63742.15081409143
07/1998,63025.22011853384
08/1998,55584.32180583132
09/1998,51521.414991023456
10/1998,57917.710244619
11/1998,62294.287350674334
12/1998,64266.19481652504
01/1999,66820.78826798027
02/1999,67497.58533917884
03/1999,78806.55864599854
04/1999,83186.86365082185
05/1999,79522.7957740955
06/1999,88095.93991224472
07/1999,93538.78127981893
08/1999,93909.49472827723
09/1999,98709.3743570021
10/1999,104987.63202478684
11/1999,113305.90209274188
12/1999,120901.52868470906
01/2000,118627.202732869
02/2000,116418.25063714589
03/2000,128093.82725955991
04/2000,124510.71200281929
05/2000,115352.16694433635
06/2000,119970.44391484234
07/2000,109699.2845063491
08/2000,121175.53573582278
