Data,FR0010342592
07/2007,10000
08/2007,10499.716745000009
09/2007,11142.293998123303
10/2007,12425.740327794483
11/2007,10467.794377926934
12/2007,10375.805785447134
01/2008,7925.25577072694
02/2008,6940.513653353127
03/2008,6862.423566082982
04/2008,8015.862258867346
05/2008,8974.760632631216
06/2008,7153.843368533322
07/2008,7258.546062355331
08/2008,7840.411832771705
09/2008,5682.958087913033
10/2008,4229.1805458681365
11/2008,3247.663089130146
12/2008,3028.1787483830826
01/2009,3077.7377838231346
02/2009,2772.0943563007304
03/2009,3162.7331823859595
04/2009,3985.453834088827
05/2009,3955.860482474994
06/2009,4155.25644466649
07/2009,4861.3359912712185
08/2009,4933.932187810464
09/2009,5358.325422257661
10/2009,4967.127418002921
11/2009,5482.882847351694
12/2009,6311.296727653646
01/2010,5686.560879096084
02/2010,6371.643210566992
03/2010,7412.7967064421855
04/2010,7810.121336446976
05/2010,7190.8337226441245
06/2010,6323.261138881878
07/2010,6799.813831488861
08/2010,6274.143027334086
09/2010,7400.951019238426
10/2010,8207.604169232667
11/2010,8684.895506458128
12/2010,9243.02877779481
01/2011,9517.775185575643
02/2011,9977.643905375015
03/2011,9582.414397707385
04/2011,9658.564663495777
05/2011,9867.608504107075
06/2011,9409.730187986921
07/2011,9812.766776405851
08/2011,8578.972197163026
09/2011,8335.616542017777
10/2011,9686.269294977
11/2011,9502.410017753458
12/2011,9670.700391150278
01/2012,11126.30021980288
02/2012,12321.838236013355
03/2012,13652.665565386682
04/2012,13440.474805603804
05/2012,12285.179625464587
06/2012,12925.966278641365
07/2012,13477.78760393631
08/2012,14459.374948163166
09/2012,14349.313705828878
10/2012,12921.658014354054
11/2012,13049.894448121957
12/2012,12662.713572448753
01/2013,12960.952875086114
02/2013,13452.21327556619
03/2013,14599.983674381396
04/2013,14963.802335517292
05/2013,16058.90540037377
06/2013,15177.948484375507
07/2013,16853.85604850049
08/2013,16744.793205985578
09/2013,17971.112892571582
10/2013,19557.58831149658
11/2013,20936.99242807124
12/2013,21893.456137316552
01/2014,21425.705869032638
02/2014,23101.723664513953
03/2014,21870.556756797276
04/2014,21524.91690693397
05/2014,23871.004563852166
06/2014,25231.18868523377
07/2014,26291.086562392196
08/2014,29383.804220686456
09/2014,30258.442496339994
10/2014,31906.990505241243
11/2014,34888.06963837584
12/2014,34116.58218135406
01/2015,35032.6517840846
02/2015,40400.10102906979
03/2015,40128.635777663905
04/2015,39869.57739402874
05/2015,42521.187367649545
06/2015,39598.93557427849
07/2015,43918.51795444495
08/2015,37024.91861033381
09/2015,35266.461337187066
10/2015,44225.86881840636
11/2015,46397.83513214124
12/2015,43551.44103428122
01/2016,37401.46571202648
02/2016,36071.61548976921
03/2016,39185.46652281552
04/2016,36601.78687404064
05/2016,40646.233642198495
06/2016,38767.16845556501
07/2016,44342.13936919212
08/2016,45076.814314040625
09/2016,46813.149205895344
10/2016,46204.30270363249
11/2016,47734.145582772224
12/2016,49122.953567534765
01/2017,53197.35150392465
02/2017,58634.58359605981
03/2017,60357.69763648355
04/2017,62186.75763354285
05/2017,65077.54385965215
06/2017,60692.01843594273
07/2017,63904.48171967129
08/2017,65670.0164591116
09/2017,65445.61432717321
10/2017,72339.74624320658
11/2017,73738.10761322967
12/2017,73414.34809238494
01/2018,83206.10620664657
02/2018,82002.4973458094
03/2018,74394.71540467694
04/2018,75964.23865708243
05/2018,87173.17397028679
06/2018,89023.44059408008
07/2018,92931.76527396194
08/2018,104737.66574737779
09/2018,104419.80638693334
10/2018,87988.40185727167
11/2018,86671.46384765439
12/2018,70468.84548829688
01/2019,82954.18121006354
02/2019,88038.25550707197
03/2019,96343.16148954025
04/2019,106984.71261584267
05/2019,89927.35898169324
06/2019,101635.8959908496
07/2019,108198.07538046359
08/2019,104275.1765169169
09/2019,106951.27252085801
10/2019,113182.68995607087
11/2019,124151.73423410313
12/2019,130790.25361185789
01/2020,140452.51513233606
02/2020,124347.9000280584
03/2020,98658.66156487988
04/2020,129899.36632132
05/2020,142564.45254131244
06/2020,159206.79977181705
07/2020,172609.67699838072
08/2020,210795.59435525647
09/2020,188962.27269063785
10/2020,175930.31239805403
11/2020,210799.73066125376
12/2020,226789.66559647667
01/2021,229681.884970999
02/2021,228722.8389146887
03/2021,241280.91717414706
04/2021,261871.94238172923
05/2021,252157.26630244503
06/2021,292424.16702449654
07/2021,308373.93524941395
08/2021,336050.7430675335
09/2021,304613.5400984946
10/2021,351927.5388838585
11/2021,373090.28725860466
12/2021,381083.02503226395
01/2022,321396.02995954227
02/2022,288932.6226240458
03/2022,313650.3205014566
04/2022,245241.94087134465
05/2022,229958.56749723654
06/2022,193880.82633545267
07/2022,248324.22964025187
08/2022,225777.69017749457
09/2022,183280.78140607514
10/2022,192430.43875157164
11/2022,201862.44210518364
12/2022,161047.2075945867
01/2023,192405.19021709688
02/2023,192890.5286098154
03/2023,223958.2515259941
04/2023,222609.19218814909
05/2023,263224.2897934139
06/2023,291491.5384374563
07/2023,307641.876201699
08/2023,300011.1964766428
09/2023,275683.5519992676
10/2023,261629.1923642651
11/2023,309689.527522495
12/2023,338955.9357933183
01/2024,355879.78909069696
02/2024,392646.63916253875
03/2024,400031.722832804
04/2024,365178.28817997803
