Data,GB00B00FHZ82
12/1978,10000
01/1979,10482.021212529891
02/1979,11322.966038793878
03/1979,10812.14647573378
04/1979,11166.63823439387
05/1979,12635.688914443812
06/1979,12616.974657355895
07/1979,12992.497486324364
08/1979,13848.47346317574
09/1979,17266.991001422015
10/1979,16671.136485468192
11/1979,18062.732756258752
12/1979,22257.04629851913
01/1980,27458.011636257175
02/1980,27027.0514936854
03/1980,22087.52468726336
04/1980,23409.185883668117
05/1980,23146.435915693146
06/1980,27828.249319723076
07/1980,25826.219862020607
08/1980,27062.2585345229
09/1980,28510.544199481523
10/1980,27566.64325225907
11/1980,28107.05370679615
12/1980,27571.461856049955
01/1981,23753.797095524333
02/1981,24489.259989502607
03/1981,25739.787730416458
04/1981,24822.617734635503
05/1981,26141.701455455706
06/1981,24119.991248756178
07/1981,23681.875844598988
08/1981,25456.842167727194
09/1981,24509.067668139716
10/1981,23679.90965766806
11/1981,22733.981769586648
12/1981,22234.84570570184
01/1982,21835.4175705569
02/1982,21134.977934668343
03/1982,18987.029766867363
04/1982,21760.982602267137
05/1982,18917.991064551174
06/1982,19534.65181290093
07/1982,21545.379555225194
08/1982,26009.040327207
09/1982,25321.09170092461
10/1982,27308.968867104002
11/1982,28595.994516737806
12/1982,28166.407864754292
01/1983,31175.928067077395
02/1983,25956.038218324466
03/1983,26479.26611765168
04/1983,27793.050035451204
05/1983,28496.637889250072
06/1983,27918.967698230957
07/1983,28698.499164124012
08/1983,29077.360183237663
09/1983,28438.40896406661
10/1983,26374.079509149862
11/1983,28702.535723895162
12/1983,27714.533676630173
01/1984,27753.230355102056
02/1984,28370.113843145497
03/1984,26952.625497631783
04/1984,26525.15405018965
05/1984,28120.940224377762
06/1984,27288.55709243773
07/1984,25980.638260419677
08/1984,26719.157038507037
09/1984,27613.271529571517
10/1984,27269.91870462239
11/1984,26191.360122020233
12/1984,25507.180584323345
01/1985,25983.694515597417
02/1985,25285.011088835712
03/1985,28991.806596719678
04/1985,26331.96062644121
05/1985,25903.11327196307
06/1985,25749.610717603086
07/1985,25239.293486068505
08/1985,24795.073278865322
09/1985,24624.03271504213
10/1985,23059.045600073456
11/1985,22621.724994407145
12/1985,22198.480515832554
01/1986,23297.910077255074
02/1986,21587.402463468406
03/1986,21350.550953325022
04/1986,21567.384207439947
05/1986,21030.874050352362
06/1986,21329.79113854706
07/1986,21342.313657965275
08/1986,22272.94692873888
09/1986,24306.42550306632
10/1986,22770.883383376036
