Data,GB00B5840F36
12/1978,10000
01/1979,10483.27121252989
02/1979,11325.62673188792
03/1979,10816.102838771778
04/1979,11172.076325333988
05/1979,12643.238934465022
06/1979,12626.09390018517
07/1979,13003.466409670886
08/1979,13861.790478025747
09/1979,17285.328066222293
10/1979,16691.001435332473
11/1979,18086.342276001695
12/1979,22288.398933667424
01/1980,27499.47671878539
02/1980,27071.303206290926
03/1980,22127.07276682719
04/1980,23453.86630363704
05/1980,23193.546565865967
06/1980,27887.788201477855
07/1980,25884.961350647412
08/1980,27127.0470013884
09/1980,28582.190819094427
10/1980,27639.490635157155
11/1980,28184.78411021014
12/1980,27651.234171613916
01/1981,23825.980192912008
02/1981,24566.65626087636
03/1981,25824.207022841092
04/1981,24907.256992308747
05/1981,26233.95188387053
06/1981,24208.386587034565
07/1981,23771.691618704626
08/1981,25556.36113245094
09/1981,24608.07602336058
10/1981,23778.64450408512
11/1981,22831.744841791766
12/1981,22333.31630833363
01/1982,21934.910905768073
02/1982,21234.02157236025
03/1982,19078.661850668726
04/1982,21868.386714258802
05/1982,19014.096776642968
06/1982,19636.266999233332
07/1982,21659.908661470687
08/1982,26150.00447241264
09/1982,25461.596043508205
10/1982,27463.68645154365
11/1982,28761.43664082718
12/1982,28332.959794881568
01/1983,31363.817333298066
02/1983,26116.389033806758
03/1983,26646.11387106832
04/1983,27971.506799718747
05/1983,28683.108768466827
06/1983,28105.243917715427
07/1983,28893.48959724638
08/1983,29278.536453695164
09/1983,28638.824367499907
10/1983,26563.52671475012
11/1983,28912.028864890624
12/1983,27920.429623791726
01/1984,27962.903840120525
02/1984,28587.943197655593
03/1984,27163.144688633438
04/1984,26735.72977798304
05/1984,28347.52641541312
06/1984,27511.979746419947
07/1984,26196.791441808808
08/1984,26944.72913221081
09/1984,27849.760129116785
10/1984,27506.947944374726
11/1984,26422.452934409725
12/1984,25735.539518987578
01/1985,26219.536493901483
02/1985,25517.788882860543
03/1985,29261.899457555028
04/1985,26580.931623441164
05/1985,26151.352096070033
06/1985,25999.647390693077
07/1985,25487.6247771476
08/1985,25042.219807290778
09/1985,24872.604662841506
10/1985,23294.928565519745
11/1985,22856.04624609326
12/1985,22431.274705505606
01/1986,23545.037830905123
02/1986,21819.329491763547
03/1986,21582.66075321645
04/1986,21804.549115076523
05/1986,21264.86481340265
06/1986,21569.76577910775
07/1986,21585.1254060989
08/1986,22529.044642981313
09/1986,24588.72059225308
10/1986,23038.418259819
11/1986,22605.47366489015
12/1986,22362.668452880454
01/1987,21535.54857789324
02/1987,21436.554014111738
03/1987,22198.90894860011
04/1987,23586.441702863867
05/1987,23183.455889052155
06/1987,23403.775624745624
07/1987,24547.28175462102
08/1987,24249.0738216602
09/1987,23932.75510023214
10/1987,24238.51673286003
11/1987,23923.241640325617
12/1987,22911.54097352497
01/1988,21793.68348554685
02/1988,20861.85677431889
03/1988,22064.23458572193
04/1988,21548.20271720905
05/1988,22072.74750882884
06/1988,21937.53075131857
07/1988,23053.248796596625
08/1988,23078.54007629235
09/1988,21244.320200685182
10/1988,21535.71838900365
11/1988,21190.97299488746
12/1988,20584.83594378474
01/1989,20554.586137271515
02/1989,20436.322177065744
03/1989,20367.183347014063
04/1989,20174.57519765215
05/1989,20159.62514123529
06/1989,21154.74331291073
07/1989,19973.43573238633
08/1989,19810.643892929846
09/1989,20485.289348874056
10/1989,20183.6335938594
11/1989,21632.245598064586
12/1989,20374.612373605196
01/1990,20466.777667079277
02/1990,19834.39197858412
03/1990,18237.636094016227
04/1990,17964.109068463033
05/1990,17441.651327521806
06/1990,17031.443613388223
07/1990,17456.652031225298
08/1990,17377.686811632757
09/1990,18330.069563816556
10/1990,16530.090823894872
11/1990,16428.239928451465
12/1990,16884.767713000423
01/1991,15840.994956980112
02/1991,15433.851464843436
03/1991,16469.257977149973
04/1991,17446.21845417449
05/1991,17806.977470890473
06/1991,18874.929234495252
07/1991,18613.391359600453
08/1991,17424.880490783013
09/1991,17306.310403388557
10/1991,17404.04590994446
11/1991,17164.263834859266
12/1991,16030.364392805302
01/1992,16171.95181745217
02/1992,16478.976696658756
03/1992,16369.81780100336
04/1992,15964.78627276399
05/1992,15709.853523355672
06/1992,15523.776757161979
07/1992,15404.225361107343
08/1992,14263.584667950823
09/1992,14976.412392897526
10/1992,15160.467901423346
11/1992,15910.053883676666
12/1992,15834.603225485695
01/1993,16021.746844427083
02/1993,16275.975401245189
03/1993,16861.96315540401
04/1993,17080.33268973058
05/1993,18237.671573260657
06/1993,18815.828002173712
07/1993,20817.49861068029
08/1993,19395.397044694375
09/1993,17815.719158614193
10/1993,18736.062144530304
11/1993,19303.022641293635
12/1993,20317.85868657191
01/1994,19917.004077547637
02/1994,20027.875201396262
03/1994,20002.888263465447
04/1994,19399.531034798787
05/1994,19540.78792468596
06/1994,19251.648013259535
07/1994,18450.063462448084
08/1994,18551.595146311123
09/1994,18781.880813059866
10/1994,17905.78268348961
11/1994,18132.803169099087
12/1994,18470.896287884505
01/1995,17730.04032060202
02/1995,17602.43631349779
03/1995,17615.975529805015
04/1995,17176.09435618644
05/1995,17194.005707452474
06/1995,17168.977825181042
07/1995,16803.6768937179
08/1995,17263.784889867016
09/1995,17557.13092472543
10/1995,17219.583160197802
11/1995,17485.46246790765
12/1995,17708.352421322626
01/1996,18793.34695974406
02/1996,18669.049467900983
03/1996,18453.009263464348
04/1996,18369.382979685663
05/1996,18552.75194958137
06/1996,18001.998106274634
07/1996,17877.86058828728
08/1996,17764.934536431392
09/1996,17569.766071561633
10/1996,17644.01280864917
11/1996,17037.53455489992
12/1996,17328.995281513086
01/1997,16638.287484833054
02/1997,18018.066623644005
03/1997,17692.298432958767
04/1997,17376.111507413876
05/1997,17596.842031079857
06/1997,17221.924215169955
07/1997,17263.642744903733
08/1997,17698.054757565293
09/1997,17587.74816161859
10/1997,16188.492811175507
11/1997,15108.58722983348
12/1997,15115.76618277509
01/1998,16297.099093324103
