Data,IE0008471009
12/1986,10000
01/1987,9535.895169178231
02/1987,9338.793003331995
03/1987,9665.083236853916
04/1987,9797.9039222564
05/1987,9629.913157147213
06/1987,10061.614120412101
07/1987,10635.909664589719
08/1987,10587.554913091828
09/1987,10377.307166449355
10/1987,8150.523980865841
11/1987,7340.742929515655
12/1987,7232.06218867546
01/1988,7102.90553123098
02/1988,7923.498972797766
03/1988,7854.163306517123
04/1988,7964.770932396615
05/1988,8019.8578663539465
06/1988,8610.66880603561
07/1988,8889.777191979194
08/1988,8684.087245854955
09/1988,9249.252965500784
10/1988,9584.092022773595
11/1988,9479.91298385474
12/1988,9862.57847230976
01/1989,10090.446509550335
02/1989,9774.825893606958
03/1989,10148.68734395664
04/1989,10365.18589229045
05/1989,10674.062064246162
06/1989,11078.518258156799
07/1989,11655.05467337867
08/1989,12126.828637695728
09/1989,12087.748509555815
10/1989,11364.843982988914
11/1989,11992.866339320712
12/1989,12878.528501329383
01/1990,12555.27204143233
02/1990,12307.68182473606
03/1990,13104.602384397203
04/1990,12799.873304892635
05/1990,13218.28569434597
06/1990,13314.08406566699
07/1990,13362.28781672189
08/1990,11517.903592186527
09/1990,10153.020619516095
10/1990,10685.429222591458
11/1990,10491.442780101415
12/1990,10328.946375580632
01/1991,10493.780718597378
02/1991,11551.137991205987
03/1991,11831.61451326581
04/1991,12092.483058549022
05/1991,12715.7896061168
06/1991,12250.152180150764
07/1991,12320.922382489149
08/1991,12520.398851040092
09/1991,12433.962970880842
10/1991,12394.812767599786
11/1991,12188.25347659279
12/1991,12371.589607705959
01/1992,12943.363240742103
02/1992,13402.842223863188
03/1992,13164.476223546384
04/1992,13499.432943426791
05/1992,13868.839919537655
06/1992,13351.62799833378
07/1992,12610.194021375062
08/1992,12142.016519593064
09/1992,12396.430874980637
10/1992,12553.511795445804
11/1992,12980.908108368025
12/1992,13267.45049042147
01/1993,13402.66783682132
02/1993,14497.729532749814
03/1993,14688.924836278442
04/1993,14380.028836377503
05/1993,14534.63020819408
06/1993,15191.776003344788
07/1993,16316.632011688118
08/1993,17458.847164522176
09/1993,17026.330962526103
10/1993,18009.599229060444
11/1993,17580.936199664546
12/1993,19029.64892358686
01/1994,19349.339699442236
02/1994,18545.712791356957
03/1994,18164.18180032159
04/1994,19020.58710831267
05/1994,18276.930327792954
06/1994,17370.607497196135
07/1994,18658.303251716556
08/1994,18994.24919928049
09/1994,17744.32405261013
10/1994,18139.510624509978
11/1994,18089.63815579364
12/1994,18064.69244008597
01/1995,17751.11434349787
02/1995,17999.642093142756
03/1995,17827.085770521997
04/1995,18513.097607931297
05/1995,19170.266342777504
06/1995,19081.127164774276
07/1995,20172.7298586118
08/1995,20157.488210361767
09/1995,20020.213853483827
10/1995,19858.803852875986
11/1995,20545.114217289934
12/1995,21288.49402278855
01/1996,22785.902759154138
02/1996,22592.15403560921
03/1996,22836.316345712396
04/1996,23734.738084970682
05/1996,24009.315615935568
06/1996,24019.63255210464
07/1996,23010.002791798855
08/1996,23187.15433639309
09/1996,24595.12026248156
10/1996,24696.62829252862
11/1996,26413.040880707464
12/1996,26895.918736387528
01/1997,29171.269067263354
02/1997,30236.581074310514
03/1997,31132.350681841264
04/1997,31552.772288027227
05/1997,32671.529158316225
06/1997,35495.18132592592
07/1997,39645.20402947732
08/1997,35700.85559622969
09/1997,38349.60593482477
10/1997,34636.2016118891
11/1997,36015.53564421239
12/1997,37640.51360558693
01/1998,39801.939487879186
02/1998,42825.20516045734
03/1998,46951.49301206754
04/1998,47610.93852513868
05/1998,50373.78926755142
06/1998,51525.210182062736
07/1998,52688.979674032766
08/1998,45118.486304117374
09/1998,40511.39873748427
10/1998,43792.754043692235
11/1998,48248.24320252067
12/1998,50726.07190157828
01/1999,53849.28246552234
02/1999,52910.34761952471
03/1999,54080.83943394105
04/1999,57106.08708473592
05/1999,55501.02194490022
06/1999,58042.862898997715
07/1999,55804.67297372565
08/1999,57880.30161234468
09/1999,56350.72590197083
10/1999,60236.77461042999
11/1999,66262.8596580057
12/1999,75325.46715435275
01/2000,71958.12387424677
02/2000,79616.90394345288
03/2000,80666.21519058938
04/2000,81588.33980651708
05/2000,80315.4485961468
06/2000,79602.63587664142
07/2000,79327.56441649869
08/2000,80201.03263520625
09/2000,76168.4491291175
10/2000,78380.81343491602
11/2000,74247.019859375
12/2000,73968.21594303976
01/2001,74103.31514144737
02/2001,66969.70365004102
03/2001,64933.81899278633
04/2001,70350.29779245851
05/2001,69209.56323947976
06/2001,66480.35689298496
07/2001,64130.70043644629
08/2001,58756.01838179878
09/2001,51735.21103336174
10/2001,54604.070699914126
11/2001,57426.64241804546
12/2001,59744.384857789206
01/2002,57656.42784373003
02/2002,56936.410188275695
03/2002,59464.396324739246
04/2002,56320.08136439845
05/2002,54379.451813841544
06/2002,49863.105056831526
07/2002,42777.60969629374
08/2002,43246.60256496663
09/2002,35183.73898031153
10/2002,40219.10324624061
11/2002,42427.26564078673
12/2002,38325.61128106952
01/2003,35957.82797604531
02/2003,34245.939285698085
03/2003,32622.19019925468
04/2003,37413.95602788536
05/2003,37781.376345791774
06/2003,39376.46877790194
07/2003,41090.06299097491
08/2003,41744.4956501579
09/2003,39114.94166669156
10/2003,42072.08204367326
11/2003,42984.87172353245
12/2003,45110.5803067123
01/2004,46439.60035050455
02/2004,47330.29002120198
03/2004,45642.85818907248
04/2004,45841.0850116596
05/2004,45594.433047293234
06/2004,46765.46494113918
07/2004,45321.43485275248
08/2004,44559.28909104147
09/2004,45482.96279894317
10/2004,46922.36256750478
11/2004,48044.548030033446
12/2004,49293.6955508952
01/2005,49907.07488350942
02/2005,51203.488905075
03/2005,51155.75092752381
04/2005,49393.98885801335
05/2005,52271.17039565976
06/2005,54202.869646342944
07/2005,56708.589167578044
08/2005,55732.267918967504
09/2005,58540.49588580542
10/2005,56725.52454374001
11/2005,58961.13177063642
12/2005,61213.211777247314
01/2006,63198.94194977426
02/2006,64633.51690960426
03/2006,66045.04290527469
04/2006,65966.7171493159
05/2006,63156.1601349624
06/2006,63614.70762354843
07/2006,64414.14799785139
08/2006,66561.12521352923
09/2006,68147.11970133106
10/2006,70033.13833748017
11/2006,69866.62694490176
12/2006,72188.22421857144
01/2007,73281.16396784892
02/2007,71689.89468120677
03/2007,73362.54337898607
04/2007,77419.69706783464
05/2007,80491.77052103222
06/2007,80272.94007007766
07/2007,77233.67188387264
08/2007,76956.55414171057
09/2007,78511.85064194347
10/2007,80494.64725008303
11/2007,78949.62417130228
12/2007,79034.37892683699
01/2008,68197.59082562367
02/2008,66984.93425933529
03/2008,65272.34735369898
04/2008,69234.88919548123
05/2008,69531.3660806535
06/2008,61778.455926640396
07/2008,62096.79910186673
08/2008,62133.00057301618
09/2008,56156.030160272196
10/2008,47916.74044499147
11/2008,45145.191945998515
12/2008,45477.185845028514
01/2009,41636.363058810464
02/2009,36808.33402404291
03/2009,38593.417974286574
04/2009,44567.25771554952
05/2009,46754.04052096443
06/2009,45909.59249141382
07/2009,50471.814258722356
08/2009,53159.05744711724
09/2009,55052.922169879195
10/2009,52609.4116953339
11/2009,53793.20747334724
12/2009,57085.84966737299
01/2010,53492.21136254991
02/2010,52597.20510553892
03/2010,56529.055754334724
04/2010,54455.4828335823
05/2010,51339.47719822772
06/2010,50727.60956837326
07/2010,54071.400612399346
08/2010,51790.93025066511
09/2010,54289.10732225883
10/2010,56240.202472506826
11/2010,52590.37931459709
12/2010,55423.4403498287
01/2011,58723.06342534283
02/2011,59913.73589918144
03/2011,57885.82942291775
04/2011,60131.19069521717
05/2011,58122.656255782385
06/2011,57953.26344470342
07/2011,54383.61940281065
08/2011,46926.26662348904
09/2011,44540.0663983797
10/2011,48767.61979007872
11/2011,47805.31350957613
12/2011,47559.72765377296
01/2012,49751.34551883569
02/2012,51726.99425959205
03/2012,51044.49403803435
04/2012,47868.55675732378
05/2012,44643.33689775515
06/2012,47882.01641983797
07/2012,49252.85114556375
08/2012,51703.52305738522
09/2012,52109.8262902574
10/2012,53210.335877152625
11/2012,54763.01373494113
12/2012,56092.005615181275
01/2013,57657.27548699399
02/2013,56183.0842614455
03/2013,56015.47416741752
04/2013,58277.436999766265
05/2013,60173.38192427941
06/2013,56654.33875979179
07/2013,60341.709497615215
08/2013,59333.480243257196
09/2013,63163.62231165676
10/2013,67023.16954472644
11/2013,67542.97230771255
12/2013,68087.86611701266
01/2014,66129.6210862654
02/2014,69105.60425960021
03/2014,69443.29198643904
04/2014,70497.28491366518
05/2014,72394.33203255724
06/2014,72163.74671718747
07/2014,69721.01030663485
08/2014,71011.359124242
09/2014,72286.49571907056
10/2014,69831.0526252121
11/2014,72998.60929183003
12/2014,70746.42990256613
01/2015,75473.93164229208
02/2015,81056.93347116839
03/2015,83336.35373807001
04/2015,81776.12073162915
05/2015,81673.3292325446
06/2015,78456.88599404856
07/2015,82542.80903374428
08/2015,75003.87028966252
09/2015,71185.47363715564
10/2015,78542.66320937073
11/2015,80651.98123785573
12/2015,75210.0392980741
01/2016,70190.1315630904
02/2016,67928.61748790852
03/2016,69335.5396410927
04/2016,70235.37848761387
05/2016,71953.42500090592
06/2016,67492.8937675705
07/2016,70534.368578756
08/2016,71336.86465289482
09/2016,70902.7439696844
10/2016,72222.29519449723
11/2016,72223.27697759366
12/2016,77926.37840844551
01/2017,76579.05814068252
02/2017,78776.8705129476
03/2017,83218.51491409176
04/2017,84844.40380454251
05/2017,85671.89466183013
06/2017,83117.12906724565
07/2017,83351.91687050888
08/2017,82743.1476290622
09/2017,87000.51765586901
10/2017,88964.48990873435
11/2017,86493.46012617928
12/2017,84973.99274533388
01/2018,87593.21955875837
02/2018,83548.35075160372
03/2018,81722.98956017215
04/2018,86461.37893581341
05/2018,84275.73098671698
06/2018,84098.31329572116
07/2018,87399.26511502128
08/2018,84150.07227078054
09/2018,84373.76997200472
10/2018,79416.09718913992
11/2018,78847.55834435824
12/2018,74679.75006370412
01/2019,78783.69563046307
02/2019,82256.79362265607
03/2019,83749.22354214502
04/2019,88205.5352815358
05/2019,83323.25398310991
06/2019,88317.21524295595
07/2019,88231.37075774587
08/2019,87276.98401787052
09/2019,90981.8249435848
10/2019,91956.74405914472
11/2019,94520.77335483549
12/2019,95646.84749585636
01/2020,93091.90861642805
02/2020,85209.54479102991
03/2020,71389.60555557361
04/2020,75184.71102892571
05/2020,78739.61525742702
06/2020,83768.49245718545
07/2020,82416.7087417808
08/2020,85033.92639302443
09/2020,83048.38433198165
10/2020,76970.86935079639
11/2020,90885.27118714318
12/2020,92488.20105151374
01/2021,90739.10945503491
02/2021,94855.08589703904
03/2021,102322.91676613064
04/2021,104179.00359083085
05/2021,106567.91544693854
06/2021,107288.32248300943
07/2021,108052.33873708794
08/2021,110887.32593028767
09/2021,107096.69446441851
10/2021,112602.32774944074
11/2021,107718.21821153973
12/2021,113966.09623682706
01/2022,110790.4138722547
02/2022,104220.38689552515
03/2022,103737.00092504422
04/2022,101566.45088168982
05/2022,102446.25052459697
06/2022,93463.27219107388
07/2022,100408.05578163634
08/2022,95281.33836878205
09/2022,89970.46430951337
10/2022,98138.21676174311
11/2022,107648.14555239171
12/2022,103046.99574102122
01/2023,113224.31606102404
02/2023,115368.03989992959
03/2023,117609.15739770661
04/2023,119529.57951020027
05/2023,116877.24692415426
06/2023,121938.60606560486
07/2023,124054.1026073577
08/2023,119286.03268205981
09/2023,115945.6674325011
10/2023,112864.66076339838
11/2023,121929.23059168101
12/2023,125828.12738863438
01/2024,129507.91975693687
02/2024,136030.38230290383
03/2024,141906.80079093188
04/2024,138437.29358553482
