Data,IE000I8KRLL9
07/2021,10000.000000000002
08/2021,9944.944946151798
09/2021,9711.625632001578
10/2021,10291.736154210534
11/2021,11551.690079154234
12/2021,11955.245440536104
01/2022,10746.573243466264
02/2022,10585.117003281279
03/2022,10724.22110390976
04/2022,9612.847343869258
05/2022,9990.399353012765
06/2022,8496.679434124017
07/2022,9823.402861778377
08/2022,9149.260641807323
09/2022,8027.193402575797
10/2022,8182.6998660930485
11/2022,9321.295906469028
12/2022,8258.729852160237
01/2023,9394.922398283426
02/2023,9659.334617163484
03/2023,10316.56299775893
04/2023,9475.965275833858
05/2023,11215.979547537734
06/2023,11596.012416304235
07/2023,11941.544453735389
08/2023,11579.552358629187
09/2023,11068.231310101799
10/2023,10507.242544780858
11/2023,11932.835198724624
12/2023,13083.945745628804
01/2024,13669.74918886813
02/2024,15213.616120664276
03/2024,15904.72627269388
04/2024,15061.152330070749
