Data,IE000N5JOGS2
05/2020,10000.000000000002
06/2020,10003.198111504098
07/2020,10069.943612050627
08/2020,10220.042337266023
09/2020,10269.786005053857
10/2020,10474.609484893233
11/2020,10686.559365616764
12/2020,10856.42312456278
01/2021,10991.703686551695
02/2021,10989.661724492154
03/2021,10907.490721204447
04/2021,11113.644570599035
05/2021,11382.368395112835
06/2021,11213.159948086994
07/2021,11393.278941097886
08/2021,11416.517404718119
09/2021,11427.97293800871
10/2021,11520.584536826658
11/2021,11680.554358518417
12/2021,11754.052563408111
01/2022,11871.031687823852
02/2022,11929.91723492902
03/2022,11876.848895976405
04/2022,11477.74667212854
05/2022,11424.081261961597
06/2022,11353.148655822577
07/2022,11364.543894144392
08/2022,11217.140256014685
09/2022,10881.228468195091
10/2022,10650.579550719118
11/2022,10768.542794025774
12/2022,11114.109228673427
01/2023,11432.828750387022
02/2023,11143.08590541509
03/2023,11318.919035630091
04/2023,11295.312780548855
05/2023,11089.476824925627
06/2023,10900.189757751723
07/2023,11118.734244880292
08/2023,10976.004543145626
09/2023,10902.043678923254
10/2023,10897.924914993017
11/2023,11207.320966581945
12/2023,11383.930791586965
01/2024,11354.002787675066
02/2024,11425.238749778693
03/2024,11397.504411139815
04/2024,11411.211925250824
