Data,IE00B02KXH56
12/1978,10000
01/1979,10099.797968513156
02/1979,9752.914961201903
03/1979,9398.490330025852
04/1979,9204.080486829453
05/1979,9442.561508477327
06/1979,9389.681908885257
07/1979,9022.683123573572
08/1979,9079.766552790965
09/1979,9147.88643677184
10/1979,8470.539343172797
11/1979,8094.303267184061
12/1979,8408.609748120522
01/1980,8487.17815078984
02/1980,8227.547702854332
03/1980,8416.423035306605
04/1980,9206.933321687025
05/1980,9327.376680345022
06/1980,9544.031293411454
07/1980,8952.447414173464
08/1980,9732.11408354972
09/1980,10342.561514729428
10/1980,10854.69339977587
11/1980,10868.462810452655
12/1980,11991.608552336796
01/1981,12258.082943348383
02/1981,12898.790266744732
03/1981,13672.539112721463
04/1981,15049.327664633754
05/1981,15549.65828105131
06/1981,16705.46123871497
07/1981,16571.40671381494
08/1981,17671.40343232109
09/1981,15265.382429690695
10/1981,14790.267880123625
11/1981,15955.566564941126
12/1981,16427.914177333536
01/1982,16390.384215157235
02/1982,15578.971535413493
03/1982,14330.737831171062
04/1982,15838.956109571498
05/1982,14703.217013342364
06/1982,14610.474468558265
07/1982,14360.432246857654
08/1982,14522.12931559821
09/1982,14089.391331278595
10/1982,14301.970375741228
11/1982,17227.2201145855
12/1982,18384.809212292344
01/1983,17489.3503973074
02/1983,18094.022776273716
03/1983,18904.02166659866
04/1983,19571.73433699756
05/1983,19727.447378845198
06/1983,20966.612885084047
07/1983,21413.761164003863
08/1983,21822.505752073306
09/1983,23546.744625491938
10/1983,23032.20951649546
11/1983,23926.180769704784
12/1983,26409.062862806753
01/1984,28250.31544485287
02/1984,27286.07792874539
03/1984,31046.92503710571
04/1984,30889.41462123193
05/1984,28080.429785152963
06/1984,28190.729103672315
07/1984,27173.045354514223
08/1984,29819.818496929325
09/1984,31078.778160592006
10/1984,33187.48388732944
11/1984,32520.704945617024
12/1984,35083.27115151851
01/1985,35739.96617079418
02/1985,38268.76068394118
03/1985,40523.87020369713
04/1985,36411.86141184322
05/1985,37927.22204352783
06/1985,38929.62591876094
07/1985,37198.75252234323
08/1985,36767.622858257906
09/1985,41311.10024929505
10/1985,39976.56345009948
11/1985,39769.88895263133
12/1985,41110.56739359017
01/1986,41358.01850320565
02/1986,44499.73163062848
03/1986,52539.140619153164
04/1986,54803.3599548795
05/1986,53471.18152518434
06/1986,59118.87511269518
07/1986,64951.145925272256
08/1986,68705.9270141161
09/1986,69843.40789124028
10/1986,59826.919801655145
11/1986,64425.14138502125
12/1986,68150.72951214986
01/1987,74341.04120300515
02/1987,74310.61652630937
03/1987,82289.56270284082
04/1987,93965.20507092483
05/1987,92623.07565237918
06/1987,87264.98387214326
07/1987,85393.87630470951
08/1987,96750.61932600586
09/1987,90859.91292412736
10/1987,83398.34036155131
11/1987,81457.63388596154
12/1987,79974.61962213575
01/1988,85136.63141407263
02/1988,94179.88621884325
03/1988,99866.94770374973
04/1988,100262.58098723328
05/1988,96634.33731556236
06/1988,96406.07829365249
07/1988,105866.35860267379
08/1988,100017.75040425017
09/1988,103523.68487589226
10/1988,109343.62602313476
11/1988,114296.98030430675
12/1988,115022.39228729355
01/1989,119882.98264453979
02/1989,123662.0740194963
03/1989,120082.91036107934
04/1989,120497.41229626966
05/1989,118498.47987625698
06/1989,115175.23244313902
07/1989,124711.03187086272
08/1989,117843.24812991206
09/1989,127220.18781310854
10/1989,119161.81100127498
11/1989,123391.2477871045
12/1989,118039.01216427117
01/1990,107632.41580572446
02/1990,95176.26271615988
03/1990,78019.84913102438
04/1990,77956.53627966467
05/1990,87623.18463437913
06/1990,84056.2674479624
07/1990,80379.02820069336
08/1990,69327.02254205574
09/1990,58044.50641084213
10/1990,69975.78563470129
11/1990,60316.006134887095
12/1990,63868.63165248837
01/1991,65816.82265189529
02/1991,72852.51121297608
03/1991,74330.40623248159
04/1991,80206.22907420144
05/1991,80866.66760351179
06/1991,77806.58827830998
07/1991,80278.3021254835
08/1991,74136.03103504
09/1991,78350.19551617515
10/1991,81588.85512184155
11/1991,72950.50181936906
12/1991,72831.94086299972
01/1992,69910.96916258354
02/1992,65453.81087637493
03/1992,59886.01716512458
04/1992,55662.98142818421
05/1992,58939.350653010595
06/1992,51988.916187254676
07/1992,48923.48042302176
08/1992,56114.558990756195
09/1992,56006.991475868876
10/1992,55600.07612443204
11/1992,60745.78228749762
12/1992,59779.26737825522
01/1993,60718.618402098284
02/1993,64895.79961251722
03/1993,74357.64388570246
04/1993,84557.79190357152
05/1993,87059.40638540559
06/1993,88314.5051507748
07/1993,97847.16433965586
08/1993,100697.07608469448
09/1993,92047.64215020754
10/1993,92658.9324422883
11/1993,79310.40804410576
12/1993,81750.2545981316
01/1994,96196.16029966521
02/1994,100160.0740416747
03/1994,93843.82015567
04/1994,98081.34710635681
05/1994,98026.11778148261
06/1994,101142.17117114483
07/1994,94454.78876259131
08/1994,95160.76671727066
09/1994,91770.29536188663
10/1994,92439.55514943785
11/1994,89047.78044577716
12/1994,91868.10800357287
01/1995,84696.98439490826
02/1995,79682.5215871001
03/1995,83594.32149522168
04/1995,85955.26353037567
05/1995,81827.65401149988
06/1995,77227.14030694806
07/1995,82366.88443944232
08/1995,81408.75849286384
09/1995,83112.58745731034
10/1995,77202.56157409251
11/1995,81910.85920952386
12/1995,87421.81219087022
01/1996,87277.43128618144
02/1996,86173.22086722296
03/1996,89115.09490205035
04/1996,94940.98888759385
05/1996,91100.67670418539
06/1996,90827.61043371854
07/1996,85397.36401476202
08/1996,80799.02343533613
09/1996,84283.32326487768
10/1996,78831.66381388072
11/1996,79265.4918701434
12/1996,75380.47407673548
01/1997,68965.86106958125
02/1997,73617.83223759916
03/1997,71982.69084861659
04/1997,74963.854561755
05/1997,82951.32282346922
06/1997,90111.51980492967
07/1997,89752.71892679104
08/1997,84262.52348410033
09/1997,80770.64890409457
10/1997,71877.60123582647
11/1997,66042.22294995553
12/1997,63910.67132346334
01/1998,71182.63270629854
02/1998,71360.83742558969
03/1998,66716.06372314747
