Data,IE00B02KXM00
12/1986,10000
01/1987,10087.390606677778
02/1987,10221.919996389464
03/1987,10530.286337907843
04/1987,10487.007903051193
05/1987,10045.28233460125
06/1987,10005.889559833773
07/1987,10470.050119017975
08/1987,10459.1712172594
09/1987,10390.130346236996
10/1987,7830.899808690039
11/1987,7223.996462725066
12/1987,7098.929006538852
01/1988,6892.814214994021
02/1988,7586.341551066024
03/1988,7441.9258870338
04/1988,7685.360370298936
05/1988,7822.750036280543
06/1988,8477.330772255542
07/1988,8659.454901466632
08/1988,8560.904160099164
09/1988,8958.049806758632
10/1988,9329.196809279083
11/1988,9401.441109550782
12/1988,9553.558766192926
01/1989,10148.217826032398
02/1989,9952.042817581478
03/1989,10441.555329164226
04/1989,10953.684519445387
05/1989,11173.82120241221
06/1989,11384.642764325165
07/1989,11686.063730800897
08/1989,12321.722436448134
09/1989,12743.544494844156
10/1989,11721.974096289625
11/1989,12076.884032698586
12/1989,12566.98761954276
01/1990,12355.14786012058
02/1990,12048.346186722662
03/1990,12635.777717974246
04/1990,12808.852324019295
05/1990,13081.387660160284
06/1990,12939.126503898142
07/1990,12754.963894153241
08/1990,10694.549270608919
09/1990,9124.615650261287
10/1990,9511.873481920258
11/1990,9208.778918807178
12/1990,9130.07066672875
01/1991,8962.135792111054
02/1991,10327.92090569364
03/1991,10661.337462774203
04/1991,10604.995774038172
05/1991,10733.386340583713
06/1991,10470.591944249947
07/1991,10226.158115012113
08/1991,10290.917723666922
09/1991,10195.717800057253
10/1991,9704.559721120419
11/1991,9283.651077487513
12/1991,9073.607715467504
01/1992,9624.980610977413
02/1992,9864.868580756032
03/1992,9600.427414010826
04/1992,9728.665471429167
05/1992,9892.158280288071
06/1992,9225.7601743072
07/1992,8380.521889692198
08/1992,7847.269770669599
09/1992,7480.8852816290555
10/1992,7648.452890559313
11/1992,7784.259198678584
12/1992,7755.44873120501
01/1993,8025.77729834012
02/1993,8441.37476426673
03/1993,8745.618576171813
04/1993,8976.533783031115
05/1993,9117.945928980875
06/1993,9233.0988674508
07/1993,9894.746562505588
08/1993,10630.80426237154
09/1993,10132.406367238525
10/1993,10470.530189083807
11/1993,10304.90172656307
12/1993,11145.200848606937
01/1994,12049.773291248259
02/1994,11647.997193449775
03/1994,11591.937833463138
04/1994,12004.448347350053
05/1994,11537.457955791651
06/1994,10926.093708515808
07/1994,11448.003792020776
08/1994,11538.48765724788
09/1994,10974.41613692059
10/1994,10673.691287272668
11/1994,10549.911936659675
12/1994,10428.904993838452
01/1995,10123.284522390179
02/1995,9963.064163147588
03/1995,9421.271778266013
04/1995,9932.23060338686
05/1995,10340.78554790414
06/1995,10078.662342806825
07/1995,10260.519683664235
08/1995,10259.782934640949
09/1995,9988.110010622331
10/1995,9428.793131525621
11/1995,9223.706753957444
12/1995,9380.52406078596
01/1996,9964.070642367764
02/1996,10096.436325232531
03/1996,10221.574190176165
04/1996,10546.456342642665
05/1996,10659.766984447459
06/1996,10733.774967194184
07/1996,10117.933392050485
08/1996,10141.287700281857
09/1996,10219.842677075123
10/1996,10090.902669917328
11/1996,10494.272367864796
12/1996,10728.330082265835
01/1997,11706.687019064932
02/1997,12037.109134519187
03/1997,12200.204763426025
04/1997,12065.516753907388
05/1997,12162.758914838158
06/1997,12584.050468992742
07/1997,13519.043525076606
08/1997,12928.836197416707
09/1997,13657.284832850984
10/1997,12457.27656336018
11/1997,12405.252451643393
12/1997,12573.929499802496
01/1998,13460.092529946789
02/1998,14210.178725943499
03/1998,15683.123513321438
04/1998,16109.825613853258
05/1998,16585.794999380014
06/1998,15822.225426460538
07/1998,15163.513070880566
08/1998,12868.242165086616
09/1998,11107.425325585818
10/1998,11832.382670261664
11/1998,12272.561256169698
12/1998,12263.174417986038
01/1999,11775.548084671167
02/1999,11848.362428820203
03/1999,12088.663655095748
04/1999,12929.095219224359
05/1999,12727.394754112234
06/1999,13029.709139583945
07/1999,12521.649113001193
08/1999,12953.232844624348
09/1999,12543.21903801712
10/1999,12633.169290370404
11/1999,12797.810896923302
12/1999,14268.761466451948
01/2000,14196.33076650003
02/2000,16400.38535923878
03/2000,16300.936064470437
04/2000,16104.088249330829
05/2000,16044.299689502956
06/2000,16114.412884290474
07/2000,16465.17072752108
08/2000,17083.143826721378
09/2000,16121.957513429881
10/2000,15762.562936472075
11/2000,15135.355893158297
12/2000,14788.793255530964
01/2001,15625.110864986726
02/2001,15053.705534202938
03/2001,14234.24087199425
04/2001,14634.389749398491
05/2001,14865.550163827162
06/2001,14116.006577171689
07/2001,13606.34692789394
08/2001,13207.94354153157
09/2001,10952.018229026458
10/2001,11667.448275065746
11/2001,12624.069111497414
12/2001,12670.444577818927
01/2002,12962.646552596463
02/2002,12940.89455825924
03/2002,13688.482361047887
04/2002,13602.917442758277
05/2002,13250.103870663328
06/2002,12216.874006716334
07/2002,10947.697035816236
08/2002,10872.72730160897
09/2002,9251.888122670287
