Data,IE00B0M62X26
11/2005,10000
12/2005,10150.037031145615
01/2006,10046.856046559598
02/2006,10055.305654519341
03/2006,9829.463581645387
04/2006,9738.10916704857
05/2006,9786.106642223505
06/2006,9810.111506012297
07/2006,9924.101775972624
08/2006,10064.981667103159
09/2006,10059.472548634847
10/2006,10094.527138318928
11/2006,10159.774820420844
12/2006,9971.260109920884
01/2007,9889.227534619746
02/2007,9984.401450674024
03/2007,9899.709754026122
04/2007,9898.011815763162
05/2007,9794.802064733918
06/2007,9720.480698330943
07/2007,9886.7895951754
08/2007,9951.837363508374
09/2007,9975.030474069994
10/2007,10105.36704349102
11/2007,10209.073265233359
12/2007,10152.946203884638
01/2008,10436.05907016702
02/2008,10539.818401838853
03/2008,10458.814380034028
04/2008,10412.053487859273
05/2008,10421.670708633315
06/2008,10420.143296718372
07/2008,10491.366586873515
08/2008,10578.959780005218
09/2008,10486.03936160839
10/2008,9900.168349174814
11/2008,10043.568834801199
12/2008,10534.124932998451
01/2009,10481.830262588557
02/2009,10343.40773001509
03/2009,10604.379608183222
04/2009,10789.838457599926
05/2009,10875.650944055198
06/2009,10940.90180094294
07/2009,11097.159110103245
08/2009,11240.02007722593
09/2009,11367.24011430553
10/2009,11264.867756047044
11/2009,11395.860546119826
12/2009,11379.459177395234
01/2010,11272.475977919676
02/2010,11311.807253316028
03/2010,11567.279060261366
04/2010,11610.261101322229
05/2010,11685.044000101894
06/2010,11550.846631892318
07/2010,11669.771459284198
08/2010,11940.923229217973
09/2010,11802.667965794994
10/2010,11825.593072049533
11/2010,11402.812506376758
12/2010,11480.730639006453
01/2011,11520.11401637319
02/2011,11587.84088421081
03/2011,11613.963488025294
04/2011,11722.387698806659
05/2011,11855.974065731654
06/2011,11828.6476507221
07/2011,11682.927531791674
08/2011,11651.117931085719
09/2011,11607.91871984449
10/2011,11316.937314269111
11/2011,10762.36392169555
12/2011,11362.36071782246
01/2012,11626.843952684378
02/2012,12103.994283408552
03/2012,12065.107794301946
04/2012,11958.841666648996
05/2012,11984.429525058606
06/2012,11910.348799960819
07/2012,12321.894283056026
08/2012,12365.13714308774
09/2012,12400.194446818632
10/2012,12330.668983352212
11/2012,12483.80939931618
12/2012,12596.795687383008
01/2013,12411.625756028296
02/2013,12396.866554695176
03/2013,12470.447826016443
04/2013,12651.896262185766
05/2013,12484.743230586453
06/2013,12091.357622845282
07/2013,12246.55003566445
08/2013,12080.868052571226
09/2013,12149.922499580187
10/2013,12270.207926726005
11/2013,12205.747026788025
12/2013,12094.609272036598
01/2014,12224.449518313546
02/2014,12220.004893779424
03/2014,12269.939607000648
04/2014,12384.006046489407
05/2014,12525.115007889648
06/2014,12619.040709282
07/2014,12712.298516563533
08/2014,12863.282551945318
09/2014,12782.187560844086
10/2014,12752.520210620494
11/2014,12793.75004881873
12/2014,12720.979289293778
01/2015,13026.978139412884
02/2015,13139.928355507025
03/2015,13294.746319652235
04/2015,13241.558928577953
05/2015,12956.10365803637
06/2015,12712.805533727966
07/2015,12921.181033564513
08/2015,12624.453838252208
09/2015,12699.80351546727
10/2015,12983.481868639008
11/2015,13126.759472461503
12/2015,12813.581080247848
01/2016,12899.82323049797
02/2016,12787.454170278737
