Data,IE00B14X4T88
03/2006,10000
04/2006,10381.855464983944
05/2006,9579.296338693026
06/2006,9489.40905827813
07/2006,9895.959642946542
08/2006,10177.394083776066
09/2006,10619.30536749623
10/2006,11420.402766668858
11/2006,11916.081388219922
12/2006,12509.509867173274
01/2007,12866.909187817677
02/2007,12854.523215645037
03/2007,13435.739231582016
04/2007,13919.615644150526
05/2007,14273.555565256036
06/2007,14353.7714582682
07/2007,14216.155024933241
08/2007,13548.23765502814
09/2007,14158.032407659215
10/2007,14756.292932577337
11/2007,13448.024019119235
12/2007,13097.632433768873
01/2008,12279.820326238212
02/2008,12278.049711236587
03/2008,11070.460413570061
04/2008,11786.641771888682
05/2008,11893.01411334684
06/2008,10241.17029722462
07/2008,10308.723461298721
08/2008,10028.995968160672
09/2008,9005.687299697853
10/2008,6839.943944499692
11/2008,6279.804538185996
12/2008,6133.431468669635
01/2009,5957.4872946662235
02/2009,5195.841959878504
03/2009,5714.049009190043
04/2009,6776.605618695391
05/2009,7537.838340728974
06/2009,8171.448471575635
07/2009,9125.855881693231
08/2009,9468.452316538102
09/2009,10055.381291649503
10/2009,9660.682227513611
11/2009,9726.30831143554
12/2009,10104.565962096249
01/2010,9970.290979615278
02/2010,10452.972204689817
03/2010,11133.007828427908
04/2010,11554.576851814963
05/2010,10853.166095043442
06/2010,10941.460902545688
07/2010,11351.227328085191
08/2010,11422.135923496415
09/2010,11607.910894747893
10/2010,11776.288332326709
11/2010,12410.906954176602
12/2010,12645.75101206733
01/2011,12283.629814053409
02/2011,12290.682863106253
03/2011,12198.023658305783
04/2011,12319.649855913784
05/2011,12721.038401481748
06/2011,12705.166081932166
07/2011,13037.399538042368
08/2011,12426.60375526225
09/2011,12090.311784103294
10/2011,12832.511930769113
11/2011,12755.80973015783
12/2011,12838.70452058181
01/2012,13332.852464625963
02/2012,14151.384816974381
03/2012,14123.988014408993
04/2012,14666.218344941708
05/2012,14069.96716342843
06/2012,14514.46281423073
07/2012,15716.1050198531
08/2012,15326.169225440139
09/2012,15424.885562018251
10/2012,15724.728773295858
11/2012,15975.817628078827
12/2012,15474.472492679884
01/2013,15778.230763040314
02/2013,16708.94174629203
03/2013,17530.699495344386
04/2013,18216.502387736324
05/2013,16340.831439514872
06/2013,15752.66411535082
07/2013,15857.695158042861
08/2013,15530.885664925261
09/2013,16085.114913687152
10/2013,16548.868872496332
11/2013,15940.28250062291
12/2013,15800.776761037352
01/2014,15380.303452499642
02/2014,15651.97076958756
03/2014,16062.690348534434
04/2014,16829.95809236834
05/2014,17442.315970997846
06/2014,17565.536746888058
07/2014,18049.073137528394
08/2014,18342.994904355557
09/2014,17359.98917510658
10/2014,17988.912872491754
11/2014,17184.25230487801
12/2014,17348.991025432642
01/2015,18431.271894361907
02/2015,19245.21586756026
03/2015,19408.166182281962
04/2015,19035.362988726713
05/2015,19520.219746693296
06/2015,18000.815815300335
07/2015,17690.742716076835
08/2015,15477.070601208248
09/2015,14533.10110743116
10/2015,15997.343829427702
11/2015,16495.30924503729
12/2015,15966.644292177529
01/2016,14621.41823848141
02/2016,15074.323134245224
