Data,IE00B1FZS681
12/2006,10000
01/2007,9996.231123157188
02/2007,10067.057496544554
03/2007,10050.893754907247
04/2007,10051.029944875438
05/2007,9986.55495100324
06/2007,9976.329371452475
07/2007,10071.73515720589
08/2007,10188.533955325913
09/2007,10205.564044057039
10/2007,10244.490984662925
11/2007,10349.27553264181
12/2007,10314.42530100585
01/2008,10559.918448198128
02/2008,10652.206952148006
03/2008,10572.902535308165
04/2008,10508.715338502836
05/2008,10384.672465319018
06/2008,10286.389966624378
07/2008,10454.235980528672
08/2008,10557.070365501506
09/2008,10685.685099539383
10/2008,10906.807802375457
11/2008,11114.972138703512
12/2008,11265.065104546191
01/2009,11335.490858543319
02/2009,11428.257360916698
03/2009,11526.536053253913
04/2009,11554.282553575822
05/2009,11506.827467388159
06/2009,11592.14409297399
07/2009,11688.374234590226
08/2009,11704.76585624348
09/2009,11771.813720218459
10/2009,11804.947314204308
11/2009,11878.500603619781
12/2009,11843.31081034486
01/2010,11924.060066092912
02/2010,12054.897769507004
03/2010,12102.174752486799
04/2010,12134.102019307049
05/2010,12225.729634667148
06/2010,12225.168048214697
07/2010,12286.090174921874
08/2010,12417.69992724496
09/2010,12349.956815584994
10/2010,12316.988374275314
11/2010,12142.54817953453
12/2010,12152.579391331758
01/2011,12074.90669671303
02/2011,12091.854953798826
03/2011,12047.380948619862
04/2011,12087.422155882563
05/2011,12172.574849823537
06/2011,12193.762490906676
07/2011,12194.273388030002
08/2011,12509.59775683
09/2011,12539.917684519583
10/2011,12417.995437790496
11/2011,12195.420773274836
12/2011,12582.912320803605
01/2012,12816.268983200987
02/2012,12992.334105298978
03/2012,12946.990731723152
04/2012,12914.151449955032
05/2012,12838.833426592522
06/2012,12890.7285476508
07/2012,12977.947117966338
08/2012,13127.849265485245
09/2012,13262.204905390285
10/2012,13336.639886934969
11/2012,13451.612398658755
12/2012,13512.923108858617
01/2013,13466.167814299482
02/2013,13511.119121695769
03/2013,13551.407853025628
04/2013,13755.667150212275
05/2013,13674.928450298798
06/2013,13539.071960528914
07/2013,13638.806245572014
08/2013,13619.011620139989
09/2013,13705.45786832533
10/2013,13856.895452194856
11/2013,13922.842307152063
12/2013,13861.08541562367
01/2014,14054.211429795521
02/2014,14101.200748162431
03/2014,14194.538926232186
04/2014,14259.894201249932
05/2014,14344.644525470194
06/2014,14448.365834862025
07/2014,14507.210606819492
08/2014,14594.582578530024
09/2014,14636.648457042818
10/2014,14605.742843675696
11/2014,14647.378165222382
12/2014,14693.159227957583
01/2015,14747.07220270475
02/2015,14818.450406389253
03/2015,14826.999648981684
04/2015,14793.965626234354
05/2015,14765.405395543117
06/2015,14666.831320833824
07/2015,14795.849532953864
08/2015,14742.852383314203
09/2015,14802.716746126758
10/2015,14882.564349684502
11/2015,14942.285048183436
12/2015,14883.621381049566
01/2016,14989.111088460571
02/2016,15014.348501311772
03/2016,15021.305661632881
04/2016,15000.661853508618
05/2016,15041.274081082509
06/2016,15112.285884737681
07/2016,15128.99380709403
08/2016,15131.123579889052
09/2016,15143.569730205336
10/2016,15051.216959523656
11/2016,14986.361297102592
12/2016,15102.957895210717
01/2017,15001.205932912448
02/2017,15059.35921371765
03/2017,15039.45265532011
04/2017,15077.728015105251
05/2017,15125.207749896232
06/2017,15109.715101275382
07/2017,15142.769173847637
08/2017,15176.734591470207
09/2017,15165.299044285983
10/2017,15230.71619863909
11/2017,15260.484502547923
12/2017,15174.825713077771
01/2018,15173.743369355388
02/2018,15179.53874898264
03/2018,15336.357427753243
04/2018,15306.249442747157
05/2018,15116.03308331142
06/2018,15210.923129875411
07/2018,15174.338967306327
08/2018,15075.651335089584
09/2018,15080.560946929498
10/2018,15090.000534540506
11/2018,15173.698118703507
12/2018,15276.062650836842
01/2019,15333.598450094029
02/2019,15301.116637142903
03/2019,15384.191151238549
04/2019,15385.142964652907
05/2019,15419.718590972068
06/2019,15534.0372118329
07/2019,15632.684442044376
08/2019,15741.527903380604
09/2019,15703.605626380573
10/2019,15630.480546876797
11/2019,15567.46236342924
12/2019,15534.878331541513
01/2020,15631.856142594475
02/2020,15624.293097483254
03/2020,15474.9654953581
04/2020,15490.968191648724
05/2020,15508.023822127567
06/2020,15573.650930260914
07/2020,15619.688325121071
08/2020,15584.659040672565
09/2020,15647.62931572778
10/2020,15712.256776853052
11/2020,15702.099714018454
12/2020,15699.814076732402
01/2021,15672.122821120021
02/2021,15587.98409455885
03/2021,15630.585723631242
04/2021,15578.772326139797
05/2021,15573.442483323239
06/2021,15586.448325247587
07/2021,15670.858682323094
08/2021,15628.260013185787
09/2021,15571.398100427226
10/2021,15435.832626449905
11/2021,15578.242260766989
12/2021,15470.865797524233
01/2022,15381.549219973323
02/2022,15277.469327592431
03/2022,15013.213576234237
04/2022,14777.735812203304
05/2022,14677.780159068805
06/2022,14570.118316569997
07/2022,14867.59680441385
08/2022,14397.89088105643
09/2022,14099.78097841165
10/2022,14111.95798388636
11/2022,14172.999802852817
12/2022,13893.558725267552
01/2023,14046.15683755053
02/2023,13857.969582544223
03/2023,14104.320749529772
04/2023,14125.443931638147
05/2023,14180.982497927915
06/2023,14034.076061994141
07/2023,14108.085572203732
08/2023,14167.903921417314
09/2023,14018.800127694754
10/2023,14123.424368844273
11/2023,14327.491253180955
12/2023,14620.250246244377
01/2024,14593.722994968468
02/2024,14418.047127738848
03/2024,14507.259716117835
04/2024,14385.71007360153
