Data,IE00B1FZSC47
12/2006,10000
01/2007,10177.685803063408
02/2007,10188.019340756404
03/2007,10126.85053663197
04/2007,9983.29536190511
05/2007,9970.153489439876
06/2007,9914.582925241939
07/2007,9990.691941318753
08/2007,10082.843742527813
09/2007,9867.880299326753
10/2007,9796.03951551446
11/2007,9971.153035462026
12/2007,9990.303932301364
01/2008,10255.588714162854
02/2008,10189.39980234904
03/2008,9773.966491360192
04/2008,9733.377982383952
05/2008,9770.046001249493
06/2008,9770.409572886252
07/2008,9798.819968815902
08/2008,10484.73531498515
09/2008,10374.812309971396
10/2008,10668.40700713081
11/2008,10825.232593277186
12/2008,10376.60130941928
01/2009,11360.200222512283
02/2009,11291.262823529933
03/2009,11358.22974621973
04/2009,11165.51799425249
05/2009,10730.968967223891
06/2009,10756.607564293936
07/2009,10766.47333279302
08/2009,10751.046771431069
09/2009,10699.862177921834
10/2009,10714.272816540404
11/2009,10849.085621157994
12/2009,11064.220072716606
01/2010,11593.612073086964
02/2010,11789.208881397062
03/2010,11884.749964714687
04/2010,12323.811908582564
05/2010,13326.20604628136
06/2010,13556.80900466769
07/2010,12785.651912080422
08/2010,13369.0757896299
09/2010,12492.244674254081
10/2010,12634.059978343363
11/2010,13234.79605211127
12/2010,12671.737654370498
01/2011,12383.177277459421
02/2011,12362.465954903839
03/2011,12160.005035844079
04/2011,11923.469833942192
05/2011,12350.371148325577
06/2011,12393.589660761263
07/2011,13068.43305368145
08/2011,13011.084218169228
09/2011,13899.5281159277
10/2011,13654.572438920799
11/2011,14361.34135543939
12/2011,14900.987794920517
01/2012,14975.326514040244
02/2012,14621.504551170514
03/2012,14548.516812040481
04/2012,15014.97602274038
05/2012,16290.851908879453
06/2012,15953.307135853236
07/2012,16679.820786385153
08/2012,16187.371913795212
09/2012,15868.866612372763
10/2012,15941.369394054967
11/2012,16026.45891717661
12/2012,15658.818083444792
01/2013,15130.250895795481
02/2013,15617.063235747884
03/2013,16051.673987549178
04/2013,15872.779950716473
05/2013,15206.341521442115
06/2013,14549.326782508715
07/2013,14431.852950603106
08/2013,14258.724159697596
09/2013,14178.032156446005
10/2013,14116.871473753887
11/2013,13973.629895498096
12/2013,13580.065881494314
01/2014,14156.258124055585
02/2014,13917.695541207211
03/2014,13879.646136976755
04/2014,14018.237385517614
05/2014,14588.364398493719
06/2014,14576.449789319344
07/2014,14894.852932988742
08/2014,15192.443193034764
09/2014,15493.477929866724
10/2014,15716.908379850849
11/2014,15814.935056180426
12/2014,16093.42905283059
01/2015,17853.7906614524
02/2015,17721.782087135012
03/2015,18422.57880522541
04/2015,17794.73589628369
05/2015,18023.619894291773
06/2015,17476.36150791914
07/2015,17883.546430330363
08/2015,17338.463421906486
09/2015,17237.26339445334
10/2015,17581.481332195217
11/2015,18292.060675022367
12/2015,17621.620902759336
01/2016,17837.07286851833
02/2016,18098.889985251684
03/2016,17632.752683033123
04/2016,17671.40324042661
05/2016,17928.095700471542
06/2016,18403.918053231773
07/2016,18567.80492569835
08/2016,18454.23265587913
09/2016,18497.195224442934
10/2016,18768.661392847353
11/2016,18925.545625721777
12/2016,19063.266613768217
01/2017,18844.937277396246
02/2017,19227.198609544892
03/2017,19047.732633492127
04/2017,18742.627589604697
05/2017,18248.20830897933
06/2017,17766.047065711184
07/2017,17360.536020561558
08/2017,17413.11674194127
09/2017,17323.71672004032
10/2017,17610.21046030921
11/2017,17326.74932091627
12/2017,17290.366709657028
01/2018,16497.89378536506
02/2018,16642.906727055808
03/2018,16676.605542558424
04/2018,17005.01845454367
05/2018,17628.201114768326
06/2018,17766.69601925383
07/2018,17555.646762946213
08/2018,17811.99431970032
09/2018,17722.776942397613
10/2018,17842.390677220035
11/2018,17870.824271001773
12/2018,17824.93592532103
01/2019,18013.728002541637
02/2019,18119.902943567056
03/2019,18767.367647804782
04/2019,18853.674753685595
05/2019,19307.24352799274
06/2019,19070.122960619115
07/2019,19536.962556583174
08/2019,20249.625070875492
09/2019,20219.23591967853
10/2019,19785.723876713135
11/2019,20129.599541284475
12/2019,19738.048729636794
01/2020,20513.62927814335
02/2020,20960.7725282835
03/2020,20623.735812680432
04/2020,21380.02745043135
05/2020,20931.057562886686
06/2020,21052.133423203646
07/2020,20399.217910767442
08/2020,20445.518178700648
09/2020,20770.62022219449
10/2020,20643.664150550238
11/2020,20395.416182696576
12/2020,20135.94634809132
01/2021,20415.77400619873
02/2021,20063.424059549096
03/2021,20684.097302373142
04/2021,20370.185817102007
05/2021,20417.033993793277
06/2021,21107.461650545087
07/2021,21686.28385774036
08/2021,21743.559960381557
09/2021,22046.846020086203
10/2021,22179.57200256297
11/2021,22956.10860362609
12/2021,23101.677249038068
01/2022,22931.196947638644
02/2022,23029.50134448729
03/2022,22782.843798603888
04/2022,23469.795364762518
05/2022,22807.25697665282
06/2022,22744.237634100802
07/2022,24214.210562559314
08/2022,24027.628246473505
09/2022,22954.184993454943
10/2022,22852.72511928394
11/2022,22251.976915430187
12/2022,21418.109734869482
01/2023,21489.47590190255
02/2023,21618.284843118163
03/2023,21724.8423087678
04/2023,21528.385855364966
05/2023,21862.819074826526
06/2023,21430.977319810034
07/2023,21135.710616114324
08/2023,21234.471083038872
09/2023,21360.722293457195
10/2023,21134.348962801145
11/2023,21103.705740123056
12/2023,21446.276230980035
01/2024,21899.672020627644
02/2024,21686.196100950532
03/2024,21891.895959570847
04/2024,21694.5164713269
