Data,IE00B1TXHL60
03/2007,10000
04/2007,9992.440028038194
05/2007,10198.37002036283
06/2007,9893.294075711909
07/2007,9159.68927449253
08/2007,8931.51006292877
09/2007,8884.406765978069
10/2007,9075.386657529969
11/2007,8065.040755854029
12/2007,7619.05014108439
01/2008,6935.6527056309915
02/2008,6903.309348729123
03/2008,6458.497035167548
04/2008,6765.421532268196
05/2008,6802.055568592733
06/2008,5768.239826909878
07/2008,6015.837260059765
08/2008,6157.368235906981
09/2008,5750.768548292702
10/2008,4488.219915623275
11/2008,3323.041635243066
12/2008,2865.727301947244
01/2009,2552.1991475151494
02/2009,2092.0480405880735
03/2009,2439.099186397473
04/2009,3190.3505817355126
05/2009,3522.727352091252
06/2009,3582.1294222363717
07/2009,4017.863714588047
08/2009,4196.430049040812
09/2009,4480.987986141706
10/2009,4124.784065267664
11/2009,4157.854444991984
12/2009,4442.289817958251
01/2010,4694.3928394836075
02/2010,4913.204015064552
03/2010,5419.04586904714
04/2010,5652.232517498205
05/2010,5313.798581156351
06/2010,4986.521303000234
07/2010,5224.015736605822
08/2010,5078.749912693126
09/2010,5357.451090992923
10/2010,5633.217783059931
11/2010,5875.080387141696
12/2010,6252.5644582339955
01/2011,6161.634867003509
02/2011,6526.723694853155
03/2011,6226.589642320053
04/2011,6224.516056385379
05/2011,6158.06982372408
06/2011,5913.742425245099
07/2011,5682.603966833462
08/2011,4992.465832592688
09/2011,4608.084193378355
10/2011,5121.012860914001
11/2011,5122.585475608501
12/2011,5200.118854335985
01/2012,5571.602440964063
02/2012,5726.735347465151
03/2012,5888.083353494836
04/2012,5846.257147099517
05/2012,5708.470379917902
06/2012,6075.603302661249
07/2012,6316.077173756192
08/2012,6339.171925042481
09/2012,6406.139120594585
10/2012,6455.112268519838
11/2012,6478.762277079007
12/2012,6648.845100673062
01/2013,7030.864732494156
02/2013,7535.089729565018
03/2013,7764.931447446654
04/2013,7959.26764981297
05/2013,7778.869040800143
06/2013,7638.346673863868
07/2013,7964.608439596299
08/2013,7798.312488058013
09/2013,8326.262960006381
10/2013,8325.281408792578
11/2013,8591.894309533185
12/2013,8662.954738766623
01/2014,8692.845001717626
02/2014,8876.152671297676
03/2014,8764.455689578079
04/2014,8517.60993103681
05/2014,8810.092892609357
06/2014,9093.14614237992
07/2014,8923.291376120918
08/2014,9269.355738724405
09/2014,9174.501565208364
10/2014,9286.689860050637
11/2014,9636.73786442215
12/2014,9753.534948041051
01/2015,10453.220400219812
02/2015,11090.451617575281
03/2015,11494.810406074614
04/2015,11365.716820848611
05/2015,11713.296803709685
06/2015,11202.64075058079
07/2015,11592.61741215112
08/2015,10677.637163914293
09/2015,10043.721059187867
10/2015,10843.39982424054
11/2015,11431.753250706784
12/2015,10617.222702107501
01/2016,9761.386823382196
02/2016,9814.564057487292
03/2016,10344.490022716958
04/2016,10443.201951999436
05/2016,10782.872672519405
06/2016,10465.678626957915
07/2016,11177.636937353514
08/2016,11365.237887957666
09/2016,11411.613804725319
10/2016,11463.14636279766
11/2016,12199.443367895952
12/2016,12560.521900052176
01/2017,12775.78216487298
02/2017,13297.860735000128
03/2017,13366.788273915236
04/2017,13672.224803229534
05/2017,13495.40016019731
06/2017,13545.389916688388
07/2017,13559.142177905072
08/2017,13217.351157248568
09/2017,13790.041060265536
10/2017,13940.559326287987
11/2017,13721.690131462843
12/2017,13817.731079935655
01/2018,13966.390331787406
02/2018,13416.687748053026
03/2018,13001.060482473511
04/2018,13463.443723424003
05/2018,14040.919896751555
06/2018,14138.376984976294
07/2018,14731.99434311158
08/2018,14778.915356060545
09/2018,15050.895913663237
10/2018,14071.247133197483
11/2018,13904.41308558527
12/2018,12535.643085315114
01/2019,13924.894028122637
02/2019,14556.575572856516
03/2019,14858.334550247606
04/2019,15795.563896235997
05/2019,15285.968860001978
06/2019,16134.735272255342
07/2019,16674.468684872263
08/2019,16832.736958032037
09/2019,17557.248072860326
10/2019,17490.33219743917
11/2019,18423.442471086837
12/2019,18589.0097490158
01/2020,19361.357876500406
02/2020,17499.04340827877
03/2020,12512.220805361203
04/2020,14397.302150668875
05/2020,15207.085249980877
06/2020,15580.771678820265
07/2020,15119.866653402187
08/2020,15614.066298327232
09/2020,15310.323389136198
10/2020,14715.761066254916
11/2020,17232.58810151609
12/2020,17908.646601952605
01/2021,17925.354174493554
02/2021,19168.189898836565
03/2021,20774.65907763134
04/2021,22126.125268676187
05/2021,22547.564419167313
06/2021,23214.84894725455
07/2021,24586.52154904481
08/2021,25160.57556119087
09/2021,24796.13388582246
10/2021,27110.37008025078
11/2021,26709.407293070122
12/2021,27594.68065561921
01/2022,26333.757837964997
02/2022,25153.625925371354
03/2022,25445.24109084404
04/2022,23962.953250405753
05/2022,23816.656059766912
06/2022,21440.812645129703
07/2022,24518.536031603016
08/2022,23520.393161844513
09/2022,20489.46749551367
10/2022,21997.575965004507
11/2022,23020.521374957392
12/2022,20915.227490425892
01/2023,22982.98887619105
02/2023,23313.490550278864
03/2023,21609.396185189275
04/2023,21852.986120544138
05/2023,22188.4035272777
06/2023,23262.100670235912
07/2023,24352.28305065689
08/2023,24541.16474838856
09/2023,24957.16037794248
10/2023,23123.85196129825
11/2023,26352.96777680117
12/2023,28250.77687774475
01/2024,29026.35675017613
02/2024,30011.959444566382
03/2024,30930.349381345663
04/2024,30377.291055603127
