Data,IE00B1XNHC34
02/2007,10000
03/2007,10519.712103872092
04/2007,11132.05883537968
05/2007,11678.155380641017
06/2007,12071.984104917528
07/2007,12102.201417684484
08/2007,11849.155171518516
09/2007,12366.231773423258
10/2007,14018.679930810154
11/2007,13502.754011057616
12/2007,14558.181446800056
01/2008,11088.45847959535
02/2008,10884.543225351825
03/2008,10669.543515155288
04/2008,11935.441110613416
05/2008,12402.692702974495
06/2008,11429.658120638856
07/2008,11258.263928229659
08/2008,12199.236638217544
09/2008,9069.571074131905
10/2008,6102.100945944116
11/2008,5316.232472231496
12/2008,5309.052116671712
01/2009,5227.632431465431
02/2009,4241.042563235555
03/2009,4626.837052070522
04/2009,5526.29253088137
05/2009,5941.641723381964
06/2009,5684.6169162655215
07/2009,5801.356435498833
08/2009,5233.938145556206
09/2009,5601.90333482371
10/2009,4925.152324783747
11/2009,5009.827904790061
12/2009,5470.026120795829
01/2010,4958.151825165415
02/2010,4697.34292105479
03/2010,4982.348359595774
04/2010,4951.594343072486
05/2010,4370.827001219308
06/2010,4262.473464683133
07/2010,4441.9216721687835
08/2010,4382.583051208721
09/2010,4511.902218028065
10/2010,4363.392404430946
11/2010,4061.2078395841404
12/2010,4239.721192871599
01/2011,4307.917128333085
02/2011,4424.667524539639
03/2011,4712.945500421038
04/2011,4409.316310826009
05/2011,4188.590415842884
06/2011,4021.7225237472367
07/2011,3687.2240175147417
08/2011,3281.7499107441568
09/2011,2463.81570786308
10/2011,2498.937594275663
11/2011,2432.6011569326115
12/2011,2414.5977934899047
01/2012,2558.1295799571185
02/2012,2558.2800128410163
03/2012,2447.879573090291
04/2012,2306.1139722314583
05/2012,2037.2714406006294
06/2012,2086.4451213616335
07/2012,1876.3606593424652
08/2012,1923.0082615627628
09/2012,1915.7120249696716
10/2012,1806.4846901490798
11/2012,1843.2564630203342
12/2012,1972.2980616422635
01/2013,1963.7620076960268
02/2013,2020.134611827168
03/2013,2102.0742231377853
04/2013,2344.461106960409
05/2013,2512.269211826295
06/2013,2437.712066512145
07/2013,2568.512079522747
08/2013,2471.596002316634
09/2013,2759.9979738219863
10/2013,2820.7285469526064
11/2013,2826.7473963547136
12/2013,2782.859505245348
01/2014,2853.2467193344346
02/2014,3007.9732745111455
03/2014,2986.1111636618302
04/2014,2826.797542465447
05/2014,2999.7732813509733
06/2014,3200.3027870059086
07/2014,3103.617042212124
08/2014,3297.8698587456774
09/2014,3171.8838163142436
10/2014,3070.4864407163127
11/2014,3030.966330005721
12/2014,2995.2037628236144
01/2015,3293.199205883411
02/2015,3618.0677759640203
03/2015,4092.4627253194453
04/2015,4135.0754784048995
05/2015,4097.942392854483
06/2015,3783.7049078588784
07/2015,3602.0330592294367
08/2015,3159.880749720232
09/2015,3019.7501833008632
10/2015,3331.008114867401
11/2015,3301.914324476222
12/2015,3380.098866692607
01/2016,2966.3646431185653
02/2016,2903.4739295428762
03/2016,3052.2910104342523
04/2016,3026.983521848008
05/2016,2915.4361617425043
06/2016,2991.1917650217606
07/2016,3094.3643863599445
08/2016,3125.1114322526932
09/2016,3075.501173296233
10/2016,3042.847161492833
11/2016,2839.8548903404876
12/2016,2878.9950062543867
01/2017,2941.4817438583555
02/2017,3118.0767044485383
03/2017,3056.6450508540406
04/2017,2968.6878591437076
05/2017,2949.9450032147533
06/2017,2906.95384283779
07/2017,2983.0258633052604
08/2017,2976.559543525743
09/2017,2939.0127664551524
10/2017,3104.2759456979156
11/2017,2918.391214774177
12/2017,3041.785656649747
01/2018,3014.398258119636
02/2018,3004.25783542723
03/2018,3008.897899909707
04/2018,3200.862095441256
05/2018,3244.9130713791205
06/2018,2971.668083936471
07/2018,3074.1076808968655
08/2018,2962.3672611216252
09/2018,2939.6811070093495
10/2018,2841.9776502156515
11/2018,3125.07018442729
12/2018,2899.1460061143944
01/2019,3307.8576790340817
02/2019,3419.40757954953
03/2019,3487.002341574777
04/2019,3629.926052304183
05/2019,3602.494815874503
06/2019,3777.85606456026
07/2019,3886.0247743029613
08/2019,4004.9196040185257
09/2019,4049.2754392911975
10/2019,3879.5483179208404
11/2019,4057.63281717493
12/2019,4260.1608797298595
01/2020,4486.160023267819
02/2020,4621.3405289453385
03/2020,3581.1275966840635
04/2020,4033.0902760074605
05/2020,4352.434880191688
06/2020,4557.001913065418
07/2020,4984.373990830456
08/2020,5886.215224129876
09/2020,6463.1640136306305
10/2020,6839.961631334677
11/2020,8051.333721183062
12/2020,9383.27238714969
01/2021,10082.371972730783
02/2021,8738.72222007801
03/2021,8419.191056672522
04/2021,7875.884049997929
05/2021,7679.890033926921
06/2021,8119.775130135001
07/2021,7867.9889920272735
08/2021,8127.901299675404
09/2021,7717.989972619738
10/2021,8934.365139427253
11/2021,8497.875316784444
12/2021,7757.66825091831
01/2022,6914.522415614013
02/2022,7692.3202831176195
03/2022,8057.614918912396
04/2022,7470.34766296546
05/2022,7731.598603760337
06/2022,7617.196536513044
07/2022,9117.302838862326
08/2022,9287.967841634107
09/2022,8218.484286404593
10/2022,7940.562255534088
11/2022,8420.26165823717
12/2022,7795.40763712212
01/2023,7978.917240339984
02/2023,7573.30981696644
03/2023,7593.330853230706
04/2023,7111.985947227245
05/2023,7163.573389193352
06/2023,7093.117862637956
07/2023,6965.420321896319
08/2023,6210.479250866462
09/2023,5804.10521576595
10/2023,5130.594496470297
11/2023,5452.09234018258
12/2023,5971.597009923426
01/2024,5424.531799087916
02/2024,5423.198408097602
03/2024,5457.171891757484
04/2024,5227.777819825871
