Data,IE00B3B8PX14
08/2008,10000
09/2008,9494.980109905782
10/2008,8378.365890474397
11/2008,8310.250094757746
12/2008,8924.098871813807
01/2009,8720.280498047287
02/2009,8404.099940789283
03/2009,8897.289480756805
04/2009,8939.881481171675
05/2009,9436.878435676213
06/2009,9518.885049993974
07/2009,9677.842298395102
08/2009,9826.8762041035
09/2009,9993.830500407208
10/2009,10160.779476513335
11/2009,10431.479593655082
12/2009,10077.96364026186
01/2010,10034.5458369996
02/2010,9825.515710105194
03/2010,9911.550987823035
04/2010,9997.829776283837
05/2010,9663.009168935525
06/2010,9795.295975931765
07/2010,10101.398204087152
08/2010,10261.117558631655
09/2010,10563.250867905364
10/2010,10751.456319729235
11/2010,10297.869014264827
12/2010,10449.785726399681
01/2011,10510.406388448902
02/2011,10699.440563982218
03/2011,10812.287324277104
04/2011,11287.509482330372
05/2011,11238.774296918604
06/2011,11239.646573440255
07/2011,11554.7880445878
08/2011,11522.9557625178
09/2011,11247.526108499647
10/2011,11529.175435461064
11/2011,11422.37799284473
12/2011,11534.116350859156
01/2012,11822.83888894563
02/2012,11923.43833224696
03/2012,11818.29863193467
04/2012,11932.868548609635
05/2012,11801.137018114667
06/2012,11810.46060727712
07/2012,11952.38285473744
08/2012,12043.173879464262
09/2012,12065.095833530124
10/2012,12104.448549866334
11/2012,12246.102649263972
12/2012,12304.860785069792
01/2013,12313.737078553322
02/2013,12070.331101345306
03/2013,12209.041178379726
04/2013,12471.042308783339
05/2013,11865.074531684866
06/2013,11390.784914071566
07/2013,11524.375054051943
08/2013,11432.705238731067
09/2013,11768.161455146594
10/2013,11860.187766318872
11/2013,11798.689720733722
12/2013,11679.682251551916
01/2014,11806.75979022976
02/2014,11963.065660142804
03/2014,11984.643881221664
04/2014,12180.460701515207
05/2014,12325.975547866308
06/2014,12416.270615821022
07/2014,12362.089082095226
08/2014,12526.908946725018
09/2014,12096.456142566045
10/2014,12135.850176955097
11/2014,12241.763389009619
12/2014,12125.878998262466
01/2015,12240.984791812762
02/2015,12091.799772761355
03/2015,11981.09513067563
04/2015,12227.189570254295
05/2015,12015.695983109395
06/2015,11970.134104805113
07/2015,12057.73269577211
08/2015,11895.724472466443
09/2015,11807.3562873539
10/2015,11889.53920775733
11/2015,11736.177507550128
12/2015,11526.903802959663
01/2016,11631.808119339172
02/2016,11651.4744437338
03/2016,12071.378413505623
04/2016,12105.631789799238
05/2016,12031.905585455
06/2016,12269.305442011395
07/2016,12398.39173992552
08/2016,12632.306672261191
09/2016,12639.399017054086
10/2016,12234.710674648168
11/2016,11865.678229010678
12/2016,11960.953690888444
01/2017,12108.125784059863
02/2017,12104.507777027136
03/2017,12116.64005343014
04/2017,12426.040267943708
05/2017,12449.631851267055
06/2017,12337.80723324459
07/2017,12482.985189063678
08/2017,12682.434337345594
09/2017,12597.587578734763
10/2017,12594.547518386375
11/2017,12793.710371824931
12/2017,12947.068736355053
01/2018,13082.80115556958
02/2018,12846.935453635737
03/2018,13127.244443525473
04/2018,12883.61700891923
05/2018,12726.613710014573
06/2018,12715.478279079147
07/2018,12669.196902854877
08/2018,12606.50124728987
09/2018,12498.124941362674
10/2018,12348.397830890552
11/2018,12246.476103971032
12/2018,12388.817199251851
01/2019,12651.933355140298
02/2019,12602.87304296997
03/2019,12867.783947766424
04/2019,12830.366529479565
05/2019,12966.96647643915
06/2019,13153.47095831114
07/2019,13173.1598257292
08/2019,13487.05519231309
09/2019,13378.087006470701
10/2019,13407.052579608842
11/2019,13288.75529348314
12/2019,13372.078192508878
01/2020,13674.467035768725
02/2020,13655.737502601083
03/2020,13042.650418797546
04/2020,13520.277117511892
05/2020,13700.832916000392
06/2020,13881.90137430379
07/2020,14547.935113821988
08/2020,14538.758361574306
09/2020,14369.95631818774
10/2020,14357.278737340193
11/2020,14713.133941025426
12/2020,15011.41628006418
01/2021,14888.468151978434
02/2021,14550.210106546587
03/2021,14499.808714956542
04/2021,14713.258379208806
05/2021,15120.279112473494
06/2021,14929.101692664235
07/2021,15515.402542257967
08/2021,15441.013307567679
09/2021,15035.536057043011
10/2021,15389.651779102453
11/2021,15527.117975380223
12/2021,15441.543177456402
01/2022,15026.479452884358
02/2022,15078.05622231676
03/2022,14755.342499099044
04/2022,13926.422951634071
05/2022,13492.933482949653
06/2022,12803.209625572272
07/2022,13381.77260638754
08/2022,12623.32285168422
09/2022,11598.857976091616
10/2022,11718.082308811323
11/2022,12238.004388078578
12/2022,12035.7922545924
01/2023,12408.129292201229
02/2023,12039.69489792162
03/2023,12557.269166820919
04/2023,12524.236826381093
05/2023,12160.490138017809
06/2023,12332.075261845806
07/2023,12400.925830611544
08/2023,12189.786826792295
09/2023,11726.407473167481
10/2023,11604.221949533929
11/2023,12151.828136113852
12/2023,12663.163822638635
01/2024,12443.596287832217
02/2024,12322.987910612123
03/2024,12458.235083115898
04/2024,12145.859049551376
