Data,IE00B3CNHG25
11/2009,10000
12/2009,9608.93282514855
01/2010,8820.836505902045
02/2010,9630.11445492052
03/2010,9880.310336575043
04/2010,11377.237683445665
05/2010,12134.655620526706
06/2010,12688.32337619332
07/2010,11152.706468303717
08/2010,12782.605881554082
09/2010,12558.247839814212
10/2010,12484.676419553185
11/2010,13498.734965323993
12/2010,13639.923393031771
01/2011,11812.495066178366
02/2011,12591.1032203879
03/2011,12333.949782644237
04/2011,12333.861230807439
05/2011,11958.209342846389
06/2011,11317.995488515082
07/2011,11955.580993725322
08/2011,12874.09013771539
09/2011,12084.108004282534
10/2011,12336.32881863215
11/2011,13077.075491297295
12/2011,11532.137749876556
01/2012,12529.880955799548
02/2012,12130.939979148181
03/2012,10669.904455440363
04/2012,10025.440048524451
05/2012,9995.075348151157
06/2012,9845.432717009166
07/2012,9907.660059509948
08/2012,10437.817372698506
09/2012,11700.774653052073
10/2012,11232.18463682679
11/2012,10285.660739890265
12/2012,9535.504503310682
01/2013,8820.330780189392
02/2013,8332.047626814425
03/2013,8342.412537325501
04/2013,6550.079004666223
05/2013,6475.637383608397
06/2013,5085.664501532487
07/2013,5573.295460868872
08/2013,6047.749226798461
09/2013,5403.836358886052
10/2013,5363.8649870527615
11/2013,4659.970129607617
12/2013,4366.987971968601
01/2014,5107.91339506318
02/2014,5546.540801195009
03/2014,5143.000813118486
04/2014,5284.828265532211
05/2014,5048.553683184243
06/2014,5840.62970528525
07/2014,5908.430972052427
08/2014,6172.972182275139
09/2014,5213.991632156408
10/2014,4334.961628611768
11/2014,4611.210817977159
12/2014,4783.32213785849
01/2015,6231.679364193053
02/2015,6063.03980791641
03/2015,5498.476373313903
04/2015,5816.168611563988
05/2015,5802.629989127107
06/2015,5231.805119660321
07/2015,4239.557925451575
08/2015,4236.9565160158245
09/2015,4210.8857706908075
10/2015,4731.081295642098
11/2015,4519.628765706496
12/2015,4459.966290454377
01/2016,4779.052512413066
02/2016,6384.073889861992
03/2016,6321.658587111159
04/2016,7811.3328353327115
05/2016,7111.88396671311
06/2016,8715.790789218032
07/2016,9429.52578443706
08/2016,7880.616696704215
09/2016,8113.236065337702
10/2016,7684.362649539539
11/2016,6710.085434914817
12/2016,6928.114360389757
01/2017,7616.205876212578
02/2017,7569.786638071552
03/2017,7487.485437958718
04/2017,7280.641137995789
05/2017,7190.439654336011
06/2017,6829.645337982183
07/2017,6813.895403593823
08/2017,7250.111798760326
09/2017,6812.821117024705
10/2017,6823.267194599318
11/2017,6633.493084202024
12/2017,6928.240384735003
01/2018,6832.29922975862
02/2018,6186.335262345277
03/2018,6285.864960804692
04/2018,6473.422344489167
05/2018,6652.088588961899
06/2018,6620.634825587019
07/2018,6306.070367025228
08/2018,5575.456767504304
09/2018,5548.520559982208
10/2018,5916.312850437524
11/2018,6040.327870759636
12/2018,6493.431048208591
01/2019,7141.166184076469
02/2019,6976.279649144804
03/2019,7150.416972252295
04/2019,6648.522619294689
05/2019,6942.9051788668
06/2019,8188.477604064468
07/2019,8656.606191308174
08/2019,9742.501549407742
09/2019,8945.155895262153
10/2019,9167.458058499478
11/2019,8864.537352512958
12/2019,9502.76838379167
01/2020,9544.460464569873
02/2020,8696.339254854956
03/2020,7671.21246589021
04/2020,10807.809401581573
05/2020,10928.86225328126
06/2020,11592.319004479561
07/2020,13045.278175717629
08/2020,12689.67627157272
09/2020,12011.506836841954
10/2020,11545.924541923314
11/2020,10433.318755635944
12/2020,10721.476514835631
01/2021,10339.249527334081
02/2021,9399.310405071921
03/2021,10008.208933695054
04/2021,10394.1653646156
05/2021,11641.11337996412
06/2021,10342.884774912976
07/2021,10777.055345778723
08/2021,10189.07075662581
09/2021,9394.99472557301
10/2021,10187.378338361073
11/2021,10479.188553431768
12/2021,10504.254246227983
01/2022,10065.483786513594
02/2022,11236.29267713371
03/2022,12361.757353603374
04/2022,12069.899529931101
05/2022,10832.54640354925
06/2022,9567.711528768963
07/2022,9167.629417383512
08/2022,8591.92760338692
09/2022,8768.766569632236
10/2022,8714.227370834375
11/2022,9967.533710480326
12/2022,9835.606172732652
01/2023,10776.541021088953
02/2023,9422.473833249069
03/2023,10715.399395210672
04/2023,11019.580771057932
05/2023,10342.910237657836
06/2023,9903.571853716963
07/2023,10247.663535474769
08/2023,9665.78574162902
09/2023,9153.43935068336
10/2023,9619.14193625309
11/2023,10254.6487077066
12/2023,10384.62828256433
01/2024,9501.534823599568
02/2024,9027.604207222636
03/2024,10918.41881986958
04/2024,11894.392431714306
