Data,IE00B3CNHJ55
01/2005,10000
02/2005,9995.337450359266
03/2005,9924.89585117284
04/2005,9357.839567427234
05/2005,10472.967555625446
06/2005,11087.975147252342
07/2005,11785.328544848233
08/2005,11462.833290040031
09/2005,11643.454644569263
10/2005,11295.392553672827
11/2005,12095.115665942261
12/2005,12006.728483054252
01/2006,12732.320484092535
02/2006,12952.319554146421
03/2006,13318.930963099643
04/2006,12851.836785070382
05/2006,11813.2350387919
06/2006,12029.714064694626
07/2006,11584.547028182738
08/2006,11845.226119052393
09/2006,12119.59750064273
10/2006,12776.52469726455
11/2006,12607.155797435555
12/2006,12673.459233896805
01/2007,13095.649243075928
02/2007,12734.087705112635
03/2007,12762.232537840804
04/2007,12712.630261604363
05/2007,13378.03326272303
06/2007,13126.554291536271
07/2007,12043.629291793206
08/2007,12313.888419178898
09/2007,12101.92143949183
10/2007,12213.655217115536
11/2007,11090.908090590265
12/2007,11109.945972274425
01/2008,10244.411551569032
02/2008,9667.671120814202
03/2008,9308.530275027397
04/2008,9864.541889359409
05/2008,10335.278878406656
06/2008,9380.794371509643
07/2008,9819.76679074979
08/2008,10775.896356712521
09/2008,10212.764602951735
10/2008,9064.575646852338
11/2008,8007.796245171893
12/2008,7745.110468740264
01/2009,7472.149813925432
02/2009,6650.600126236679
03/2009,6880.332792599913
04/2009,7961.078618076784
05/2009,7719.355962640362
06/2009,7809.89280122501
07/2009,8556.71621834169
08/2009,8716.224285450395
09/2009,8982.10731086366
10/2009,8280.083929167628
11/2009,8410.127372872223
12/2009,9473.133475024908
01/2010,9408.326623092717
02/2010,10115.525548050027
03/2010,11008.871996221227
04/2010,11771.051830725495
05/2010,11764.737096817707
06/2010,10880.468978120642
07/2010,10948.425027021067
08/2010,10411.951198475432
09/2010,10874.846548937052
10/2010,11145.04965265315
11/2010,12289.391674344904
12/2010,12899.292986911689
01/2011,12551.12387139879
02/2011,13098.842255203794
03/2011,13080.580910547871
04/2011,12831.097585659849
05/2011,13001.464555160099
06/2011,12637.069553201945
07/2011,12340.413347316562
08/2011,11113.99650019959
09/2011,10556.003001441322
10/2011,11717.485664445927
11/2011,12177.637467935949
12/2011,12707.303791994698
01/2012,13355.604204722746
02/2012,13398.61457639766
03/2012,13826.407658796375
04/2012,13753.933915668487
05/2012,13678.215745564657
06/2012,14142.326601750738
07/2012,14289.012715205758
08/2012,14377.286502842164
09/2012,14477.663733212808
10/2012,14089.471352965054
11/2012,14166.68156982615
12/2012,14434.768831177715
01/2013,14929.886329449
02/2013,15573.008827559674
03/2013,16698.46562037124
04/2013,16291.027583004512
05/2013,17022.01468851817
06/2013,16832.73844400234
07/2013,17739.87551375304
08/2013,17221.676424760128
09/2013,17947.74803139404
10/2013,18208.89548814206
11/2013,18973.332797292194
12/2013,19087.10320944764
01/2014,18929.21477073188
02/2014,19387.71364928676
03/2014,19283.206901826004
04/2014,18445.183545281623
05/2014,18918.107087432178
06/2014,19843.188483804803
07/2014,19023.412946985616
08/2014,20248.740960554846
09/2014,19930.89070342852
10/2014,21337.32871772454
11/2014,21418.59625754407
12/2014,22641.530262735316
01/2015,23525.227721869778
02/2015,25057.131907847866
03/2015,26624.002139410317
04/2015,24880.110283972557
05/2015,26007.146271999376
06/2015,25679.30306943518
07/2015,25885.005442377853
08/2015,23712.230915311473
09/2015,22564.097283389685
10/2015,24229.314156660355
11/2015,26044.17136336532
12/2015,24026.919700561593
01/2016,21838.89079559762
02/2016,21893.906347073942
03/2016,22601.04949693605
04/2016,22911.0533018549
05/2016,23941.512095678227
06/2016,24029.509596070653
07/2016,25430.014499598194
08/2016,25826.016815979085
09/2016,26036.13698273608
10/2016,25275.703191098946
11/2016,28906.335092502806
12/2016,29970.43478154369
01/2017,29478.715888414103
02/2017,30484.572167595798
03/2017,30244.648629472267
04/2017,29896.38845943847
05/2017,28517.418338809217
06/2017,28998.733040945277
07/2017,28418.581726879755
08/2017,27813.859781830975
09/2017,29586.820276852857
10/2017,30258.671998599526
11/2017,30565.004222098363
12/2017,30064.6656000406
01/2018,29689.9901084804
02/2018,29097.026660831914
03/2018,29206.49010560144
04/2018,30038.242770818033
05/2018,32885.22535116997
06/2018,33225.02177788543
07/2018,33566.95491389168
08/2018,35256.881476155104
09/2018,34618.58597777952
10/2018,31548.891430965803
11/2018,31922.84242580284
12/2018,27895.311634507423
01/2019,30920.379064789588
02/2019,32721.41759892751
03/2019,32540.432375466113
04/2019,33684.63637219242
05/2019,31238.91057124584
06/2019,32762.027727732187
07/2019,33615.046886948
08/2019,32275.713414066155
09/2019,33379.93860542592
10/2019,33432.58971042756
11/2019,35341.47387439651
12/2019,35531.639754998716
01/2020,34945.116730112866
02/2020,32208.918982055
03/2020,25247.29808080479
04/2020,28916.87368143186
05/2020,30068.710322164603
06/2020,30947.921805942635
07/2020,30048.05712512862
08/2020,31485.228645429233
09/2020,31024.766716292932
10/2020,31689.988069934137
11/2020,36635.89825977625
12/2020,38847.229022571875
01/2021,41241.4214733536
02/2021,43850.551556321676
03/2021,45770.41240527632
04/2021,45333.54940449829
05/2021,44966.94811350111
06/2021,47044.008302629205
07/2021,45300.973429457794
08/2021,46520.371466717384
09/2021,46125.57399465823
10/2021,47797.885033687926
11/2021,46925.023683296786
12/2021,48112.3753407499
01/2022,44124.95130040541
02/2022,44408.20595058789
03/2022,45341.17779929767
04/2022,43004.5810071179
05/2022,42357.92951255165
06/2022,40078.48267804002
07/2022,45068.08415634495
08/2022,45003.05361355165
09/2022,41725.18808567098
10/2022,45527.46591265717
11/2022,44499.314821140266
12/2022,40463.140839254884
01/2023,43707.17980275239
02/2023,43818.47051530218
