Data,IE00B3DWVS88
12/1987,10000
01/1988,11098.054957005563
02/1988,11456.114613669139
03/1988,12512.81816788997
04/1988,13100.194692056912
05/1988,13623.5360040643
06/1988,14607.518657353989
07/1988,14951.135101648882
08/1988,14874.29815199393
09/1988,15720.511437143805
10/1988,15229.784832246318
11/1988,14561.19423516001
12/1988,14961.019783118
01/1989,15354.955119275797
02/1989,16731.64655715121
03/1989,18518.11775875589
04/1989,22151.0317358748
05/1989,23409.140971530724
06/1989,20934.474947796465
07/1989,21334.052186769946
08/1989,22162.309816362475
09/1989,25333.488311321693
10/1989,24715.67512569723
11/1989,23220.777064127844
12/1989,24978.029228126612
01/1990,25038.54358168754
02/1990,25670.613514656165
03/1990,22580.627428427055
04/1990,23894.71859180145
05/1990,25430.068884302862
06/1990,26480.963848075648
07/1990,27940.027511383763
08/1990,23296.453247755508
09/1990,20349.904071973153
10/1990,19381.99898731769
11/1990,18002.63978791461
12/1990,18981.057791031046
01/1991,20562.067817086358
02/1991,23206.603999683757
03/1991,26291.764590194176
04/1991,27978.668688684676
05/1991,30570.867732326755
06/1991,30571.016921275794
07/1991,32190.47704607832
08/1991,32137.809774099536
09/1991,30045.456456553704
10/1991,31222.96733318103
11/1991,29601.03498332508
12/1991,31874.193909227244
01/1992,35807.03136545854
02/1992,38214.91083825634
03/1992,40554.85166805851
04/1992,39900.138692780645
05/1992,38987.4638101387
06/1992,34105.471346521925
07/1992,32828.02535425868
08/1992,30500.16844241751
09/1992,31304.595904357167
10/1992,34343.29128371191
11/1992,36190.71775883831
12/1992,37221.721279865444
01/1993,38123.18253772045
02/1993,39719.04945970662
03/1993,41224.951141992555
04/1993,40728.12187858347
05/1993,41956.265576157726
06/1993,44450.951166987754
07/1993,47549.399872504524
08/1993,51946.905546182556
09/1993,51693.491534149696
10/1993,56980.37835373341
11/1993,61086.16408620214
12/1993,71137.1622978186
01/1994,73396.37049081961
02/1994,71795.64528597804
03/1994,63931.537036049296
04/1994,62818.95593974545
05/1994,63557.38445038911
06/1994,60786.518834575705
07/1994,62561.52483660969
08/1994,70391.89759201914
09/1994,70411.97082775338
10/1994,67803.44630306962
11/1994,65217.474164288
12/1994,61190.3781746022
01/1995,53547.87552844995
02/1995,51590.48685686629
03/1995,49888.394258508524
04/1995,51117.10546140373
05/1995,54655.95185603324
06/1995,54347.039114384235
07/1995,54908.13277674075
08/1995,55224.80341440632
09/1995,55654.50303447713
10/1995,52677.95300932696
11/1995,51837.60899011791
12/1995,54981.54357964993
01/1996,59591.41756017501
02/1996,58966.5202606913
03/1996,59373.62816757799
04/1996,62259.674798587956
05/1996,62718.49831907947
06/1996,62605.5583497785
07/1996,57425.46739696348
08/1996,58347.558393167616
09/1996,59349.012251984794
10/1996,57931.5354736052
11/1996,58132.23050148709
12/1996,59673.561583280396
01/1997,65463.22935332774
02/1997,71225.15890274936
03/1997,70142.05115260898
04/1997,70631.2908944335
05/1997,72413.2633733536
06/1997,77128.20589762705
07/1997,80438.92189724454
08/1997,72186.11354900006
09/1997,72223.11361876372
10/1997,59258.94069328621
11/1997,55907.365575507545
12/1997,58785.88890309107
01/1998,55407.18601950217
02/1998,61042.14189233334
03/1998,63911.11376855352
04/1998,62771.35646187584
05/1998,53328.91884113741
06/1998,48068.69314101154
07/1998,49698.48556960176
08/1998,35172.59905582896
09/1998,35650.297077569354
10/1998,37940.06659231708
11/1998,42275.44465705637
12/1998,41386.761862810956
01/1999,42039.61317442294
02/1999,43848.4467288318
03/1999,50891.751328883984
04/1999,57958.33788442005
05/1999,58384.185969040154
06/1999,65801.90736329547
07/1999,61807.58456358814
