Data,IE00B3F81K65
01/1985,10000
02/1985,10266.756285620928
03/1985,9854.819791422397
04/1985,10057.490379830937
05/1985,10288.3825015422
06/1985,10335.470100456861
07/1985,9877.523404803987
08/1985,10025.426287000671
09/1985,10001.139543190548
10/1985,9910.07822530001
11/1985,9890.436437115268
12/1985,9936.153088840563
01/1986,9912.664123736244
02/1986,9903.856965334166
03/1986,10743.773152198923
04/1986,10425.362410471846
05/1986,10628.953357613247
06/1986,10581.00451777807
07/1986,10493.382245346393
08/1986,10498.486344335508
09/1986,10291.721635521366
10/1986,10407.863769612788
11/1986,10165.844166029547
12/1986,10081.232234579371
01/1987,9953.8260622258
02/1987,10067.145977009097
03/1987,10132.513354307599
04/1987,10149.009341708308
05/1987,10243.60631397517
06/1987,10166.563399317754
07/1987,10135.63285339301
08/1987,10041.952040615659
09/1987,9904.97790645402
10/1987,9981.574452210249
11/1987,9774.296595593883
12/1987,9778.198035494897
01/1988,10401.58600745027
02/1988,10529.59065338343
03/1988,10459.326387288664
04/1988,10511.09771721755
05/1988,10726.98395768022
06/1988,11055.699657800693
07/1988,11310.612591181613
08/1988,11203.109973118679
09/1988,11460.674489534602
10/1988,11465.813003245064
11/1988,11260.641770773333
12/1988,11401.490833149159
01/1989,11863.911376584943
02/1989,11600.368031816906
03/1989,11849.978831646491
04/1989,11931.750201690476
05/1989,12323.342494117278
06/1989,12452.777192985683
07/1989,12388.189211487326
08/1989,12616.888522532165
09/1989,12319.105095759955
10/1989,12262.748508515291
11/1989,12057.906961448392
12/1989,11653.788992862468
01/1990,11338.691818665478
02/1990,11265.45892899539
03/1990,11098.14425634352
04/1990,10971.71311108774
05/1990,11414.472804679077
06/1990,11342.543191465189
07/1990,11140.0107275692
08/1990,10926.787534786914
09/1990,11064.354889167314
10/1990,11102.07882757647
11/1990,11274.452791363463
12/1990,11330.073607410503
01/1991,11447.649034304532
02/1991,11829.593290078703
03/1991,12744.020522751367
04/1991,12984.186760107988
05/1991,13218.98479233473
06/1991,13580.034773345069
07/1991,13386.82258065157
08/1991,13674.392913794063
09/1991,13568.04761262096
10/1991,13784.169939998055
11/1991,13665.32828341859
12/1991,13501.31895172324
01/1992,13938.1073886672
02/1992,14115.454047906076
03/1992,14020.07754996919
04/1992,14087.932156815492
05/1992,14143.652479230992
06/1992,13827.735609122787
07/1992,13757.315498333874
08/1992,13546.124764287002
09/1992,14089.316601610666
10/1992,14932.831823438
11/1992,15258.297348310072
12/1992,15677.958313143132
01/1993,15876.521261007825
02/1993,16718.900261317875
03/1993,16534.479213546176
04/1993,16493.543652909328
05/1993,16701.801185889304
06/1993,17959.261096174632
07/1993,19030.969847497836
08/1993,18744.722028175627
09/1993,18493.95559198588
10/1993,18852.82323005209
11/1993,19078.148826650155
12/1993,19285.77328727664
01/1994,19407.732086391992
02/1994,18961.640195409465
03/1994,18545.809048789855
04/1994,18398.493320367546
05/1994,18140.021365856872
06/1994,17913.918958994378
07/1994,17995.320296670587
08/1994,17869.917821734598
09/1994,17654.624987918898
10/1994,17432.06154271704
11/1994,17909.439856076526
12/1994,17779.76232585391
01/1995,17861.024220819334
02/1995,17951.558473487265
03/1995,18110.156457878882
04/1995,18537.052046238685
05/1995,19385.60162674274
06/1995,19143.19542138607
07/1995,18900.473946895316
08/1995,19213.24505920516
09/1995,19212.82380022122
10/1995,19311.399002993687
11/1995,19920.210470855996
12/1995,20003.35645192894
01/1996,20523.43196795208
02/1996,20003.035469412578
03/1996,19958.588316533987
04/1996,20397.392493024796
05/1996,20265.910616678844
06/1996,20226.90694750965
07/1996,20059.847358931136
08/1996,20128.81172610466
09/1996,20643.447380130012
10/1996,20725.096021548634
11/1996,21217.33358587627
12/1996,21090.28469906488
01/1997,21837.98752076152
02/1997,22323.40245886856
03/1997,21821.869073475595
04/1997,22395.795970948497
05/1997,22755.048941780344
06/1997,23363.359792640436
07/1997,24453.676468765567
08/1997,23968.9043797246
09/1997,24036.774312685327
10/1997,23797.025195764596
11/1997,23871.110807726982
12/1997,24320.166942599222
01/1998,25055.111992204555
02/1998,25019.434781623135
03/1998,25084.925259494732
04/1998,24822.582733881216
05/1998,24747.68476141447
06/1998,24981.89042120294
07/1998,24692.01194241992
08/1998,25192.565413388056
09/1998,25113.58289653649
10/1998,25706.473265393044
11/1998,25910.882895441675
12/1998,26112.58560960692
01/1999,26753.91692466267
02/1999,26856.88489964542
03/1999,27421.118078924548
04/1999,27999.392516314016
05/1999,27954.50261319777
