Data,IE00B3FH7618
03/2009,10000
04/2009,10006.25710325373
05/2009,10017.630762969511
06/2009,10028.644957877517
07/2009,10044.706157006478
08/2009,10053.525908320456
09/2009,10057.347783323945
10/2009,10060.666191503758
11/2009,10065.953579518991
12/2009,10069.663150606773
01/2010,10075.12840794651
02/2010,10088.605767678197
03/2010,10092.381435994947
04/2010,10074.720496064912
05/2010,10103.238347125367
06/2010,10099.972968150616
07/2010,10107.965218364308
08/2010,10118.726106867598
09/2010,10115.690272879709
10/2010,10122.657774890384
11/2010,10111.247096457135
12/2010,10131.614849439706
01/2011,10144.6370009131
02/2011,10156.141268503678
03/2011,10159.918522796725
04/2011,10164.053047393194
05/2011,10182.801904115297
06/2011,10188.637799209351
07/2011,10196.423033861807
08/2011,10238.592239108057
09/2011,10250.85591549382
10/2011,10252.986312647168
11/2011,10248.604565031204
12/2011,10313.743792377001
01/2012,10335.500944851017
02/2012,10355.445413800273
03/2012,10355.999810776093
04/2012,10355.822074256377
05/2012,10345.441297107147
06/2012,10354.373966319068
07/2012,10376.022877424137
08/2012,10395.925114927315
09/2012,10403.082058651673
10/2012,10412.270770484098
11/2012,10420.645347648424
12/2012,10426.238880433795
01/2013,10433.840001635042
02/2013,10439.724186534477
03/2013,10445.333848389299
04/2013,10451.71597270645
05/2013,10451.178491089913
06/2013,10449.580478715601
07/2013,10456.050552348237
08/2013,10458.655374639506
09/2013,10463.585109744548
10/2013,10470.710022941616
11/2013,10473.562611184781
12/2013,10472.645642608311
01/2014,10479.783605485929
02/2014,10482.370391150806
03/2014,10484.354280848238
04/2014,10484.750880228747
05/2014,10492.523450599045
06/2014,10500.178747902333
07/2014,9967.88394292318
08/2014,9971.812878227694
09/2014,9972.732676132728
10/2014,10412.06106178326
11/2014,10414.87724012598
12/2014,10416.905384866504
01/2015,10419.601514262806
02/2015,10421.441780109397
03/2015,10422.972671170497
04/2015,10419.84238211929
05/2015,10420.692585003559
06/2015,10417.844844600213
07/2015,10417.487222936832
08/2015,10416.648456320834
09/2015,10415.518433482293
10/2015,10415.633846385217
11/2015,10417.40565569169
12/2015,10413.218463185776
01/2016,10413.446805494536
02/2016,10411.17137072636
03/2016,10406.610761105203
04/2016,10407.154692965427
05/2016,10405.936125267366
06/2016,10402.34749590194
07/2016,10400.512004927627
08/2016,10397.186555262717
09/2016,10393.744316820554
10/2016,10391.658185295584
11/2016,10388.63037206717
12/2016,10386.355271711918
01/2017,10375.787156457913
02/2017,10374.933583244278
03/2017,10365.83338601052
04/2017,10362.78831983182
05/2017,10359.328159115288
06/2017,10351.494901660533
07/2017,10349.320259808368
08/2017,10343.150889425038
09/2017,10339.277918180427
10/2017,10336.5915757118
11/2017,10330.309159712737
12/2017,10325.535347460096
01/2018,10318.369202872414
02/2018,10315.135272289188
03/2018,10308.340314385872
04/2018,10303.53491426316
05/2018,10284.296079264956
06/2018,10292.913394800318
07/2018,10289.58814402619
08/2018,10280.802888758111
09/2018,10279.916635093146
10/2018,10280.9874010217
11/2018,10277.140765751074
12/2018,10275.795280783386
01/2019,10270.49940332715
02/2019,10266.171594182637
03/2019,10266.155234644177
04/2019,10261.70344849487
05/2019,10257.887437629322
06/2019,10258.503738105095
07/2019,10257.523560784097
08/2019,10255.281432674634
09/2019,10248.006973637812
10/2019,10241.488792820976
11/2019,10236.544138258287
12/2019,10233.803800604877
01/2020,10228.343958175394
02/2020,10224.842321041418
03/2020,10213.981494555841
04/2020,10208.467961427274
05/2020,10211.169187418964
06/2020,10212.902292005614
07/2020,10208.890998374192
08/2020,10205.709871173302
09/2020,10202.925395052926
10/2020,10202.089675448553
11/2020,10197.634304849196
12/2020,10192.31718967463
01/2021,10185.110878669684
02/2021,10178.955895700248
03/2021,10171.642781804003
04/2021,10169.160183360691
05/2021,10166.749638464855
06/2021,10161.805644626322
07/2021,10156.908039758766
08/2021,10151.833437765506
09/2021,10145.14257144493
10/2021,10139.834441586114
11/2021,10141.889754983176
12/2021,10132.214245361924
01/2022,10123.93860440815
02/2022,10120.231840934963
03/2022,10109.125240754905
04/2022,10099.339157440316
05/2022,10091.27960323928
06/2022,10079.722220845937
07/2022,10078.885275012992
08/2022,10065.691255372232
09/2022,10036.455130246948
10/2022,10039.590288281493
11/2022,10049.791503270988
12/2022,10048.98892159353
01/2023,10059.878077974558
02/2023,10064.46707272276
03/2023,10095.165719406225
04/2023,10112.934578360988
05/2023,10134.212557685863
06/2023,10144.143384116911
07/2023,10172.271913897679
08/2023,10200.731532787757
09/2023,10220.284385519974
10/2023,10251.964283744837
11/2023,10285.045841131881
12/2023,10323.395470057518
01/2024,10346.735795768911
02/2024,10366.405436240939
03/2024,10398.309771847207
04/2024,10425.510567192012
