Data,IE00B3S5XW04
04/2009,10000
05/2009,9877.952145123007
06/2009,9999.231072725623
07/2009,10173.00272190133
08/2009,10221.74912962991
09/2009,10282.298615582627
10/2009,10291.664196828504
11/2009,10358.267533735361
12/2009,10266.408828763004
01/2010,10317.970278233073
02/2010,10442.657116028047
03/2010,10503.464798267303
04/2010,10432.374944094952
05/2010,10588.804886447333
06/2010,10510.378261854923
07/2010,10603.234942959734
08/2010,10880.431665643258
09/2010,10751.304845405617
10/2010,10694.635303115552
11/2010,10421.298337400089
12/2010,10367.595244195765
01/2011,10318.954974778011
02/2011,10311.76994243404
03/2011,10246.603030918855
04/2011,10309.820980148443
05/2011,10404.379476104175
06/2011,10366.48553186624
07/2011,10375.464084355579
08/2011,10680.311252209405
09/2011,10761.076322289066
10/2011,10550.352301685618
11/2011,10293.591254055787
12/2011,10699.690153502215
01/2012,10900.3715853008
02/2012,11093.15180102135
03/2012,11096.443852816137
04/2012,11072.741402017302
05/2012,11207.245727547386
06/2012,11117.13825860929
07/2012,11297.058728863763
08/2012,11373.78857587719
09/2012,11520.675421703045
10/2012,11602.86790768802
11/2012,11770.32200192973
12/2012,11859.226872119289
01/2013,11797.795674977768
02/2013,11819.691519289634
03/2013,11896.432973941093
04/2013,12197.401229103969
05/2013,12042.785835540688
06/2013,11859.877573005893
07/2013,11945.932492722335
08/2013,11880.447415238032
09/2013,11968.890325574646
10/2013,12136.656700905161
11/2013,12176.499266968158
12/2013,12106.419812709031
01/2014,12368.683008882268
02/2014,12450.505562614258
03/2014,12563.278363396692
04/2014,12680.89759751194
05/2014,12805.973537419313
06/2014,12941.41500507401
07/2014,13057.440953652385
08/2014,13302.96744310833
09/2014,13313.472678587837
10/2014,13344.427849708134
11/2014,13527.842543925795
12/2014,13675.309520021965
01/2015,13989.959148117852
02/2015,14085.999159338546
03/2015,14257.839843258718
04/2015,14054.014413560351
05/2015,13839.542477974195
06/2015,13481.714824545114
07/2015,13791.204194442093
08/2015,13641.18962056202
09/2015,13820.882548866666
10/2015,13963.509668471632
11/2015,14022.98494838451
12/2015,13879.778762432601
01/2016,14149.685380922274
02/2016,14282.469956542242
03/2016,14348.061544833474
04/2016,14184.157958084204
05/2016,14330.661388204973
06/2016,14656.615880820364
07/2016,14774.690671618
08/2016,14726.212027295445
09/2016,14753.726154641172
10/2016,14439.369481088333
11/2016,14213.56448114001
12/2016,14306.291392941836
01/2017,14009.742961792115
02/2017,14171.812595063851
03/2017,14086.302638015213
04/2017,14157.178763443917
05/2017,14234.98303055497
06/2017,14155.679363984189
07/2017,14186.249955287574
08/2017,14304.080645692828
09/2017,14234.646400959342
10/2017,14389.395870193726
11/2017,14431.408897108206
12/2017,14309.06858671481
01/2018,14256.216104366147
02/2018,14281.128303197784
03/2018,14508.306288995012
04/2018,14451.87336144685
05/2018,14273.007769806065
06/2018,14379.190064620092
07/2018,14327.88955203959
08/2018,14243.776479784614
09/2018,14223.174047590433
10/2018,14215.648662481912
11/2018,14296.332611296702
12/2018,14427.360106647115
01/2019,14580.803674847923
02/2019,14524.521167002702
03/2019,14787.13211588772
04/2019,14779.942332894834
05/2019,14939.475437508587
06/2019,15280.693001090609
07/2019,15537.630147399725
08/2019,15918.787350626471
09/2019,15854.921266546215
10/2019,15674.625327019565
11/2019,15531.765678410913
12/2019,15381.037423112075
01/2020,15758.166190440274
02/2020,15831.856906953555
03/2020,15419.927802058943
04/2020,15494.434081573028
05/2020,15525.589118771244
06/2020,15680.22029785649
07/2020,15842.222421198718
08/2020,15716.44999164852
09/2020,15932.998242234777
10/2020,16088.218902742256
11/2020,16101.935455442439
12/2020,16124.436731627493
01/2021,16024.17545218175
02/2021,15719.223167204113
03/2021,15739.647395865097
04/2021,15569.628184589767
05/2021,15560.057060570613
06/2021,15631.573000696182
07/2021,15917.503274270503
08/2021,15822.858714772457
09/2021,15631.521685489175
10/2021,15530.367431801744
11/2021,15799.271197907063
12/2021,15543.681125869463
01/2022,15374.197428071551
02/2022,15072.971884765939
03/2022,14715.22245670929
04/2022,14153.12076286846
05/2022,13891.61167217962
06/2022,13627.87233972942
07/2022,14189.678428865562
08/2022,13451.23977479935
09/2022,12934.4805999985
10/2022,12956.456176594462
11/2022,13264.364074061818
12/2022,12654.775842947925
01/2023,12960.27274803569
02/2023,12656.224408221755
03/2023,12961.940194032542
04/2023,12947.793978108703
05/2023,13000.672723270101
06/2023,12964.000216880904
07/2023,12941.563302416547
08/2023,12980.511323081008
09/2023,12633.108638077787
10/2023,12681.853183294601
11/2023,13062.284103397242
12/2023,13537.016876265376
01/2024,13468.773255779457
02/2024,13307.630633724684
03/2024,13444.273736438332
04/2024,13252.976700351428
