Data,IE00B3SC9K16
12/1978,10000
01/1979,10606.986014100143
02/1979,10294.049263566105
03/1979,10880.158687624453
04/1979,11005.297395742486
05/1979,10915.036545038636
06/1979,11206.074362445719
07/1979,10927.08713688182
08/1979,11505.4159555848
09/1979,11364.454399982984
10/1979,10683.111757923845
11/1979,11082.31977584921
12/1979,11011.362650268977
01/1980,11560.808746083043
02/1980,11550.956805497775
03/1980,11088.699565991727
04/1980,11709.344365190289
05/1980,11742.232158615556
06/1980,11946.24131535303
07/1980,12581.79094584673
08/1980,12920.408306431027
09/1980,13214.789138176578
10/1980,13889.741469102355
11/1980,15876.437979254206
12/1980,15807.21901925981
01/1981,15266.064953290212
02/1981,16651.6025643913
03/1981,17218.511190924433
04/1981,17348.718256619955
05/1981,18356.966845167113
06/1981,19021.760218656877
07/1981,19745.633608238462
08/1981,19123.76013039414
09/1981,17397.241223198263
10/1981,17720.197887078164
11/1981,18297.52036931851
12/1981,18058.02213063142
01/1982,18126.013803020283
02/1982,17762.592094342686
03/1982,17988.546675108922
04/1982,19067.46367757591
05/1982,17805.60732321037
06/1982,18602.655242737033
07/1982,18662.57638884999
08/1982,21087.934802479132
09/1982,21567.007145308817
10/1982,24254.87831068611
11/1982,25619.83617596924
12/1982,25008.90664144771
01/1983,25827.952498117265
02/1983,26863.282207034925
03/1983,27937.153755854004
04/1983,30569.37111666955
05/1983,30288.29761088769
06/1983,32429.895315564343
07/1983,31808.546141298008
08/1983,33515.14741890255
09/1983,33976.6144079734
10/1983,33044.90954796462
11/1983,34662.90278596078
12/1983,35351.73073424676
01/1984,35747.69402142488
02/1984,33219.41994762555
03/1984,32633.504956331733
04/1984,33560.62632976316
05/1984,32861.40427488416
06/1984,33559.940119339255
07/1984,34562.626533509174
08/1984,38754.90391860998
09/1984,40655.281040176094
10/1984,41611.52827418465
11/1984,40133.02589946057
12/1984,42776.18647287704
01/1985,47346.16339136742
02/1985,49698.57589347648
03/1985,49951.712977871364
04/1985,46398.55665276119
05/1985,49621.63756109103
06/1985,49477.30486400881
07/1985,46928.1459674982
08/1985,44911.04329096508
09/1985,44200.12658645357
10/1985,43371.86603816032
11/1985,45493.610667317225
12/1985,46714.13544352678
01/1986,46039.804530460424
02/1986,47581.19045285593
03/1986,48853.63925833335
04/1986,48429.09946697854
05/1986,49930.65446523771
06/1986,50787.10730427052
07/1986,46669.119782292364
08/1986,48616.54607773197
09/1986,44136.147165144874
10/1986,46124.50624743734
11/1986,47693.53209433573
12/1986,45831.51545317335
01/1987,48804.28402090088
02/1987,49665.49955070192
03/1987,50921.662732697165
04/1987,49804.151042503196
05/1987,49479.493354152466
06/1987,52975.55787899921
07/1987,56297.25554601247
08/1987,58970.35542965106
09/1987,56208.582415477045
10/1987,43957.64091261365
11/1987,37809.72219959843
12/1987,39242.43988919564
01/1988,41353.12621634358
02/1988,44329.27207773493
03/1988,42263.97511294041
04/1988,42395.87398790939
05/1988,43179.939836835074
06/1988,46867.11860731735
07/1988,49074.238458799024
08/1988,48488.71098576044
09/1988,50190.49304173451
10/1988,50446.287210069975
11/1988,47697.83093271816
12/1988,48526.40059801806
01/1989,54284.624664592884
02/1989,53305.2250332639
03/1989,54865.69860363994
04/1989,58162.65997854679
05/1989,62996.97898689516
06/1989,63887.93939562546
07/1989,66697.70936694408
08/1989,68748.39761400461
09/1989,69648.16067367593
10/1989,65501.94971479363
11/1989,65893.42171472948
12/1989,64601.251395559564
01/1990,58635.158259457545
02/1990,58715.02024452061
03/1990,61154.201389153364
04/1990,59138.17240998838
05/1990,63547.95460396356
06/1990,63737.80314125022
07/1990,61716.67786715006
08/1990,53600.84978955874
09/1990,51197.66646194875
10/1990,49542.995788981614
11/1990,51751.375069797374
12/1990,53816.889185354376
01/1991,56522.02952926465
02/1991,59420.80149742392
03/1991,66249.91217593288
04/1991,70050.94703868905
05/1991,73933.78960521972
06/1991,73172.75032526617
07/1991,76693.97991435415
08/1991,76819.44381370349
09/1991,73426.4044605271
10/1991,74588.67541640071
11/1991,68891.70060689053
12/1991,74316.9748332738
01/1992,73586.41371340459
02/1992,76065.53813853503
03/1992,76651.90362788767
04/1992,78176.06307417508
05/1992,76987.80766834547
06/1992,73635.54117626233
07/1992,73050.80421214717
08/1992,69494.80855712801
09/1992,71866.54996699636
10/1992,75306.17148550478
11/1992,82899.7928751939
12/1992,83752.51640381539
01/1993,86131.21242869004
02/1993,89429.88822144178
03/1993,91712.45202718499
04/1993,86628.9521147509
05/1993,89055.91792012517
06/1993,91931.98112632139
07/1993,95719.9145443939
08/1993,99926.813770207
09/1993,95001.51561999563
10/1993,97799.9720249697
11/1993,99741.81010552011
12/1993,100899.47793574081
01/1994,105981.78389927703
02/1994,102603.5094924123
03/1994,96129.54105217931
04/1994,97778.03892117005
05/1994,97266.98097297833
06/1994,92998.63575185601
07/1994,93179.49494207079
08/1994,96962.75936032993
09/1994,93898.74064932669
