Data,IE00B3VSSL01
12/1999,10000
01/2000,9562.55582501076
02/2000,10480.86815526786
03/2000,11600.932697658958
04/2000,11159.572775459837
05/2000,9765.390456777319
06/2000,10422.739316214724
07/2000,10192.37550500324
08/2000,11517.196792103008
09/2000,9826.603114461834
10/2000,9788.28833318759
11/2000,7646.740913384816
12/2000,6395.209620202329
01/2001,7509.645690179792
02/2001,5724.701105109563
03/2001,5345.291182738319
04/2001,6041.198026935575
05/2001,6057.590887948072
06/2001,6046.56554173654
07/2001,5649.5725949965745
08/2001,4765.245590729406
09/2001,4159.151957231814
10/2001,4516.819968959441
11/2001,5192.025001111556
12/2001,5183.890089382735
01/2002,5245.112185839537
02/2002,4589.37266630995
03/2002,4743.343364866741
04/2002,3991.1672262584884
05/2002,3742.716437413278
06/2002,3090.822650092324
07/2002,2857.918275429906
08/2002,2805.1686847726914
09/2002,2327.373570572238
10/2002,2898.3448399163826
11/2002,3333.430278420672
12/2002,2745.5197330386854
01/2003,2587.300585089048
02/2003,2598.9177375512
03/2003,2545.5402487297447
04/2003,2719.1410941888394
05/2003,2766.5597012434473
06/2003,2880.3142461648085
07/2003,3006.02195176276
08/2003,3259.5638223852857
09/2003,3018.409553135903
10/2003,3259.080479701679
11/2003,3193.0418883881052
12/2003,3141.811898087893
01/2004,3319.12829530565
02/2004,3230.2046424662153
03/2004,3200.544031686453
04/2004,3146.8559197519016
05/2004,3184.9486503200037
06/2004,3286.1548133225583
07/2004,3128.8061859568384
08/2004,2980.9347131342065
09/2004,2984.4564722587493
10/2004,3039.075055352897
11/2004,3047.8938974384023
12/2004,3057.6340041872786
01/2005,3017.173245242853
02/2005,2970.8390280437716
03/2005,2971.15266508053
04/2005,2878.5827402989535
05/2005,3224.3005452865996
06/2005,3247.7005906743234
07/2005,3425.3156178110607
08/2005,3368.7169220122387
09/2005,3411.500010107421
10/2005,3345.5762717411535
11/2005,3627.8080580202018
12/2005,3508.3415151871172
01/2006,3528.2296845152314
02/2006,3611.518161646756
03/2006,3615.293429952354
04/2006,3442.416719593132
05/2006,3138.926467475073
06/2006,3159.3694586776082
07/2006,3076.3089754917746
08/2006,3268.352003783519
09/2006,3450.676857465508
10/2006,3581.4971044878494
11/2006,3533.0295761450784
12/2006,3531.3321738228133
