Data,IE00B3VWM098
12/2000,10000
01/2001,10521.389979913198
02/2001,10134.904873144884
03/2001,10319.962797972168
04/2001,10935.221258165993
05/2001,11759.94364535034
06/2001,12287.210459583155
07/2001,11642.84143690365
08/2001,10892.596752862333
09/2001,9451.220976962471
10/2001,10351.611031807432
11/2001,11422.907446602152
12/2001,12296.946873990928
01/2002,12267.73650368805
02/2002,11880.7459290925
03/2002,12822.150039545753
04/2002,12425.223846601375
05/2002,11360.331327794585
06/2002,10011.228891807057
07/2002,8802.482779188851
08/2002,8781.259570996714
09/2002,8104.506503816263
10/2002,8372.425765357795
11/2002,9028.690806782924
12/2002,7917.152395604206
01/2003,7483.82061295906
02/2003,7295.897273830731
03/2003,7317.611919188662
04/2003,7980.182515381292
05/2003,8412.12192563706
06/2003,8816.975677539216
07/2003,9344.739114030168
08/2003,10253.207076315914
09/2003,9429.598124232432
10/2003,10368.650032446143
11/2003,10401.328966425148
12/2003,10087.872508691898
01/2004,10727.305626286521
02/2004,10803.306146399482
03/2004,11149.153732816298
04/2004,10758.649379354698
05/2004,10764.717601203982
06/2004,11206.522140969437
07/2004,10636.372209937885
08/2004,10479.902885213738
09/2004,10706.833742297536
10/2004,10642.646924947265
11/2004,11004.304215404347
12/2004,11113.491602621642
01/2005,11101.813536774911
02/2005,11136.761411983038
03/2005,11028.44052698101
04/2005,10443.9105005682
05/2005,11699.471329784134
06/2005,12323.07596844655
07/2005,13082.415819839927
08/2005,12778.192872526326
09/2005,13024.05562988432
10/2005,12656.104103051724
11/2005,13572.66394151213
12/2005,13510.176745349318
01/2006,14217.414895923965
02/2006,14471.971987006404
03/2006,14847.544367960465
04/2006,14337.62348160931
05/2006,13168.83714136979
06/2006,13281.554291546734
07/2006,12789.954459799574
08/2006,13037.206665723937
09/2006,13385.677478225214
10/2006,14006.925643511991
11/2006,13789.611164053256
12/2006,13817.665617770504
01/2007,14254.95614214202
02/2007,13886.1455045933
03/2007,13944.344063229835
04/2007,13967.463221026652
05/2007,14718.152668573655
06/2007,14426.489247517857
07/2007,13160.452693507114
08/2007,13297.321029257342
09/2007,13081.955329460796
10/2007,13108.20274771941
11/2007,11984.538820023323
12/2007,11939.547278386048
01/2008,11094.687123698452
02/2008,10538.953001955364
03/2008,10018.99830510646
04/2008,10777.761845902583
05/2008,11363.911622820517
06/2008,10242.04202741917
07/2008,10454.63669100241
08/2008,11404.430992819149
09/2008,10577.456464502873
10/2008,9344.956114922239
11/2008,8349.374161107939
12/2008,8062.337607384618
01/2009,7963.063722193849
02/2009,7147.27365868571
03/2009,7451.3797345184275
04/2009,8770.319536251774
05/2009,8589.02401478772
06/2009,8658.347339004496
07/2009,9473.915443651804
08/2009,9825.023325897722
09/2009,10163.682641988282
10/2009,9443.246529893284
11/2009,9661.61030727505
12/2009,10837.594938284317
01/2010,10804.813045340712
02/2010,11655.975972096046
03/2010,12668.020039046638
04/2010,13511.188184901433
05/2010,13486.829232980379
06/2010,12521.633667672384
07/2010,12631.683740620414
08/2010,12170.531612979179
09/2010,12625.467385110729
10/2010,12907.419252305597
11/2010,14188.07961437254
12/2010,14889.13174550007
01/2011,14703.13217884748
02/2011,15282.97792423881
03/2011,15209.498572677512
04/2011,14957.424499630384
05/2011,15219.985968548383
06/2011,14818.53357583336
07/2011,14449.342100673037
08/2011,13040.429322896494
09/2011,12420.531700502135
10/2011,13763.29062465732
11/2011,14312.342816485645
12/2011,14846.11304185563
01/2012,15601.502707345728
02/2012,15857.618984258708
03/2012,16314.834731942838
04/2012,16347.428963922232
05/2012,16228.311763292117
06/2012,16585.19465110945
07/2012,16858.936057768882
08/2012,17012.79064645516
09/2012,17026.695649564223
10/2012,16709.033542706853
11/2012,16947.156732532843
12/2012,17139.29512945036
01/2013,17790.381132265593
02/2013,18575.67489123415
03/2013,19919.470583012004
04/2013,19509.72599668643
05/2013,20307.137503921247
06/2013,20016.207655641345
07/2013,21013.861402883373
08/2013,20420.67456868706
09/2013,21189.032683292015
10/2013,21638.657381168625
11/2013,22342.094767498133
12/2013,22575.539951862414
01/2014,22582.43120680942
02/2014,23194.92966429011
03/2014,23122.981690685658
04/2014,22409.42034876983
05/2014,23042.75588355635
06/2014,24136.766657897246
07/2014,23388.845809228063
08/2014,24949.586481936985
09/2014,24767.29763534708
10/2014,26032.79914036506
11/2014,26325.289924148114
12/2014,27463.29808574502
01/2015,28778.98692205567
02/2015,30685.55159946348
03/2015,32459.108161455493
04/2015,30586.162684448696
05/2015,31902.665629765237
06/2015,31122.315962094195
07/2015,31544.752659127003
08/2015,29029.12828814992
09/2015,27688.324601499677
10/2015,29729.484185645153
11/2015,31609.515211740134
12/2015,29383.76990785711
01/2016,26986.0183752882
02/2016,27283.989812636915
03/2016,28315.63336028109
04/2016,28761.725216752217
05/2016,29993.31638241394
06/2016,30151.063481529352
07/2016,31683.17636021295
08/2016,31906.83575226591
09/2016,32001.95201963996
10/2016,31252.060550741524
11/2016,35131.29640360454
12/2016,36205.261393386856
01/2017,35975.160222633844
02/2017,37339.67177016352
03/2017,36982.30901849487
04/2017,36490.919675845085
05/2017,35068.844469609016
06/2017,35369.71494519402
07/2017,34852.74906207688
08/2017,34292.157000787956
09/2017,36046.45402668075
10/2017,37102.69279540123
11/2017,37468.97587275569
12/2017,37167.25013233273
01/2018,36709.69977839849
02/2018,35905.17414768263
03/2018,35963.710187962424
04/2018,36831.84227032339
05/2018,40117.7755332199
06/2018,40572.992412107975
07/2018,40984.09418708986
08/2018,43096.08755429477
09/2018,42539.24550928607
10/2018,39072.0638190338
11/2018,39645.904493109156
12/2018,34891.30266888723
01/2019,38833.44955771444
02/2019,40964.02610568278
03/2019,41197.871638252676
04/2019,42659.06713480172
05/2019,39706.924722698546
06/2019,41549.59664029502
07/2019,42958.26099244829
08/2019,41585.8194422882
09/2019,42870.53592838678
10/2019,42587.55865770525
11/2019,44977.90416841347
12/2019,45107.04634696553
01/2020,44613.3188889665
02/2020,40988.30540461882
03/2020,31754.01594708082
04/2020,36735.59386979125
05/2020,38433.13791423919
06/2020,39436.771720565914
07/2020,38744.68180438104
08/2020,40188.74056263431
09/2020,39789.197579649925
10/2020,40798.36090833361
11/2020,46447.0637057296
12/2020,48887.86326195676
01/2021,51283.75603274142
02/2021,54662.55040530691
03/2021,57680.421091426244
04/2021,58039.15694761962
05/2021,57409.56846688137
06/2021,59795.9789268048
07/2021,58455.585432321
08/2021,60061.7667968688
09/2021,59591.86792974126
10/2021,62041.32402039806
11/2021,60818.766208357396
12/2021,63060.41453783413
01/2022,58858.26117225993
02/2022,59202.48131591618
03/2022,60467.216150668864
04/2022,58338.119581437684
05/2022,57462.74464892146
06/2022,53861.09667645523
07/2022,60698.180920924744
08/2022,60322.42266320839
09/2022,55999.24107603457
10/2022,60724.07344220632
11/2022,60397.66401969813
12/2022,55224.523908625975
01/2023,60008.34041834406
02/2023,60140.155502613394
03/2023,56216.49944875354
04/2023,54877.10145774134
05/2023,55407.94581476407
06/2023,59154.8145214502
07/2023,61315.185710817284
08/2023,59634.779460852675
09/2023,57648.756580174995
10/2023,53885.27263702159
11/2023,57096.43814012226
12/2023,62865.43458610661
01/2024,61876.26510395209
02/2024,65252.09027789025
03/2024,67831.82227244432
