Data,IE00B3XXRP09
02/1992,10000
03/1992,10067.057279691027
04/1992,10268.598449587766
05/1992,10121.100591930699
06/1992,9684.598741163209
07/1992,9600.16327092723
08/1992,9165.998810805842
09/1992,9487.416372149712
10/1992,9915.656471199562
11/1992,10924.426417952749
12/1992,11050.70866806131
01/1993,11360.092146219107
02/1993,11801.138417081425
03/1993,12108.772113369905
04/1993,11413.353159938804
05/1993,11746.90170400741
06/1993,12124.414142860856
07/1993,12587.10719907429
08/1993,13163.781809662907
09/1993,12542.729421072747
10/1993,12951.732909572842
11/1993,13172.047387794752
12/1993,13324.635310154505
01/1994,13963.671338575567
02/1994,13531.611855291369
03/1994,12673.318467585294
04/1994,12872.310206075052
05/1994,12801.605202567369
06/1994,12284.289270634088
07/1994,12295.920632784408
08/1994,12814.035889234281
09/1994,12365.985704848425
10/1994,12401.442832752291
11/1994,12126.763260931668
12/1994,12557.635022895405
01/1995,12619.258177172413
02/1995,12966.801506421734
03/1995,12829.932934002301
04/1995,12954.28490281104
05/1995,13679.441942702482
06/1995,13879.596830233648
07/1995,14172.44554584663
08/1995,14637.41893758256
09/1995,15450.009402049334
10/1995,15154.402399692772
11/1995,15852.962810430285
12/1995,16413.29600682555
01/1996,17177.03785713607
02/1996,17434.903182361104
03/1996,17590.487468728676
04/1996,18000.997234645078
05/1996,18688.17928573733
06/1996,18612.902080800133
07/1996,17519.1575851087
08/1996,17725.51989966396
09/1996,18884.443566006787
10/1996,19464.551616546145
11/1996,20665.97429262346
12/1996,20703.623439553015
01/1997,22594.17017730366
02/1997,23762.043360131305
03/1997,23048.802237115426
04/1997,24556.328618926553
05/1997,25970.19886041465
06/1997,27437.040956137185
07/1997,30442.668520029925
08/1997,29555.124810564383
09/1997,30354.436482456767
10/1997,28806.35356451617
11/1997,29517.915454288843
12/1997,30833.222055398117
01/1998,31889.508885868698
02/1998,34112.36078896531
03/1998,35989.36489552364
04/1998,36103.16859879474
05/1998,34940.09837857035
06/1998,36621.33588147217
07/1998,36314.95719161615
08/1998,30935.845078039933
09/1998,31380.121869477498
10/1998,32677.289835598276
11/1998,35658.7389831462
12/1998,37470.89749344035
01/1999,40311.250225471
02/1999,40353.53325429637
03/1999,43043.97032449848
04/1999,45320.14251613511
05/1999,44844.03822187751
06/1999,47916.76578154962
07/1999,44829.04867012255
08/1999,45115.14952583783
09/1999,43497.221696334476
10/1999,47185.22168479677
11/1999,49839.14110644978
12/1999,53039.48518817282
01/2000,51683.5351362162
02/2000,51104.09178270004
03/2000,57046.082703579166
04/2000,58176.71435611173
05/2000,55644.4025811745
06/2000,55503.442033198895
07/2000,56482.60578103922
08/2000,62257.73120488659
09/2000,59915.95403857189
10/2000,62125.90484972213
11/2000,55464.7617049183
12/2000,52013.25116688618
01/2001,53925.14615625598
02/2001,49243.484139233784
03/2001,48293.50709638272
04/2001,51785.59778401683
05/2001,54564.02878610786
06/2001,53232.83422703802
07/2001,51050.08167891577
08/2001,45745.44196075614
09/2001,42173.05674625423
10/2001,43397.81682244828
11/2001,47480.36783271511
12/2001,48355.50558142735
01/2002,48618.00796731987
02/2002,47600.39316384381
03/2002,48974.54755495263
04/2002,44552.035126059156
