Data,IE00B3YLTY66
05/1994,10000
06/1994,9856.718179452573
07/1994,9703.294175913292
08/1994,10032.972928641975
09/1994,9705.785351197705
10/1994,9725.704049099098
11/1994,9395.573716233046
12/1994,9674.87097431701
01/1995,9283.893186069166
02/1995,9234.550185730603
03/1995,9277.00956696321
04/1995,9379.989839395217
05/1995,9588.38376489541
06/1995,9532.935668591348
07/1995,9883.323589555606
08/1995,10006.671720895447
09/1995,10376.988510807292
10/1995,10009.312399550667
11/1995,10313.548418722323
12/1995,10781.84253599508
01/1996,11108.961971678644
02/1996,11262.227771615564
03/1996,11429.914803732485
04/1996,11888.908715798068
05/1996,12065.48871165776
06/1996,11978.351014471273
07/1996,11288.773903196263
08/1996,11358.036172916487
09/1996,11833.757799964636
10/1996,11849.800084807406
11/1996,12224.132766175097
12/1996,12328.682772021471
01/1997,12797.319184453367
02/1997,13489.478591524177
03/1997,13337.478606979408
04/1997,13661.554343719285
05/1997,14557.282280715677
06/1997,15405.592599259375
07/1997,16454.817115802194
08/1997,15930.533549412621
09/1997,16254.169168007353
10/1997,15021.741339179436
11/1997,14759.119893689773
12/1997,15300.993898351557
01/1998,15933.546409873194
02/1998,17023.311456903266
03/1998,17795.620545781858
04/1998,17831.656335546446
05/1998,17206.52238103767
06/1998,17512.87524979377
07/1998,17430.076873438342
08/1998,14806.444071831822
09/1998,14418.301021735973
10/1998,15075.429899501829
11/1998,16379.667270373515
12/1998,17043.190489732304
01/1999,17918.73388574255
02/1999,17987.79285321043
03/1999,19290.752925838206
04/1999,20541.781654884668
05/1999,20194.150356705755
06/1999,21492.07730116996
07/1999,20732.063477640797
08/1999,21016.86796217324
09/1999,20715.688498439427
10/1999,22152.624194902062
11/1999,23932.10280276185
12/1999,26079.380733862192
01/2000,25521.636193959122
02/2000,26454.99378249762
03/2000,27969.827635368863
04/2000,27605.507686811463
05/2000,26005.52151472989
06/2000,26460.691922209975
07/2000,26455.01044854323
08/2000,28727.342358599366
09/2000,27656.952665352495
10/2000,27862.214996339186
11/2000,25017.954402693344
12/2000,23843.652818921
01/2001,24558.59642667576
02/2001,22553.256011714184
03/2001,21928.540889978904
04/2001,23467.832122043255
05/2001,24387.811252094794
06/2001,23723.81809918839
07/2001,22430.791722788763
08/2001,20538.885927179053
09/2001,18568.676884358963
10/2001,19292.838290255248
11/2001,20782.10986040391
12/2001,21264.041557896016
01/2002,21124.21679991935
02/2002,20922.976729367198
03/2002,21799.894114857103
04/2002,20657.99896585843
05/2002,19870.299912489965
06/2002,17564.448247025168
07/2002,16389.670049487533
08/2002,16361.640024898627
09/2002,14626.270604193734
10/2002,15579.516531298945
11/2002,16319.110607307877
12/2002,14759.408937397207
01/2003,13901.825369764636
02/2003,13703.884074375517
03/2003,13531.526130990007
04/2003,14402.231756831778
05/2003,14419.97450683887
06/2003,15219.20935187669
07/2003,15730.240844286292
08/2003,16730.671211187142
09/2003,15802.656018415166
10/2003,16829.593084966924
11/2003,16573.04195801422
12/2003,16661.141906986333
01/2004,17339.568758994217
02/2004,17637.290922616205
03/2004,17897.21740964863
04/2004,17833.937038881148
05/2004,17612.06831276957
06/2004,18068.692903965988
07/2004,17619.99527896928
08/2004,17613.455108778926
09/2004,17586.57218207387
10/2004,17551.31474605835
11/2004,17770.361890238328
12/2004,18033.467162769448
01/2005,18467.442977309514
02/2005,18788.559515340035
03/2005,18796.607319662933
04/2005,18364.473630490596
05/2005,19723.00799279357
06/2005,20382.845000911602
07/2005,21177.120640446476
08/2005,21151.348649886128
09/2005,22043.44035196376
10/2005,21486.976353493465
11/2005,22762.074647658686
12/2005,23293.46930788999
01/2006,23861.02871969375
02/2006,24310.93935846399
03/2006,24418.762767065306
04/2006,24338.54953831409
05/2006,22778.53415364323
06/2006,23024.32700654969
07/2006,23021.076887191648
08/2006,23468.81123587777
09/2006,24086.46320360122
10/2006,24936.656931110632
11/2006,24709.36771998206
12/2006,25306.967276213778
01/2007,26012.920212941226
02/2007,25422.830173087234
03/2007,25742.11431712755
04/2007,26299.505244793167
05/2007,27434.144610669176
06/2007,27239.687955851834
07/2007,26412.504268512275
08/2007,26297.875683727776
09/2007,26724.80330353797
10/2007,27272.325211647178
11/2007,25464.756007704393
12/2007,25237.963550930424
01/2008,22930.75684617761
02/2008,22579.444193191357
03/2008,21333.313350752127
04/2008,22900.65040102034
05/2008,23386.093863346676
06/2008,21113.775211551245
07/2008,20790.15008623762
08/2008,21592.668763621812
09/2008,19430.27360892776
10/2008,17380.58655083394
11/2008,16251.41218963701
12/2008,15454.676135897185
01/2009,15370.727953663814
02/2009,14061.335381319112
03/2009,14474.814454614412
04/2009,16321.553380875957
05/2009,16921.583559571325
06/2009,16818.73429891927
07/2009,18306.530665508737
08/2009,18829.51578670733
09/2009,19232.53608379191
10/2009,18691.95487276376
11/2009,19144.22580298704
12/2009,20447.04142158243
01/2010,20226.252254456558
02/2010,21106.589127481064
03/2010,22661.334139235445
04/2010,23089.86607530266
05/2010,22622.622029087936
06/2010,21969.347485857328
07/2010,22367.664326417664
08/2010,22169.008245724028
09/2010,22625.395770944044
10/2010,23101.644252234044
11/2010,24163.376293428
12/2010,25281.43275653324
01/2011,25021.793220712396
02/2011,25498.848721064216
03/2011,24866.350085056492
04/2011,24748.218979689267
05/2011,25033.870386906397
06/2011,24508.874120865043
07/2011,24433.336601794035
08/2011,22314.05508309173
09/2011,21555.13534252709
10/2011,23042.030231588178
11/2011,23329.87355601582
12/2011,24127.85148601693
01/2012,25139.274679778715
02/2012,25887.157170129667
03/2012,26231.5196665095
04/2012,26233.066410011903
05/2012,25463.883258524696
06/2012,26288.122250496872
07/2012,27264.65827786383
08/2012,27177.362827984885
09/2012,27370.605941507463
10/2012,27058.81694093999
11/2012,27421.342870026736
12/2012,27647.320441282307
01/2013,28193.970605415238
02/2013,29134.342763083954
03/2013,30476.592162433026
04/2013,30661.23820420179
05/2013,30797.14857956099
06/2013,29737.070136256738
07/2013,30747.235847515352
08/2013,30206.383853414314
09/2013,31205.310185974882
10/2013,32101.33440431164
11/2013,32638.318032503823
12/2013,32789.70553286474
01/2014,32213.32038900363
02/2014,33067.70013909592
03/2014,33258.117552704076
04/2014,33326.785612670275
05/2014,34629.17116585156
06/2014,35244.59977209278
07/2014,35432.398692667775
08/2014,36787.54258253113
09/2014,37198.54711042528
10/2014,37671.18088406151
11/2014,38364.715918089176
12/2014,38806.21524855406
01/2015,41032.43139378498
02/2015,43589.58746474539
03/2015,44957.584549388324
04/2015,44327.69304495284
05/2015,45374.91558017109
06/2015,43514.5057568848
07/2015,44662.41725156432
08/2015,40756.426013338576
09/2015,39321.72188061935
10/2015,43015.96195736707
11/2015,44532.79519674488
12/2015,42478.147763818866
01/2016,39700.027723753425
02/2016,39624.19465915662
03/2016,40781.44083263768
04/2016,41377.465361852715
05/2016,42415.60564680106
06/2016,42324.86256239625
07/2016,44172.466529703794
08/2016,44259.352655856506
09/2016,44479.66929428158
10/2016,44479.45002243288
11/2016,46293.45299163538
12/2016,47725.10915165755
01/2017,48045.30811648896
02/2017,50119.18579903649
03/2017,50292.551060065816
04/2017,49997.779441874845
05/2017,49706.95123131331
