Data,IE00B40B8R38
02/2014,10000
03/2014,10204.74510263429
04/2014,10432.457722785575
05/2014,10802.556375808766
06/2014,10704.135662582465
07/2014,10549.611176432494
08/2014,11190.579758625187
09/2014,11759.549679608228
10/2014,12215.43507866288
11/2014,12906.4320919658
12/2014,13087.152821165793
01/2015,13875.251239327476
02/2015,14535.713321988136
03/2015,14814.44354170699
04/2015,14073.374133717543
05/2015,14489.970190694765
06/2015,13897.406974994678
07/2015,14928.249545049168
08/2015,13720.314304305222
09/2015,13751.130352839287
10/2015,14769.50286444607
11/2015,15183.024837309033
12/2015,15122.054376157932
01/2016,15142.308024891641
02/2016,15194.384218518499
03/2016,15156.549628253926
04/2016,14909.918788494135
05/2016,15339.037125320081
06/2016,16149.499586101556
07/2016,15990.15648011857
08/2016,15853.321197240602
09/2016,15533.945370114474
10/2016,15684.272521294555
11/2016,15411.351132284912
12/2016,15997.872983708976
01/2017,15904.826572968504
02/2017,16926.56150494091
03/2017,16657.119442620977
04/2017,16428.46720655173
05/2017,16424.361919977433
06/2017,15738.456675280935
07/2017,15373.480740840243
08/2017,15050.123838041114
09/2017,14900.465206009814
10/2017,14872.988405051667
11/2017,15395.703864001833
12/2017,15507.794664915076
01/2018,15138.067986262746
02/2018,14227.512144105605
03/2018,13916.125356136927
04/2018,13551.640417382889
05/2018,13739.906414343526
06/2018,14358.565611584461
07/2018,14814.213512400202
08/2018,14971.661563306188
09/2018,15160.463687195486
10/2018,15833.496843071574
11/2018,16045.438323658049
12/2018,14409.600996439345
01/2019,15077.478943420023
02/2019,15492.53961977787
03/2019,16318.289576935767
04/2019,16722.152159564357
05/2019,16148.55046577657
06/2019,16582.453870223857
07/2019,17314.587851805012
08/2019,17780.252339180446
09/2019,18253.41236052622
10/2019,17758.30475670636
11/2019,18229.604283934277
12/2019,18180.41281496064
01/2020,18514.031192860763
02/2020,17112.883175651354
03/2020,16139.066022862138
04/2020,17335.768583216977
05/2020,17161.625468177917
06/2020,16939.30365969389
07/2020,17090.71988836897
08/2020,17736.554145403356
09/2020,17752.492187399574
10/2020,17234.507524662673
11/2020,18061.480773258125
12/2020,17886.26174158353
01/2021,17120.40595231788
02/2021,16883.112145362415
03/2021,18797.297810327294
04/2021,18610.371144057113
05/2021,18730.336388342916
06/2021,19125.991510304488
07/2021,19565.305046859798
08/2021,19907.586408466977
09/2021,19431.05930031403
10/2021,20035.35108124651
11/2021,20271.54588431031
12/2021,22359.76638544552
01/2022,22352.599134679545
02/2022,21929.937877820004
03/2022,22431.867557563142
04/2022,24191.00153620763
05/2022,22672.68497351293
06/2022,22710.634342179015
07/2022,23851.88544795315
08/2022,23865.065520949916
09/2022,22440.1700488429
10/2022,24010.75888535646
11/2022,24360.758817474638
12/2022,22957.10530445994
01/2023,22361.99488527497
02/2023,22241.99595561433
03/2023,22543.744520018678
04/2023,23089.93558471855
05/2023,22257.901318967186
06/2023,22508.808897911953
07/2023,22626.9255923098
08/2023,22070.031360901376
09/2023,21552.993505553648
10/2023,21204.521742963938
11/2023,21368.41897353446
12/2023,21648.38431678563
01/2024,22374.852187536835
02/2024,22869.82064401711
03/2024,23625.091261305726
04/2024,23572.440236817976
