Data,IE00B41RYL63
03/2009,10000
04/2009,10088.79180070416
05/2009,10064.664275229527
06/2009,10193.436460786406
07/2009,10401.593785151475
08/2009,10476.5454592376
09/2009,10568.788466261376
10/2009,10595.345769135525
11/2009,10669.640908048204
12/2009,10606.665524379328
01/2010,10695.853837967674
02/2010,10800.527584197065
03/2010,10874.750924218995
04/2010,10848.757974599335
05/2010,10945.613030480436
06/2010,10899.941296116423
07/2010,10983.049952797146
08/2010,11247.337906568786
09/2010,11134.540619206871
10/2010,11089.999157643284
11/2010,10868.836338816547
12/2010,10819.763725813573
01/2011,10761.746419880767
02/2011,10786.158318499665
03/2011,10727.1614263025
04/2011,10800.690012943081
05/2011,10904.075880351036
06/2011,10867.15735305962
07/2011,10926.755963647372
08/2011,11116.279480957699
09/2011,11156.695168768492
10/2011,11069.567593174728
11/2011,10811.355299324658
12/2011,11150.999500758722
01/2012,11369.971755272825
02/2012,11552.22471914844
03/2012,11592.601159671733
04/2012,11591.054790573324
05/2012,11706.331849820624
06/2012,11621.140208595674
07/2012,11829.829575856495
08/2012,11926.639263604216
09/2012,12044.002768268343
10/2012,12137.443743469394
11/2012,12280.678658639674
12/2012,12378.388220412073
01/2013,12293.616964774952
02/2013,12364.645273242431
03/2013,12437.764312973124
04/2013,12694.269562485442
05/2013,12575.038358207572
06/2013,12383.981875847101
07/2013,12469.510161250048
08/2013,12413.396842085664
09/2013,12503.09096856719
10/2013,12658.033195177828
11/2013,12697.091208957401
12/2013,12625.586613859314
01/2014,12857.205067130286
02/2014,12929.982335752124
03/2014,13022.618161739223
04/2014,13131.001385440859
05/2014,13255.95451886718
06/2014,13376.772256426342
07/2014,13473.079725081205
08/2014,13689.441189867228
09/2014,13707.461640113474
10/2014,13749.069080723279
11/2014,13890.332634717171
12/2014,14003.560189489686
01/2015,14244.32988702999
02/2015,14331.696061005105
03/2015,14455.353768930156
04/2015,14300.203690809383
05/2015,14134.208209913906
06/2015,13821.296306306644
07/2015,14070.742756846625
08/2015,13949.941822444214
09/2015,14049.476295214066
10/2015,14185.384773171141
11/2015,14251.709907215265
12/2015,14119.732185259501
01/2016,14334.980325386221
02/2016,14452.658153478827
03/2016,14528.493929036196
04/2016,14425.01405065812
05/2016,14541.049141565767
06/2016,14793.439644548718
07/2016,14931.566854342458
08/2016,14912.220565432513
09/2016,14931.023326184975
10/2016,14688.421272362419
11/2016,14487.037679429393
12/2016,14564.010799602038
01/2017,14347.842977252527
02/2017,14495.541223410963
03/2017,14423.120894506448
04/2017,14488.00308930202
05/2017,14551.601756936832
06/2017,14471.74793781072
07/2017,14509.512866722851
08/2017,14621.398611206288
09/2017,14563.736168299783
10/2017,14705.400330165538
11/2017,14728.721580717278
12/2017,14638.279010638193
01/2018,14570.05585164739
02/2018,14585.314980784784
03/2018,14739.247491301012
04/2018,14699.454437160643
05/2018,14595.134576861874
06/2018,14663.142304932217
07/2018,14631.95132259398
08/2018,14592.742127669657
09/2018,14553.589243229328
10/2018,14548.132317669999
11/2018,14581.40272538274
12/2018,14673.336498035012
01/2019,14811.739931829961
02/2019,14798.178828480066
03/2019,15035.119053929744
04/2019,15050.68808675858
05/2019,15169.5925975025
06/2019,15453.480128244875
07/2019,15677.876712841475
08/2019,15975.687175528124
09/2019,15888.382746189292
10/2019,15740.72099435554
11/2019,15641.191566277748
12/2019,15525.195777360826
01/2020,15831.782903918982
02/2020,15884.773149489833
03/2020,15343.794401310584
04/2020,15522.858715365735
05/2020,15553.421069283102
06/2020,15704.21791344656
07/2020,15861.641376685806
08/2020,15774.239227767725
09/2020,15932.673695628524
10/2020,16064.381476820674
11/2020,16105.506542917112
12/2020,16125.871868001654
01/2021,16050.19821598655
02/2021,15798.857306090935
03/2021,15813.370204873705
04/2021,15699.335098538064
05/2021,15684.837768158495
06/2021,15744.019807667988
07/2021,15987.831205832064
08/2021,15910.317269613937
09/2021,15737.141130197264
10/2021,15638.257822626194
11/2021,15831.245061038104
12/2021,15639.569448193084
01/2022,15461.790972020266
02/2022,15117.521493160597
03/2022,15019.743706582087
04/2022,14592.73505915546
05/2022,14364.28930931212
06/2022,14020.302259056076
07/2022,14613.876745226069
08/2022,13903.62587675201
09/2022,13376.032239699249
10/2022,13387.391262144183
11/2022,13708.739726720241
12/2022,13213.007895286026
01/2023,13511.07003704127
02/2023,13228.475655083555
03/2023,13493.588176310072
04/2023,13509.539882524763
05/2023,13556.895198881562
06/2023,13510.142678237613
07/2023,13532.570160197238
08/2023,13570.662964854733
09/2023,13284.75646627093
10/2023,13335.14753778679
11/2023,13698.647672117686
12/2023,14148.202177955916
01/2024,14100.445962057729
02/2024,13944.92839749405
03/2024,14095.094069800054
04/2024,13916.976427360822
