Data,IE00B42NKQ00
01/2014,10000
02/2014,10231.264982163895
03/2014,10481.829060879027
04/2014,10967.31062956018
05/2014,11278.312975123248
06/2014,11788.405278758357
07/2014,11623.498502550583
08/2014,12005.808385649607
09/2014,11620.59114266166
10/2014,11325.25789528506
11/2014,10355.850858900589
12/2014,10682.964499952752
01/2015,10911.235254669698
02/2015,11358.020438540076
03/2015,11622.716648289044
04/2015,11880.612009055763
05/2015,11510.252729792965
06/2015,10882.443691942179
07/2015,10233.881129259435
08/2015,9536.503489730721
09/2015,8897.54998084423
10/2015,10064.472844562215
11/2015,10399.627375569642
12/2015,9093.780311054297
01/2016,8786.636065119319
02/2016,8585.686902828296
03/2016,8963.324341802794
04/2016,9722.340070796388
05/2016,9822.220645139441
06/2016,10181.636514048803
07/2016,9968.70471666592
08/2016,10014.15430315648
09/2016,10281.644574667245
10/2016,10170.725475597368
11/2016,11291.722378894976
12/2016,11596.584895050913
01/2017,10951.033366614905
02/2017,10809.032807985704
03/2017,10594.764767195404
04/2017,10058.168519887695
05/2017,9408.074476037758
06/2017,9224.688737407763
07/2017,9194.7739091698
08/2017,8596.642935890566
09/2017,9450.940563154547
10/2017,9517.269483063052
11/2017,9461.927381868041
12/2017,9789.767469710412
01/2018,9778.07219004891
02/2018,8840.177385281206
03/2018,8898.22982419892
04/2018,9918.320959543911
05/2018,10498.698363998155
06/2018,10594.593614778525
07/2018,10665.49142516911
08/2018,10334.806959236392
09/2018,10653.66599077855
10/2018,9660.614942086346
11/2018,9412.65388177351
12/2018,8139.699898471397
01/2019,9005.996873113449
02/2019,9237.55295018042
03/2019,9571.075604079795
04/2019,9583.187827758453
05/2019,8511.092099396352
06/2019,9095.211204388397
07/2019,9106.918885614192
08/2019,8392.897909893612
09/2019,8814.527840664794
10/2019,8398.542621870887
11/2019,8623.393611708916
12/2019,8925.036866209433
01/2020,8056.698409461237
02/2020,6870.506173731786
03/2020,4455.417322620892
04/2020,5838.6863402216295
05/2020,5749.329994378616
06/2020,5643.452197679507
07/2020,5050.308402639513
08/2020,4905.020543831302
09/2020,4266.6440549663885
10/2020,4066.1566595410213
11/2020,5033.086598966595
12/2020,5116.597752772687
01/2021,5363.547619875173
02/2021,6535.059280043973
03/2021,6930.9801127159135
04/2021,6759.255476802477
05/2021,7030.713306255831
06/2021,7544.3359288117745
07/2021,6898.231115744216
08/2021,6736.726572758599
09/2021,7530.899901878827
10/2021,8246.462332349858
11/2021,7949.227947300238
12/2021,8206.940660209102
01/2022,9922.50856756489
02/2022,10507.653051847625
03/2022,11528.146463429704
04/2022,11944.792712582195
05/2022,13529.538766091346
06/2022,11569.379197905007
07/2022,12905.279828096038
08/2022,13462.132150916954
09/2022,12468.334128420463
10/2022,15303.495316742765
11/2022,14714.89646462949
12/2022,13860.25283534292
01/2023,14015.021301280922
02/2023,13207.334475923364
03/2023,12831.8405462611
04/2023,13112.688801719152
05/2023,12046.415266380152
06/2023,12608.265235168496
07/2023,13332.66347692962
08/2023,13692.80405926309
09/2023,14391.518306527634
10/2023,13483.498388183385
11/2023,12881.67326315578
12/2023,12716.829355660262
01/2024,12897.601084003389
02/2024,13241.998205866437
03/2024,14641.278828669365
04/2024,14637.732332283827
