Data,IE00B43QJJ40
11/2017,10000
12/2017,9913.32928592726
01/2018,9656.985556559028
02/2018,9760.913993017266
03/2018,9778.325877990115
04/2018,9813.658746050798
05/2018,10054.745434138391
06/2018,10044.404996473331
07/2018,9960.153515274304
08/2018,10042.51250132742
09/2018,10019.609164295896
10/2018,10132.701147231377
11/2018,10126.854117294015
12/2018,10248.643446040445
01/2019,10369.40928121351
02/2019,10373.881684763262
03/2019,10672.11170369477
04/2019,10655.74701327113
05/2019,10864.043897250782
06/2019,10880.54792963006
07/2019,11072.231619115406
08/2019,11414.185216419472
09/2019,11449.65553194754
10/2019,11251.108540032217
11/2019,11339.73635951737
12/2019,11149.065359588361
01/2020,11476.394403794344
02/2020,11631.565866752613
03/2020,11391.770701157839
04/2020,11699.919269280363
05/2020,11475.906765250702
06/2020,11512.802416444743
07/2020,11227.270221080498
08/2020,11122.84047452
09/2020,11301.51880498574
10/2020,11321.056985020923
11/2020,11254.620990251735
12/2020,11134.376749878218
01/2021,11158.1560608533
02/2021,10978.730496039349
03/2021,11130.283271905939
04/2021,10936.932235018945
05/2021,10931.063263056905
06/2021,11122.72287312355
07/2021,11263.206475034916
08/2021,11269.454376597987
09/2021,11312.040798415172
10/2021,11219.797724511913
11/2021,11463.675902077559
12/2021,11484.114629965668
01/2022,11419.21934599226
02/2022,11239.218728084887
03/2022,10992.216364560829
04/2022,10942.069172823129
05/2022,10793.843152606338
06/2022,10774.492863521722
07/2022,11206.578690881077
08/2022,10976.552500252968
09/2022,10680.843912148164
10/2022,10428.887529105645
11/2022,10432.604693012692
12/2022,10202.963779313333
01/2023,10374.615239062034
02/2023,10230.98042902656
03/2023,10305.19183503266
04/2023,10249.891280578426
05/2023,10329.005209878356
06/2023,10153.391627177356
07/2023,10077.241460627825
08/2023,10080.300718580787
09/2023,10038.083091029479
10/2023,9893.912926223378
11/2023,10095.360083053953
12/2023,10400.858255382005
01/2024,10458.084027494524
02/2024,10336.274681068498
03/2024,10406.738306450898
04/2024,10231.259464857156
