Data,IE00B441G979
09/2010,10000
10/2010,10276.506566666667
11/2010,10240.298749189276
12/2010,10805.763724058157
01/2011,11005.699047559896
02/2011,11322.766501487238
03/2011,11175.930877041168
04/2011,11420.273520708548
05/2011,11272.870578426406
06/2011,11093.13735579536
07/2011,10788.830975910965
08/2011,10060.436466348694
09/2011,9423.206634246515
10/2011,10215.287090154945
11/2011,10069.3976011705
12/2011,10133.19851086517
01/2012,10563.369358616497
02/2012,11045.00391807318
03/2012,11231.558160326835
04/2012,11049.407029470447
05/2012,10254.54632960204
06/2012,10679.205521597278
07/2012,10829.8900559778
08/2012,11033.72832115739
09/2012,11257.204169327448
10/2012,11197.098255507472
11/2012,11350.572975356283
12/2012,11552.481834971715
01/2013,12141.986292303523
02/2013,12318.456869130128
03/2013,12643.646414310171
04/2013,12977.472290682683
05/2013,13155.031780018979
06/2013,12827.844053815552
07/2013,13415.128946081633
08/2013,13127.931651910501
09/2013,13603.394266536967
10/2013,14130.353194102394
11/2013,14426.12384962261
12/2013,14715.354031889554
01/2014,14221.6068261222
02/2014,14805.935854882835
03/2014,14826.462507187125
04/2014,14926.376766886153
05/2014,15260.32512766109
06/2014,15462.691761073811
07/2014,15329.679071528397
08/2014,15727.316985065861
09/2014,15554.96422863726
10/2014,15722.719482884744
11/2014,16160.40278836016
12/2014,16023.137867786067
01/2015,15897.531903481093
02/2015,16827.602100485772
03/2015,16737.242078945375
04/2015,16898.09616414052
05/2015,17101.33536644193
06/2015,16587.43333064231
07/2015,16989.95956644467
08/2015,15857.632643428899
09/2015,15279.380794216964
10/2015,16484.87013739947
11/2015,16581.43440339771
12/2015,16212.830431793187
01/2016,15321.21496615197
02/2016,15069.141925223721
03/2016,15822.950836650485
04/2016,15938.586235776327
05/2016,16206.674165011946
06/2016,15964.922848265187
07/2016,16597.8056889971
08/2016,16645.93530649735
09/2016,16655.17261125769
10/2016,16516.53119348137
11/2016,16940.046719141865
12/2016,17381.11305872465
01/2017,17572.52432951323
02/2017,18103.663513244217
03/2017,18250.20499749151
04/2017,18433.356283442383
05/2017,18672.08262611816
06/2017,18643.845604447488
07/2017,18873.698629094542
08/2017,18869.47696176746
09/2017,19278.577407203273
10/2017,19742.85873345435
11/2017,20012.29638988983
12/2017,20190.147119802987
01/2018,20893.522547070945
02/2018,20107.200666344583
03/2018,19601.952282857594
04/2018,19946.43285773892
05/2018,20162.228722284417
06/2018,20184.68380020507
07/2018,20778.51390115648
08/2018,21013.114573993204
09/2018,21121.136601035672
10/2018,19609.943099201664
11/2018,19792.894616269044
12/2018,18194.627985523497
01/2019,19470.793129595622
02/2019,20083.21426506663
03/2019,20363.688110897652
04/2019,21085.123871344575
05/2019,19828.265819219047
06/2019,20935.641306173246
07/2019,21142.006415439457
08/2019,20675.272740288947
09/2019,21116.584129335097
10/2019,21457.495637942164
11/2019,22098.30970124329
12/2019,22545.46617946553
01/2020,22445.094382291314
02/2020,20578.819838075626
03/2020,17923.428871250588
04/2020,19789.48878417593
05/2020,20693.544778077023
06/2020,21158.782060772246
07/2020,21814.71253373064
08/2020,23146.932869872482
09/2020,22445.298423791894
10/2020,21735.438115998717
11/2020,24274.09747831893
12/2020,25081.496134092562
01/2021,24859.863163554954
02/2021,25493.757582516282
03/2021,26555.960597664667
04/2021,27581.52162812215
05/2021,27840.607940774193
06/2021,28479.9790423115
07/2021,28940.468956610563
08/2021,29687.638325432836
09/2021,28547.142594742436
10/2021,30097.657662656526
11/2021,29614.910932459698
12/2021,30747.760794553495
01/2022,29182.201798077283
02/2022,28382.46461579523
03/2022,29229.908460431852
04/2022,27072.668625484497
05/2022,26980.03184306112
06/2022,24792.526768874246
07/2022,26758.003509847145
08/2022,25775.545591524184
09/2022,23543.996395788978
10/2022,25163.74370720358
11/2022,26505.994864952365
12/2022,25113.260784472084
01/2023,26679.850595437605
02/2023,26216.6596252078
03/2023,26814.281781470327
04/2023,27195.97628690806
05/2023,27099.604178959835
06/2023,28569.691365865052
07/2023,29352.381410750182
08/2023,28789.821458589653
09/2023,27661.634028017033
10/2023,26904.903454149928
11/2023,29051.228708488023
12/2023,30213.18155715858
01/2024,30720.062123261654
02/2024,32100.06591065588
03/2024,33152.13545911252
04/2024,32037.47137487279
