Data,IE00B44Z5B48
12/1987,10000
01/1988,10358.87880627213
02/1988,11275.027851970257
03/1988,11465.458326873651
04/1988,11542.1255261515
05/1988,11425.349691381483
06/1988,11837.566625154172
07/1988,12664.10908541727
08/1988,12236.205300341393
09/1988,12668.860167932531
10/1988,13163.36603079997
11/1988,13064.767119641067
12/1988,13195.368014140298
01/1989,14211.426106617027
02/1989,14298.513087714677
03/1989,14310.464396459041
04/1989,14747.711683341231
05/1989,15013.846819568547
06/1989,15067.737192688313
07/1989,16034.713144736792
08/1989,15895.099827406038
09/1989,16622.5411984384
10/1989,15477.02053626683
11/1989,15850.885614482637
12/1989,15693.208389474701
01/1990,14528.98993236523
02/1990,13730.323015708971
03/1990,13104.17822784758
04/1990,12769.979178596497
05/1990,13870.048580969935
06/1990,13865.681802945634
07/1990,13579.220609578426
08/1990,11757.002323721326
09/1990,10542.22541282332
10/1990,11171.545082104452
11/1990,10763.388443967066
12/1990,11122.082551726471
01/1991,11558.43889421046
02/1991,12431.31832846775
03/1991,13149.163343136028
04/1991,13962.439835553618
05/1991,14483.058986261418
06/1991,14102.43818193255
07/1991,14788.799099747446
08/1991,14429.352780346471
09/1991,14383.804000228602
10/1991,14610.04100873108
11/1991,13453.551498043684
12/1991,13989.227807622117
01/1992,13872.524198994925
02/1992,13959.999990210621
03/1992,13690.509701960365
04/1992,13744.412303952973
05/1992,13993.843745013726
06/1992,13104.01673278973
07/1992,12516.157687586932
08/1992,12469.945067657929
09/1992,12645.15371730164
10/1992,12844.791384658258
11/1992,13909.798027294246
12/1992,14027.65585755391
01/1993,14347.543772495645
02/1993,15046.070975683368
03/1993,15984.00184553542
04/1993,16136.097427141027
05/1993,16550.50338071439
06/1993,16917.457173588635
07/1993,17995.037078437523
08/1993,18986.364991374467
09/1993,17919.47793460283
10/1993,18660.774845545515
11/1993,18159.621211119713
12/1993,19127.266967451513
01/1994,20665.923057490687
02/1994,20281.97359670649
03/1994,18963.439124890952
04/1994,19529.302290513704
05/1994,19215.72348720946
06/1994,18805.481699722342
07/1994,18623.0372403739
08/1994,19302.341548543292
09/1994,18640.665872908972
10/1994,18746.819436372967
11/1994,18193.086337096112
12/1994,18623.87815759738
01/1995,17865.814740342972
02/1995,17853.02642930578
03/1995,17939.316017788908
04/1995,18230.117592772156
05/1995,18710.074885112015
06/1995,18551.832110238076
07/1995,19217.24325905744
08/1995,19359.192512946818
09/1995,20140.54905274945
10/1995,19489.12358162417
11/1995,20139.13544126233
12/1995,21067.402453702016
01/1996,21790.164093041363
02/1996,21999.358369313395
03/1996,22316.43749461958
04/1996,23048.838940637863
05/1996,23344.87164071728
06/1996,23283.087512742175
07/1996,22065.153241161206
08/1996,22127.422896876516
09/1996,23136.021117598175
10/1996,23293.0874746132
11/1996,24215.65040857015
12/1996,24385.034724623176
01/1997,25460.375449850886
02/1997,26923.40462232411
03/1997,26682.12163110766
04/1997,27680.045269969203
05/1997,29232.60567185198
06/1997,31063.962378492153
07/1997,33361.59724398024
08/1997,31894.583838191364
09/1997,32703.804805989083
10/1997,30187.354291031228
11/1997,30008.357595355068
12/1997,31212.626075739438
01/1998,32623.085707205286
02/1998,34767.160061693095
03/1998,36372.63075833016
04/1998,36452.778772340964
05/1998,35204.321125304894
06/1998,36087.10489977877
07/1998,36172.268311044696
08/1998,30965.557015422
09/1998,30097.871688749383
10/1998,31623.21309958029
11/1998,34503.11674803429
12/1998,35863.64187585081
01/1999,37780.531116176506
02/1999,38041.86617716256
03/1999,40761.68109598954
04/1999,43090.99152713034
05/1999,42114.49729438013
06/1999,44745.13979487069
07/1999,43022.23134397747
08/1999,43448.00585155675
09/1999,42594.346084357916
10/1999,45644.99829109275
11/1999,48707.4133337575
12/1999,53016.7732723705
01/2000,51445.4910182547
02/2000,52012.225247334296
03/2000,56348.30037121561
04/2000,56574.47148142148
05/2000,53796.11277700691
06/2000,54129.070009358504
07/2000,54300.36179199249
08/2000,58088.89785713239
09/2000,55762.20637404735
10/2000,56913.02235948106
11/2000,51726.730541928446
12/2000,49063.72306668772
01/2001,50352.80736277821
02/2001,46323.78925478484
03/2001,45225.08444477559
04/2001,48263.600200687506
05/2001,49938.1474170146
06/2001,48391.53222893772
07/2001,46116.67895910091
08/2001,42045.83013488569
09/2001,38304.126584050486
10/2001,39490.34441755473
11/2001,42584.228127812545
12/2001,43383.73408768207
01/2002,43040.3774439962
02/2002,42640.732053724605
03/2002,44179.19438816664
04/2002,41416.48835245182
05/2002,39786.6520876675
06/2002,35143.17720486409
07/2002,32816.11731040053
08/2002,32722.710839154282
09/2002,29042.906982523426
10/2002,31159.24113742808
11/2002,32644.721173825656
12/2002,29417.369176910925
01/2003,27680.310568478963
02/2003,27271.745618432768
03/2003,26877.78746657489
04/2003,28648.3251770747
05/2003,28533.96617522636
06/2003,30077.76087222669
07/2003,31031.29456430588
08/2003,32894.31564037996
09/2003,31033.663721513116
10/2003,32990.910284405574
11/2003,32446.441100176926
12/2003,32755.534507287764
01/2004,33967.76580607954
02/2004,34488.559880983434
03/2004,34837.84487634752
04/2004,34815.75002084312
05/2004,34375.38471433134
06/2004,35182.72166234473
07/2004,34383.16516174994
08/2004,34389.23015563219
09/2004,34259.05753758912
10/2004,34189.060599723205
11/2004,34541.917560415226
12/2004,35017.85596228426
01/2005,35812.07306744947
02/2005,36436.71815712768
03/2005,36442.00372420317
04/2005,35669.6524449621
05/2005,38196.507798933344
06/2005,39349.71220062081
07/2005,40798.751511816656
08/2005,40759.94315172209
09/2005,42528.17419366414
10/2005,41441.86210973163
11/2005,43885.816971784014
12/2005,44854.6151540866
01/2006,45810.73883740992
02/2006,46683.21782718436
03/2006,46767.543441206406
04/2006,46662.46371411559
05/2006,43692.737320875305
06/2006,44209.77552228531
07/2006,44319.384818579376
08/2006,45178.65004297404
09/2006,46392.168642395205
10/2006,47989.31262955714
11/2006,47468.629952707895
12/2006,48634.656904530806
