Data,IE00B459R192
09/2011,10000
10/2011,9568.902408129374
11/2011,10062.5797233409
12/2011,10548.363638408451
01/2012,10448.044728375078
02/2012,10236.713473495363
03/2012,10245.488925174306
04/2012,10377.467493668046
05/2012,11252.926592362133
06/2012,11088.540927538279
07/2012,11519.95743356881
08/2012,11226.96121667534
09/2012,10963.412147030253
10/2012,10930.159915659142
11/2012,10951.763329504252
12/2012,10762.211517898122
01/2013,10404.637266913276
02/2013,10790.652302600147
03/2013,11070.981983801696
04/2013,10953.047983619306
05/2013,10810.619532908462
06/2013,10581.678226801416
07/2013,10438.990091969676
08/2013,10415.510101992953
09/2013,10302.437039174958
10/2013,10280.719029419555
11/2013,10262.606288664465
12/2013,10070.726966652732
01/2014,10426.029818160785
02/2014,10254.596180819151
03/2014,10203.63905705213
04/2014,10293.053912093521
05/2014,10594.696268640531
06/2014,10559.055828769546
07/2014,10750.71311428584
08/2014,11025.29154884213
09/2014,11475.42085306164
10/2014,11641.16187381301
11/2014,11760.601112894123
12/2014,12101.528723490319
01/2015,13267.242136362252
02/2015,13216.620871337569
03/2015,13869.736445500588
04/2015,13256.087657691289
05/2015,13517.628699306862
06/2015,13106.629905700078
07/2015,13463.0348420573
08/2015,13144.510363932355
09/2015,13245.736140428808
10/2015,13469.724028889823
11/2015,13988.442793409999
12/2015,13546.792778799057
01/2016,13689.79178563791
02/2016,13757.267534928269
03/2016,13341.302286026172
04/2016,13369.481193656899
05/2016,13669.550969427099
06/2016,13978.403271864865
07/2016,14050.87342521153
08/2016,14008.860869345534
09/2016,13962.290692032173
10/2016,14055.964907120824
11/2016,14122.814729761863
12/2016,14337.596415381604
01/2017,14077.852420336383
02/2017,14381.785409457076
03/2017,14245.82135335415
04/2017,14039.829551008948
05/2017,13779.002487643682
06/2017,13532.798470513146
07/2017,13158.794409829188
08/2017,13230.210597660142
09/2017,13186.513154602617
10/2017,13382.747955540917
11/2017,13125.667720297328
12/2017,13025.72587184374
01/2018,12394.268991085284
02/2018,12519.271245346576
03/2018,12488.364486781053
04/2018,12579.675141773652
05/2018,13144.049543075644
06/2018,13172.190483831095
07/2018,13085.89099967353
08/2018,13264.321297737219
09/2018,13262.411199452072
10/2018,13455.662167850336
11/2018,13485.22268014235
12/2018,13554.695587279226
01/2019,13719.09986356473
02/2019,13795.681908044518
03/2019,14285.152442389002
04/2019,14308.439188946208
05/2019,14647.906694357842
06/2019,14531.320682870824
07/2019,14860.300701912349
08/2019,15326.116731675096
09/2019,15448.118251325226
10/2019,15124.334485115074
11/2019,15351.24792239428
12/2019,14994.255726743108
01/2020,15532.360557677364
02/2020,15917.754603694613
03/2020,15852.157603343258
04/2020,16250.377998542594
05/2020,15942.560497370905
06/2020,15951.901970930428
07/2020,15299.69721606209
08/2020,15057.097303956161
09/2020,15344.910571035067
10/2020,15287.277288043355
11/2020,15071.73231597897
12/2020,14732.455235378597
01/2021,14787.44590325578
02/2021,14589.848436139435
03/2021,14892.20775372058
04/2021,14564.23234810268
05/2021,14467.239147111053
06/2021,14955.453990005415
07/2021,15111.651205346414
08/2021,15153.386841428868
09/2021,15350.872042600507
10/2021,15257.484383243012
11/2021,15680.234435808612
12/2021,15688.984321037799
01/2022,15582.681198397753
02/2022,15347.465005402319
03/2022,15050.633958463186
04/2022,15248.042394125217
05/2022,15096.374277010593
06/2022,15323.775069755438
07/2022,15986.970716542846
08/2022,15840.566184073821
09/2022,15545.716494027603
10/2022,15085.234628797754
11/2022,14941.483285356506
12/2022,14467.55391401337
01/2023,14680.693981919023
02/2023,14587.243122495105
03/2023,14603.619039859652
04/2023,14548.234747367593
05/2023,14789.163837071696
06/2023,14486.137497873158
07/2023,14267.80619282538
08/2023,14376.840230648262
09/2023,14371.852250917882
10/2023,14109.710348835559
11/2023,14325.720806577367
12/2023,14711.883005009893
01/2024,14957.764076817833
02/2024,14759.30173174215
03/2024,14914.16414158898
04/2024,14661.483356997418
