Data,IE00B466KX20
12/1987,10000
01/1988,10795.430323722812
02/1988,11082.873469022019
03/1988,11533.41279252985
04/1988,12525.38710360213
05/1988,12939.964759897604
06/1988,14844.902722655786
07/1988,15763.340743745242
08/1988,14721.241448177509
09/1988,14842.675045277056
10/1988,14662.65121398437
11/1988,13904.039298936943
12/1988,14013.184359379598
01/1989,15828.365361678574
02/1989,15943.247277415332
03/1989,16528.641855639045
04/1989,18566.228526415594
05/1989,19741.054180243333
06/1989,20529.717631032006
07/1989,20628.64703825832
08/1989,21394.15995491061
09/1989,22893.413168754574
10/1989,21712.733671778104
11/1989,23094.85163742393
12/1989,23879.81512170915
01/1990,23259.86716296868
02/1990,23325.074271984708
03/1990,23656.524810321152
04/1990,21849.944262639707
05/1990,24124.786963577695
06/1990,24558.676120981418
07/1990,25677.480417887557
08/1990,20569.77369706252
09/1990,16619.73288967927
10/1990,16649.742939860967
11/1990,15126.640032531295
12/1990,16688.563963747965
01/1991,17217.427376092106
02/1991,19116.694305142926
03/1991,21951.970524220807
04/1991,22926.23040189324
05/1991,22869.2155558014
06/1991,22500.772743140078
07/1991,21994.658780550268
08/1991,20299.116868487235
09/1991,18565.84343280476
10/1991,18686.147496169735
11/1991,18653.783984254485
12/1991,19210.45868764529
01/1992,20742.563509584335
02/1992,21551.29039892305
03/1992,22030.99093869838
04/1992,21649.855794398674
05/1992,20754.619527785027
06/1992,20945.61298768227
07/1992,19771.884038526627
08/1992,18965.712254881757
09/1992,20583.91730195972
10/1992,23196.21576645333
11/1992,24324.606760045615
12/1992,23884.55303343276
01/1993,24835.71641683013
02/1993,26142.187390764066
03/1993,26195.40329448066
04/1993,28096.535997923587
05/1993,28926.475797519273
06/1993,29406.892039781374
07/1993,31679.436299494537
08/1993,34098.28891961073
09/1993,34600.782806841074
10/1993,40803.18021379656
11/1993,42638.59669901767
12/1993,52028.75500083656
01/1994,47566.02386556176
02/1994,47312.18692044692
03/1994,41241.27245803098
04/1994,42899.41663451454
05/1994,42843.92400202747
06/1994,42026.142990554974
07/1994,42192.55280028511
08/1994,46382.69151393463
09/1994,45107.44866523468
10/1994,44702.592978593464
11/1994,41787.82150598053
12/1994,41231.47291313408
01/1995,36357.5959028217
02/1995,38063.73388486674
03/1995,35894.08896549177
04/1995,34671.52315056403
05/1995,38981.75224546398
06/1995,38381.889708195515
07/1995,38604.02417484708
08/1995,37781.84834737473
09/1995,37735.56677639488
10/1995,35915.69491467028
11/1995,34261.650064736845
12/1995,36748.4373894538
01/1996,38792.67473398649
02/1996,40045.761034567804
03/1996,40744.66140706106
04/1996,43666.949461608616
05/1996,43257.70110915432
06/1996,42389.04835505062
07/1996,38086.65815213767
08/1996,38691.28093875951
09/1996,39028.09362070083
10/1996,37612.45690550694
11/1996,38127.69456506399
12/1996,38618.021374947915
01/1997,41124.15319776431
02/1997,43805.05644259865
03/1997,42376.59299627706
04/1997,41539.11152525454
05/1997,41554.49952461639
06/1997,43535.995284021046
07/1997,43993.22532433236
08/1997,36372.24989748756
09/1997,33619.16923179837
10/1997,26779.815429551763
11/1997,23035.313031017788
12/1997,22223.32230984846
01/1998,21929.520109997513
02/1998,26573.91118708001
03/1998,26415.27633492868
04/1998,24123.388899639736
05/1998,20074.549412499557
06/1998,17365.089059867096
07/1998,17328.3244494203
08/1998,14169.886866962544
09/1998,14141.709816201714
10/1998,15419.63435826868
11/1998,17752.48785086753
12/1998,18601.45588052762
01/1999,19631.588485749126
02/1999,19489.152721265335
03/1999,22582.134091058968
04/1999,25938.848632064874
05/1999,27040.147896524802
06/1999,32821.74790044559
07/1999,30922.585439574086
08/1999,32583.317151792722
09/1999,29302.531507357606
10/1999,30455.50321396793
11/1999,34190.59441331638
12/1999,36685.26215776825
01/2000,40034.41052962563
02/2000,38563.1629471467
03/2000,40214.925972081895
04/2000,37271.10381399405
05/2000,34509.743865985365
06/2000,34712.69921248989
07/2000,32842.51805351804
08/2000,33375.90723663591
09/2000,29428.684232321717
10/2000,27655.256555688695
11/2000,25618.799292898555
12/2000,22924.55111081036
01/2001,27428.529745383967
02/2001,25895.397938067636
03/2001,24205.023911123844
04/2001,24087.59563945424
05/2001,25414.43668275958
06/2001,24915.34760276362
07/2001,22804.51185878693
08/2001,21794.26091142384
09/2001,18563.244697200775
10/2001,20002.617353059333
11/2001,23218.96298542921
12/2001,25561.297043089933
01/2002,27294.941801300112
02/2002,28036.575275259802
03/2002,29777.25966089218
04/2002,28896.78358613992
05/2002,27228.839654853215
06/2002,24475.85620652273
07/2002,23954.026704139498
08/2002,23562.521700999267
09/2002,20648.006981074173
10/2002,21622.456913679966
11/2002,22932.98100351769
12/2002,20346.43156620717
01/2003,20047.884318275566
02/2003,19040.018618866638
03/2003,17888.369155268938
04/2003,18288.277092094933
05/2003,18689.834929127723
06/2003,20840.9888887651
07/2003,22985.560590658413
08/2003,25459.50213613757
09/2003,23641.49564343428
10/2003,26112.745996779315
11/2003,24914.92371647465
12/2003,25367.58549016039
01/2004,27224.378691770577
02/2004,28148.456843697662
03/2004,28400.21168828615
04/2004,27258.57739352837
05/2004,25486.828906021557
06/2004,25211.22679946806
07/2004,24551.377812359566
08/2004,25520.80866702514
09/2004,25961.55496013952
10/2004,25513.9943951832
11/2004,26782.75243945142
12/2004,26979.225849336402
01/2005,28689.790028866202
02/2005,30123.435648760795
03/2005,29146.9039747979
04/2005,28329.551478975667
05/2005,30874.2600310194
06/2005,32351.078907811894
07/2005,34450.71084141375
08/2005,33067.5584280995
09/2005,35637.57296736074
10/2005,33235.72513802841
11/2005,36878.23790247544
12/2005,39504.408714951496
01/2006,41448.47400056704
02/2006,42190.593468894025
03/2006,42163.93717125079
04/2006,43536.72473892073
05/2006,39120.8696718995
06/2006,39293.41883285198
07/2006,39070.25442890438
08/2006,40173.0799490051
09/2006,42394.227040881466
10/2006,43424.3997324958
11/2006,45122.39803019386
12/2006,46887.15992631794
01/2007,46669.21933129436
02/2007,45837.529240787626
03/2007,46416.17680634103
04/2007,47630.14331719623
05/2007,51294.17875283276
06/2007,54163.95106452338
07/2007,57569.97040625534
08/2007,56758.43886936531
09/2007,61288.68729117453
10/2007,66832.28918988461
11/2007,59243.676115532966
12/2007,59066.78806225599
01/2008,50094.79624730075
02/2008,52736.28656043995
03/2008,47163.254122300714
04/2008,51941.59595553238
05/2008,49895.377096981574
06/2008,42949.95658166093
07/2008,43046.23591675699
08/2008,42390.75083327359
09/2008,36420.39046338896
10/2008,30995.348090109554
