Data,IE00B4ND3602
12/1978,10000
01/1979,10483.771212529891
02/1979,11326.69109662554
03/1979,10817.685653803372
04/1979,11174.252117365379
05/1979,12646.259951992868
06/1979,12629.743134019147
07/1979,13007.856200065016
08/1979,13867.1204195629
09/1979,17292.667734506438
10/1979,16698.953374982415
11/1979,18095.793932669258
12/1979,22300.951313085403
01/1980,27516.07892030039
02/1980,27089.022711453537
03/1980,22142.910480077535
04/1980,23471.760830530617
05/1980,23212.416065421916
06/1980,27911.63740100236
07/1980,25908.493345899395
08/1980,27153.00360026375
09/1980,28610.897427015105
10/1980,27668.6809842301
11/1980,28215.93378335481
12/1980,27683.204964899985
01/1981,23854.912327433587
02/1981,24597.68055163506
03/1981,25858.04931039571
04/1981,24941.190531235436
05/1981,26270.939965691403
06/1981,24243.83230701984
07/1981,23807.710125134206
08/1981,25596.274128553472
09/1981,24647.787835946692
10/1981,23818.250193088057
11/1981,22870.96428807436
12/1981,22372.823122489215
01/1982,21974.831596593376
02/1982,21273.765413243633
03/1982,19115.435180576365
04/1982,21911.492894966097
05/1982,19052.672257892144
06/1982,19677.05736262802
07/1982,21705.88658298902
08/1982,26206.598904482307
09/1982,25518.01093640637
10/1982,27525.813247969312
11/1982,28827.875424911468
12/1982,28399.850193227532
01/1983,31439.283180891784
02/1983,26180.800779666453
03/1983,26713.14113549851
04/1983,28043.20369563562
05/1983,28758.03181112212
06/1983,28180.095423315302
07/1983,28971.849408945967
08/1983,29359.38911384077
09/1983,28719.378432574387
10/1983,26639.67943992296
11/1983,28996.24629596384
12/1983,28003.20845207993
01/1984,28047.208756902914
02/1984,28675.534896154968
03/1984,27247.80466893586
04/1984,26820.42001491172
05/1984,28438.663329340656
06/1984,27601.852322276787
07/1984,26283.74782329109
08/1984,27035.482369821613
09/1984,27944.913399104844
10/1984,27602.3271860175
11/1984,26515.45184934756
12/1984,25827.446482378145
01/1985,26314.463283461948
02/1985,25611.490746256262
03/1985,29370.63034913422
04/1985,26681.169149726524
05/1985,26251.30372295073
06/1985,26100.3317606516
07/1985,25587.631341639895
08/1985,25141.75810439374
09/1985,24972.725858310132
10/1985,23389.947682546448
11/1985,22950.444676415173
12/1985,22525.066296600693
01/1986,23644.612638283295
02/1986,21912.788300877382
03/1986,21676.201477722898
04/1986,21900.135328958837
05/1986,21359.180180081374
06/1986,21666.501422180685
07/1986,21683.01325878298
08/1986,22632.297289848684
09/1986,24702.544534931098
10/1986,23146.300806522457
11/1986,22712.486166727726
12/1986,22469.667158599193
01/1987,21639.713244803705
02/1987,21541.3218427657
03/1987,22308.47973469505
04/1987,23703.97658532711
05/1987,23300.16782978419
06/1987,23522.761724465912
07/1987,24673.25764132683
08/1987,24374.75297740842
09/1987,24058.01356318547
10/1987,24366.578381622614
11/1987,24050.85589528139
12/1987,23034.961034964726
01/1988,21912.233611904663
02/1988,20976.4336962284
03/1988,22186.463996002934
04/1988,21668.682784973193
05/1988,22197.24383964929
06/1988,22062.374284849273
07/1988,23185.544850001417
08/1988,23212.140546417326
09/1988,21368.463074221327
10/1988,21662.63249416652
11/1988,21316.938581167124
12/1988,20708.26431407481
01/1989,20678.86854044811
02/1989,20560.923445823213
03/1989,20492.391119071763
04/1989,20299.623525821637
05/1989,20285.595785454654
06/1989,21287.946392082584
07/1989,20100.264980729735
08/1989,19937.444443201344
09/1989,20617.404925563726
10/1989,20314.834575278266
11/1989,21773.878827698183
12/1989,20509.100170285346
01/1990,20602.899279163837
02/1990,19967.337828832
03/1990,18360.87758485361
04/1990,18086.42023433187
05/1990,17561.309587313157
06/1990,17149.165713084505
07/1990,17578.17064880152
08/1990,17499.534647898006
09/1990,18459.470237849906
10/1990,16647.707565916342
11/1990,16545.964355024018
12/1990,17006.5909064255
01/1991,15956.137684590465
02/1991,15546.832613747609
03/1991,16590.596002683586
04/1991,17575.5838113443
05/1991,17939.89666942391
06/1991,19016.717094739524
07/1991,18754.16539161021
08/1991,17557.60346250006
09/1991,17439.008122866195
10/1991,17538.36497577282
11/1991,17297.609254734594
12/1991,16155.765675835559
01/1992,16299.268489584052
02/1992,16609.52544217955
03/1992,16500.332250841515
04/1992,16092.896474984758
05/1992,15836.722650180614
06/1992,15649.935007391123
07/1992,15530.194540717997
08/1992,14381.002684589681
09/1992,15100.417466880368
10/1992,15286.751980552464
11/1992,16043.34622216979
12/1992,15968.065615601026
01/1993,16157.584982978176
02/1993,16414.77686028789
03/1993,17006.582654726553
04/1993,17227.67540169477
05/1993,18395.859400158643
06/1993,18979.950369057493
07/1993,21000.0296860212
08/1993,19566.508913141675
09/1993,17973.872971931432
10/1993,18903.284725995327
11/1993,19476.250607073547
12/1993,20501.167742379104
01/1994,20097.72165512607
02/1994,20210.603657768374
03/1994,20186.399276530916
04/1994,19578.516032389787
05/1994,19722.055120000503
06/1994,19431.21914820545
07/1994,18623.12932065704
08/1994,18726.544551639887
09/1994,18959.9382370603
10/1994,18076.48245185967
11/1994,18306.57099786076
12/1994,18648.81941348022
01/1995,17901.759503136975
02/1995,17773.814712267515
03/1995,17788.37443795012
04/1995,17345.07778186207
05/1995,17364.03260411479
06/1995,17339.62542947914
07/1995,16971.560644101082
08/1995,17437.114108383506
09/1995,17734.27720704054
10/1995,17394.210398801246
11/1995,17663.65575229509
12/1995,17889.70034645476
01/1996,18986.700596033646
02/1996,18862.073615811158
03/1996,18644.742819309453
04/1996,18561.17986481383
05/1996,18747.391470653678
06/1996,18191.796961156226
07/1996,18067.260225037793
08/1996,17954.041187609077
09/1996,17757.692868321847
10/1996,17833.62163559885
11/1996,17221.517632258947
12/1996,17516.98682918681
01/1997,16819.661820330315
02/1997,18215.32294477915
03/1997,17886.899109028465
04/1997,17568.12873330073
05/1997,17792.176877884987
06/1997,17413.986872127713
07/1997,17457.04135535237
08/1997,17897.192787401957
09/1997,17786.53988428303
10/1997,16372.358284047075
11/1997,15281.005981734024
12/1997,15289.030910973977
01/1998,16484.669321744717
02/1998,16043.77055585848
03/1998,16295.285647490202
04/1998,16703.924543678328
05/1998,15541.535061290797
06/1998,15795.900261754277
07/1998,15432.666174716198
08/1998,14545.193478650468
09/1998,14901.531713734908
10/1998,14272.988330700426
11/1998,14804.312779895929
12/1998,14345.639722365217
01/1999,14706.495520348144
02/1999,15280.540681452361
03/1999,15255.766562342207
04/1999,15857.772121814225
05/1999,15059.721951719448
06/1999,14812.586276808643
07/1999,14007.304642882353
08/1999,14121.046782623325
09/1999,16425.436391018404
10/1999,16761.569097254345
11/1999,16900.271504623208
12/1999,16919.260976700578
01/2000,16941.551931100163
02/2000,17697.004060277715
03/2000,16956.80153923253
04/2000,17718.09391483742
05/2000,17123.95215982873
06/2000,17641.474458916953
07/2000,17514.502983435024
08/2000,18190.892944477837
09/2000,18257.107101808986
10/2000,18373.354629550893
11/2000,18115.246746651705
12/2000,17126.42701496076
01/2001,16633.229750151815
02/2001,16850.55348583689
03/2001,17046.15233369588
04/2001,17317.66793934761
05/2001,18423.26628432199
06/2001,18633.85253998797
07/2001,17732.1194071146
08/2001,17401.649004450333
09/2001,18735.35854832546
10/2001,17990.50283896988
11/2001,18065.65277324235
12/2001,18303.239268854682
01/2002,19065.075943753527
