Data,IE00B4WPHX27
01/1991,10000
02/1991,9931.42871034884
03/1991,10879.263451999843
04/1991,11471.65736801019
05/1991,11583.605143147695
06/1991,11761.219932563621
07/1991,12264.916409919726
08/1991,11945.120097086528
09/1991,11721.08613864739
10/1991,11814.92929286109
11/1991,11147.254973156701
12/1991,10495.64875362905
01/1992,10804.80062359028
02/1992,11098.207033545756
03/1992,11436.213136162893
04/1992,11408.837357724871
05/1992,11575.132409441407
06/1992,11263.545952552053
07/1992,10567.218217270567
08/1992,10169.99677708916
09/1992,10434.066523458241
10/1992,10620.514183391533
11/1992,11319.1902016784
12/1992,11358.859313470524
01/1993,11572.559465328219
02/1993,11949.660861904667
03/1993,12279.730768545327
04/1993,12005.573258778617
05/1993,11895.968293053209
06/1993,12300.099974361134
07/1993,13032.306528205492
08/1993,12882.903254336014
09/1993,12060.445490283464
10/1993,12129.44045357201
11/1993,12412.876184379838
12/1993,12693.602022385177
01/1994,13049.556868872998
02/1994,13034.048613666377
03/1994,12769.28240818858
04/1994,12982.228381077293
05/1994,13442.042012660291
06/1994,13431.164827541452
07/1994,13310.509274083595
08/1994,13145.17954330932
09/1994,13137.72147295045
10/1994,12967.283383090095
11/1994,13235.277119974533
12/1994,13834.258908050911
01/1995,13537.18769580657
02/1995,13361.969595760811
03/1995,13163.625092636481
04/1995,13143.252046531446
05/1995,13334.408390872319
06/1995,13013.008283401263
07/1995,13090.564636278514
08/1995,13678.659938151046
09/1995,14073.316965601267
10/1995,13966.508196753844
11/1995,14117.631673539085
12/1995,14760.378283655606
01/1996,15042.342980421437
02/1996,15405.816776472064
03/1996,15844.034445922845
04/1996,16403.762461535378
05/1996,16666.048360292483
06/1996,16507.298188615594
07/1996,16059.937457670017
08/1996,16635.366301602553
09/1996,16801.701173817415
10/1996,16576.662953934796
11/1996,16876.364079712424
12/1996,17545.281498857923
01/1997,18323.836014071505
02/1997,19516.74422618507
03/1997,20136.195322563806
04/1997,20429.6193545238
05/1997,20519.250650968424
06/1997,19987.888876310866
07/1997,21037.19219314426
08/1997,21717.23569949676
09/1997,21311.05588298133
10/1997,20980.05184271347
11/1997,20179.989923936246
12/1997,20071.8527261902
01/1998,20629.850868189595
02/1998,19975.54841291117
03/1998,19988.007413253803
04/1998,19716.69340037204
05/1998,18613.131885434424
06/1998,18499.682770909854
07/1998,17662.390110546698
08/1998,16568.212428576346
09/1998,16747.339635950153
10/1998,15842.510229843056
11/1998,15603.478754785643
12/1998,14923.023831165214
01/1999,15301.90908101789
02/1999,15308.947934954655
03/1999,16986.86750627855
04/1999,17883.77172293054
05/1999,17242.898981507926
06/1999,18396.542781165335
07/1999,17945.746226958825
08/1999,19100.463717737886
09/1999,19931.265188462687
10/1999,19946.98733207992
11/1999,20988.41084213271
12/1999,21760.188304353553
01/2000,23383.039768034643
02/2000,23862.954350368414
03/2000,24921.647390438055
04/2000,25935.726623168743
05/2000,26893.57671576535
06/2000,26476.883582869028
07/2000,26455.020372462623
08/2000,29715.988190483145
09/2000,30505.312715655087
10/2000,30976.58049344914
11/2000,31449.517920361017
12/2000,28924.872265726848
01/2001,29247.299060974
02/2001,29413.0307641656
03/2001,29709.365123978867
04/2001,30516.698939427755
05/2001,31369.697073962914
06/2001,30448.206576473214
07/2001,29720.29129234156
08/2001,28452.784342951098
09/2001,27029.333857144953
10/2001,26118.325786366604
11/2001,27009.145413151142
12/2001,26765.629662808497
01/2002,27452.204799070645
02/2002,28091.104242206256
03/2002,30522.293770178927
04/2002,29588.050878576567
05/2002,28201.933538584948
06/2002,27101.423743126048
07/2002,27395.425856320668
08/2002,28593.91573729984
09/2002,29168.786008560255
10/2002,29051.94926156429
11/2002,28945.63197581189
12/2002,28404.073692441885
01/2003,29417.742753275776
02/2003,30133.890871827927
03/2003,28289.474137047502
04/2003,27838.379285233303
05/2003,27569.251344943325
06/2003,27991.58705527483
07/2003,28486.565111984986
08/2003,30612.407141239124
09/2003,28829.29251801116
10/2003,30381.594814571632
11/2003,29531.761229003612
12/2003,29843.093001797213
01/2004,31364.53305247442
02/2004,33424.89311814955
03/2004,35195.09460433506
04/2004,35654.641733912336
05/2004,36027.121289076415
06/2004,35257.147464530964
07/2004,36413.18261305643
08/2004,36399.164796540295
09/2004,37824.96445896256
10/2004,37864.77741783014
11/2004,36348.860932899035
12/2004,34559.48980072365
01/2005,36756.789103875366
02/2005,39075.406598747926
03/2005,41987.16687160105
04/2005,40238.70413915641
05/2005,42128.196533150716
06/2005,44170.5937936587
07/2005,46297.26533152212
08/2005,48859.10620729804
09/2005,51802.39123784611
10/2005,49496.43789378756
11/2005,51329.837854162965
12/2005,54075.56149656943
01/2006,55353.53598131167
02/2006,53865.99025537071
03/2006,54353.60050444797
04/2006,56232.33128519755
05/2006,55316.82856211552
06/2006,55653.099756625146
07/2006,57317.41470334502
08/2006,55629.40641187119
09/2006,53393.227654557675
10/2006,56018.045583772924
11/2006,57233.55718640536
12/2006,55494.36267043399
01/2007,56431.96325426986
02/2007,57504.73677498478
03/2007,57836.67595711811
04/2007,57647.165540640584
05/2007,58566.614803456716
06/2007,58015.10464860211
07/2007,58677.094180564476
08/2007,57028.561660432126
09/2007,59586.28995991218
10/2007,60606.126581167264
11/2007,58322.177215991615
12/2007,61623.43196055316
01/2008,64077.37634618368
02/2008,70659.33277345142
03/2008,64053.34612844845
04/2008,67810.02428093117
05/2008,70419.57546395021
06/2008,75890.24031497951
07/2008,67852.52815677578
08/2008,66856.87185503822
09/2008,60875.799818422594
10/2008,54421.49846354947
11/2008,50971.77930794176
12/2008,45247.446156064245
01/2009,46763.294481621095
02/2009,45601.99756436275
03/2009,45166.624756231744
04/2009,45715.153346330924
05/2009,48436.16010316123
06/2009,47488.24329017936
07/2009,48998.57577772107
08/2009,48478.62510015753
09/2009,47862.46218966907
10/2009,48984.44280847844
11/2009,50350.94100129254
12/2009,53409.61975938349
01/2010,51252.225165468735
02/2010,54789.81216699432
03/2010,54708.522753729645
04/2010,56937.34753196027
05/2010,57376.49237109924
06/2010,57315.29723457191
07/2010,57085.18460911463
08/2010,57891.70747019498
09/2010,57469.590923690586
10/2010,59577.68816985081
11/2010,63297.58137951327
12/2010,68136.09676407182
01/2011,67648.85626781105
02/2011,68621.36874692609
03/2011,68420.1026068727
04/2011,68223.78630679163
05/2011,66999.17983859612
06/2011,63385.96814516278
07/2011,66137.42018420598
08/2011,66055.0823498865
09/2011,60394.95655938489
10/2011,61959.750871197844
11/2011,63372.83634467986
12/2011,63534.16688365371
01/2012,64152.57995317466
02/2012,64578.88252084687
03/2012,62283.97125041521
04/2012,62290.65535453177
